N,err,sigma,pi
4,0.36338,1.1547,2
8,0.0450703,0.654654,3
16,0.114085,0.341565,3.5
32,0.0450703,0.311086,3
64,0.0848591,0.226582,2.875
128,0.0749119,0.158206,2.90625
256,0.0593751,0.0936427,3.32812
512,0.0146128,0.0711912,3.1875
1024,0.0177156,0.0525102,3.08594
2048,0.00342218,0.03613,3.15234
4096,0.00497076,0.0258302,3.12598
8192,0.000152589,0.0181485,3.14111
16384,0.00225649,0.0127913,3.14868
32768,0.00434906,0.00912401,3.12793
65536,0.00159594,0.00640117,3.14661
131072,0.00239653,0.00455034,3.13406
262144,4.6549e-05,0.0032072,3.14174
524288,0.00138384,0.00227213,3.13725
1048576,0.000351327,0.00160295,3.1427
2097152,0.000320971,0.0011335,3.1426
4194304,0.000263086,0.000802128,3.14077
8388608,7.56911e-05,0.000566935,3.14183
