x,y
0.220796,0.700786
-0.26303,0.529432
0.114917,0.193732
-0.584577,0.388636
-0.256121,0.0350026
-0.161517,0.694664
0.103601,0.337094
-0.0395364,0.368517
0.488158,0.40182
1.07033,0.0422823
0.602585,0.0052611
0.251072,0.316562
0.393853,0.320183
0.456432,0.124104
-0.329474,0.248821
0.817496,0.184283
1.41085,0.000561338
0.0700362,0.396175
-0.108654,0.51698
-0.127523,0.209907
-0.307319,0.170186
0.183249,0.506204
-0.321962,0.64329
0.354604,0.479287
0.238159,0.637724
0.419565,0.0214038
-0.209545,0.556152
-0.839574,0.0791464
0.387763,0.387025
-0.413333,0.38496
0.145033,0.124012
-0.567355,0.40517
-0.0346693,0.112476
-0.304704,0.00643535
1.08268,0.0217153
1.17504,0.0348121
1.20492,0.0352838
-0.95763,0.0451482
-0.516087,0.194144
-0.689147,0.020546
0.244156,0.094338
-0.677306,0.195984
0.657469,0.19703
0.196526,0.670305
-0.615311,0.322507
-0.129746,0.368564
0.687268,0.161747
0.107159,0.551185
0.48281,0.407685
-0.969162,0.103127
-0.198381,0.0792805
-0.47922,0.0803308
0.200116,0.506874
-0.725152,0.0834381
-0.299092,0.308258
-0.517157,0.349985
-0.495933,0.273692
-0.402761,0.0953005
0.784262,0.0699251
0.242981,0.407752
0.488759,0.13993
0.339719,0.551911
0.0750942,0.593906
0.686891,0.270117
-0.833848,0.0914249
0.351502,0.303147
0.198142,0.0178731
0.0745279,0.272909
0.00519878,0.588859
0.62673,0.0692623
0.516225,0.200279
-0.125577,0.481484
0.455328,0.353991
0.850355,0.0940271
-0.351817,0.491915
0.839104,0.184861
-0.222223,0.140697
0.520526,0.34845
-0.183687,0.689429
0.0674498,0.350888
0.308205,0.206182
0.163572,0.403699
-0.486666,0.256948
0.0241571,0.750279
-0.222337,0.357855
-0.297496,0.476507
-0.723718,0.146793
-0.0919444,0.175476
0.765449,0.0192746
0.429853,0.387792
-0.739897,0.141067
-0.145509,0.232339
-0.103362,0.385571
0.0636319,0.116124
-0.563918,0.359069
0.897906,0.0722719
-0.332543,0.13599
-0.714218,0.248063
0.158425,0.559245
-0.0765741,0.759064
-1.31558,0.0236493
0.0373654,0.208503
0.218118,0.475648
0.243378,0.410163
-0.311107,0.248087
-0.302436,0.115325
0.541352,0.155354
-0.121081,0.389695
0.253103,0.0653425
-0.0472612,0.0421498
-0.379653,0.286526
-0.871803,0.0856704
-0.594717,0.129325
0.334154,0.405938
0.514108,0.101944
0.236854,0.442956
0.666526,0.157974
-0.685029,9.42973e-05
-0.769219,0.0531329
-0.323868,0.341991
0.448211,0.0648754
0.524973,0.0824574
-0.14983,0.027691
0.386834,0.357796
0.186304,0.656088
0.204626,0.426131
0.873192,0.0167576
0.642555,0.282954
-0.0942081,0.517336
-0.748941,0.258454
0.191,0.460813
-0.137029,0.0889349
0.66388,0.00183133
-0.254098,0.142175
0.0800816,0.355513
-0.934546,0.0606385
-0.522574,0.341396
-0.202395,0.710657
-0.19174,0.427401
0.459685,0.149476
0.571159,0.330086
0.637807,0.131584
1.63634,0.00236832
1.05197,0.0167683
0.0791259,0.611318
0.685134,0.0699515
0.0157778,0.220991
1.32934,0.00404099
-0.6877,0.0967776
0.217338,0.183124
-0.743819,0.232439
-0.580361,0.127618
-0.0900498,0.775143
-0.72517,0.0769577
0.0372197,0.676883
-0.0767662,0.782816
0.489085,0.423279
-0.363347,0.420592
0.140787,0.417368
0.167546,0.498222
0.176196,0.0165313
0.520614,0.177198
-0.715092,0.0618737
0.251961,0.309113
-0.0235149,0.261129
0.318412,0.058309
0.0501517,0.246835
-0.582492,0.185977
0.73569,0.152551
-0.212388,0.301144
0.274819,0.399029
0.573567,0.349136
0.368175,0.0822349
-0.540957,0.047381
-0.670353,0.198772
0.443307,0.36642
-0.992497,0.0849485
-0.670575,0.282596
-0.285044,0.541184
-0.148342,0.447804
0.510713,0.25009
0.0492191,0.576174
-0.527087,0.000905396
0.41967,0.192802
0.326525,0.333993
-1.16511,0.0195699
0.516666,0.255397
-0.524647,0.269901
-0.234305,0.49313
-0.649669,0.232793
0.353686,0.00623919
-0.596172,0.0504538
0.142474,0.0102976
0.583391,0.145098
-0.565509,0.0149584
-0.461488,0.376933
0.530825,0.149266
-0.826336,0.0630293
0.420163,0.0953197
-0.00596876,0.330122
0.356534,0.194557
-0.181663,0.0521974
-0.247587,0.58497
0.937281,0.0124925
-0.0739544,0.427368
0.221589,0.424014
-0.210139,0.687274
0.305852,0.160836
-0.0710876,0.755742
0.0681855,0.742212
0.40738,0.0139832
0.175108,0.10641
-0.334826,0.589333
0.215668,0.397987
0.484149,0.169448
-0.0735997,0.745435
-0.601302,0.348514
0.251935,0.0559368
0.881081,0.0648009
0.530807,0.272582
0.188385,0.228468
0.420973,0.220512
0.147958,0.523894
-0.24583,0.551666
-0.442931,0.182483
-0.265166,0.195157
-0.0509898,0.0572258
-0.284967,0.0882761
0.0387094,0.169614
-0.660533,0.234662
-0.110033,0.72083
-0.556018,0.0343699
0.238851,0.314846
-0.334168,0.608282
0.858133,0.0109795
-0.269791,0.539109
-0.222764,0.289443
0.639964,0.161487
-0.632523,0.188331
-0.378311,0.27276
0.161776,0.184405
-0.494284,0.44261
-0.197552,0.219587
-0.28646,0.455172
-1.17418,0.040938
-0.644263,0.207625
0.760299,0.126193
0.499152,0.468854
-0.517052,0.190233
-0.045269,0.0280786
0.904694,0.0736621
0.328726,0.149776
0.00499187,0.269298
1.03783,0.0683559
0.18082,0.371585
-0.206204,0.171778
-0.467391,0.0625887
-0.569637,0.315447
-0.338838,0.583782
-0.176205,0.251351
0.518707,0.348926
0.0591077,0.24126
-0.145226,0.597204
1.01172,0.093187
0.16224,0.351343
-0.302189,0.032023
0.222918,0.0459039
-0.256111,0.5181
0.0874672,0.246961
0.30372,0.0199959
-0.0838126,0.671949
-0.612889,0.0957322
0.0300594,0.304958
0.219829,0.254314
-0.0484025,0.119962
-0.0606055,0.517463
0.36578,0.228489
-0.235606,0.0863483
0.904126,0.0277164
0.349821,0.0322293
-0.756601,0.0663071
-0.426003,0.250277
0.905745,0.0833467
-0.790254,0.11722
-0.860547,0.14458
0.599309,0.25473
0.183699,0.112684
0.278455,0.618133
-0.0216745,0.747142
-0.862816,0.0850412
0.526582,0.360067
-0.165517,0.0662067
0.886328,0.119023
-0.155543,0.0820319
0.692585,0.274567
0.673672,0.247648
-0.292024,0.218149
0.0220399,0.17326
-0.471987,0.4727
-0.676767,0.243134
0.248702,0.109571
0.859964,0.104825
-0.43478,0.0334099
0.0831058,0.741131
-0.88383,0.123517
-0.0222393,0.317049
0.453022,0.244684
-0.885375,0.0845061
0.80916,0.19383
0.187283,0.472306
0.671859,0.189907
