t,f,df,ddf
0,0,0.0999,19.94
0.01,0.000999,0.1996,-inf
0.02,0.003992,0.3987,19.94
0.03,0.008973,0.5972,19.88
0.04,0.015936,0.7951,19.82
0.05,0.024875,0.9924,19.76
0.06,0.035784,1.1891,19.7
0.07,0.048657,1.3852,19.64
0.08,0.063488,1.5807,19.58
0.09,0.080271,1.7756,19.52
0.1,0.099,1.9699,19.46
0.11,0.119669,2.1636,19.4
0.12,0.142272,2.3567,19.34
0.13,0.166803,2.5492,19.28
0.14,0.193256,2.7411,19.22
0.15,0.221625,2.9324,19.16
0.16,0.251904,3.1231,19.1
0.17,0.284087,3.3132,19.04
0.18,0.318168,3.5027,18.98
0.19,0.354141,3.6916,18.92
0.2,0.392,3.8799,18.86
0.21,0.431739,4.0676,18.8
0.22,0.473352,4.2547,18.74
0.23,0.516833,4.4412,18.68
0.24,0.562176,4.6271,18.62
0.25,0.609375,4.8124,18.56
0.26,0.658424,4.9971,18.5
0.27,0.709317,5.1812,18.44
0.28,0.762048,5.3647,18.38
0.29,0.816611,5.5476,18.32
0.3,0.873,5.7299,18.26
0.31,0.931209,5.9116,18.2
0.32,0.991232,6.0927,18.14
0.33,1.05306,6.2732,18.08
0.34,1.1167,6.4531,18.02
0.35,1.18213,6.6324,17.96
0.36,1.24934,6.8111,17.9
0.37,1.31835,6.9892,17.84
0.38,1.38913,7.1667,17.78
0.39,1.46168,7.3436,17.72
0.4,1.536,7.5199,17.66
0.41,1.61208,7.6956,17.6
0.42,1.68991,7.8707,17.54
0.43,1.76949,8.0452,17.48
0.44,1.85082,8.2191,17.42
0.45,1.93388,8.3924,17.36
0.46,2.01866,8.5651,17.3
0.47,2.10518,8.7372,17.24
0.48,2.19341,8.9087,17.18
0.49,2.28335,9.0796,17.12
0.5,2.375,9.2499,17.06
0.51,2.46835,9.4196,17
0.52,2.56339,9.5887,16.94
0.53,2.66012,9.7572,16.88
0.54,2.75854,9.9251,16.82
0.55,2.85863,10.0924,16.76
0.56,2.96038,10.2591,16.7
0.57,3.06381,10.4252,16.64
0.58,3.16889,10.5907,16.58
0.59,3.27562,10.7556,16.52
0.6,3.384,10.9199,16.46
0.61,3.49402,11.0836,16.4
0.62,3.60567,11.2467,16.34
0.63,3.71895,11.4092,16.28
0.64,3.83386,11.5711,16.22
0.65,3.95038,11.7324,16.16
0.66,4.0685,11.8931,16.1
0.67,4.18824,12.0532,16.04
0.68,4.30957,12.2127,15.98
0.69,4.43249,12.3716,15.92
0.7,4.557,12.5299,15.86
0.71,4.68309,12.6876,15.8
0.72,4.81075,12.8447,15.74
0.73,4.93998,13.0012,15.68
0.74,5.07078,13.1571,15.62
0.75,5.20313,13.3124,15.56
0.76,5.33702,13.4671,15.5
0.77,5.47247,13.6212,15.44
0.78,5.60945,13.7747,15.38
0.79,5.74796,13.9276,15.32
0.8,5.888,14.0799,15.26
0.81,6.02956,14.2316,15.2
0.82,6.17263,14.3827,15.14
0.83,6.31721,14.5332,15.08
0.84,6.4633,14.6831,15.02
0.85,6.61088,14.8324,14.96
0.86,6.75994,14.9811,14.9
0.87,6.9105,15.1292,14.84
0.88,7.06253,15.2767,14.78
0.89,7.21603,15.4236,14.72
0.9,7.371,15.5699,14.66
0.91,7.52743,15.7156,14.6
0.92,7.68531,15.8607,14.54
0.93,7.84464,16.0052,14.48
0.94,8.00542,16.1491,14.42
0.95,8.16763,16.2924,14.36
0.96,8.33126,16.4351,14.3
0.97,8.49633,16.5772,14.24
0.98,8.66281,16.7187,14.18
0.99,8.8307,16.8596,14.12
1,9,16.9999,14.06
1.01,9.1707,17.1396,14
1.02,9.34279,17.2787,13.94
1.03,9.51627,17.4172,13.88
1.04,9.69114,17.5551,13.82
1.05,9.86738,17.6924,13.76
1.06,10.045,17.8291,13.7
1.07,10.224,17.9652,13.64
1.08,10.4043,18.1007,13.58
1.09,10.586,18.2356,13.52
1.1,10.769,18.3699,13.46
1.11,10.9534,18.5036,13.4
1.12,11.1391,18.6367,13.34
1.13,11.3261,18.7692,13.28
1.14,11.5145,18.9011,13.22
1.15,11.7041,19.0324,13.16
1.16,11.8951,19.1631,13.1
1.17,12.0874,19.2932,13.04
1.18,12.281,19.4227,12.98
1.19,12.4758,19.5516,12.92
1.2,12.672,19.6799,12.86
1.21,12.8694,19.8076,12.8
1.22,13.0682,19.9347,12.74
1.23,13.2681,20.0612,12.68
1.24,13.4694,20.1871,12.62
1.25,13.6719,20.3124,12.56
1.26,13.8756,20.4371,12.5
1.27,14.0806,20.5612,12.44
1.28,14.2868,20.6847,12.38
1.29,14.4943,20.8076,12.32
1.3,14.703,20.9299,12.26
1.31,14.9129,21.0516,12.2
1.32,15.124,21.1727,12.14
1.33,15.3364,21.2932,12.08
1.34,15.5499,21.4131,12.02
1.35,15.7646,21.5324,11.96
1.36,15.9805,21.6511,11.9
1.37,16.1976,21.7692,11.84
1.38,16.4159,21.8867,11.78
1.39,16.6354,22.0036,11.72
1.4,16.856,22.1199,11.66
1.41,17.0778,22.2356,11.6
1.42,17.3007,22.3507,11.54
1.43,17.5248,22.4652,11.48
1.44,17.75,22.5791,11.42
1.45,17.9764,22.6924,11.36
1.46,18.2039,22.8051,11.3
1.47,18.4325,22.9172,11.24
1.48,18.6622,23.0287,11.18
1.49,18.8931,23.1396,11.12
1.5,19.125,23.2499,11.06
1.51,19.358,23.3596,11
1.52,19.5922,23.4687,10.94
1.53,19.8274,23.5772,10.88
1.54,20.0637,23.6851,10.82
1.55,20.3011,23.7924,10.76
1.56,20.5396,23.8991,10.7
1.57,20.7791,24.0052,10.64
1.58,21.0197,24.1107,10.58
1.59,21.2613,24.2156,10.52
1.6,21.504,24.3199,10.46
1.61,21.7477,24.4236,10.4
1.62,21.9925,24.5267,10.34
1.63,22.2383,24.6292,10.28
1.64,22.4851,24.7311,10.22
1.65,22.7329,24.8324,10.16
1.66,22.9817,24.9331,10.1
1.67,23.2315,25.0332,10.04
1.68,23.4824,25.1327,9.98
1.69,23.7342,25.2316,9.92
1.7,23.987,25.3299,9.86
1.71,24.2408,25.4276,9.8
1.72,24.4956,25.5247,9.74
1.73,24.7513,25.6212,9.68
1.74,25.008,25.7171,9.62
1.75,25.2656,25.8124,9.56
1.76,25.5242,25.9071,9.5
1.77,25.7838,26.0012,9.44
1.78,26.0442,26.0947,9.38
1.79,26.3057,26.1876,9.32
1.8,26.568,26.2799,9.26
1.81,26.8313,26.3716,9.2
1.82,27.0954,26.4627,9.14
1.83,27.3605,26.5532,9.08
1.84,27.6265,26.6431,9.02
1.85,27.8934,26.7324,8.96
1.86,28.1611,26.8211,8.9
1.87,28.4298,26.9092,8.84
1.88,28.6993,26.9967,8.78
1.89,28.9697,27.0836,8.72
1.9,29.241,27.1699,8.66
1.91,29.5131,27.2556,8.6
1.92,29.7861,27.3407,8.54
1.93,30.0599,27.4252,8.48
1.94,30.3346,27.5091,8.42
1.95,30.6101,27.5924,8.36
1.96,30.8865,27.6751,8.3
1.97,31.1636,27.7572,8.24
1.98,31.4416,27.8387,8.18
1.99,31.7204,27.9196,8.12
2,32,27.9999,8.06
2.01,32.2804,28.0796,8
2.02,32.5616,28.1587,7.94
2.03,32.8436,28.2372,7.88
2.04,33.1263,28.3151,7.82
2.05,33.4099,28.3924,7.76
2.06,33.6942,28.4691,7.7
2.07,33.9793,28.5452,7.64
2.08,34.2651,28.6207,7.58
2.09,34.5517,28.6956,7.52
2.1,34.839,28.7699,7.46
2.11,35.1271,28.8436,7.4
2.12,35.4159,28.9167,7.34
2.13,35.7054,28.9892,7.28
2.14,35.9957,29.0611,7.22
2.15,36.2866,29.1324,7.16
2.16,36.5783,29.2031,7.1
2.17,36.8707,29.2732,7.04
2.18,37.1638,29.3427,6.98
2.19,37.4575,29.4116,6.92
2.2,37.752,29.4799,6.86
2.21,38.0471,29.5476,6.8
2.22,38.343,29.6147,6.74
2.23,38.6394,29.6812,6.68
2.24,38.9366,29.7471,6.62
2.25,39.2344,29.8124,6.56
2.26,39.5328,29.8771,6.5
2.27,39.8319,29.9412,6.44
2.28,40.1316,30.0047,6.38
2.29,40.432,30.0676,6.32
2.3,40.733,30.1299,6.26
2.31,41.0346,30.1916,6.2
2.32,41.3368,30.2527,6.14
2.33,41.6397,30.3132,6.08
2.34,41.9431,30.3731,6.02
2.35,42.2471,30.4324,5.96
2.36,42.5517,30.4911,5.9
2.37,42.8569,30.5492,5.84
2.38,43.1627,30.6067,5.78
2.39,43.4691,30.6636,5.72
2.4,43.776,30.7199,5.66
2.41,44.0835,30.7756,5.6
2.42,44.3915,30.8307,5.54
2.43,44.7001,30.8852,5.48
2.44,45.0092,30.9391,5.42
2.45,45.3189,30.9924,5.36
2.46,45.6291,31.0451,5.3
2.47,45.9398,31.0972,5.24
2.48,46.251,31.1487,5.18
2.49,46.5628,31.1996,5.12
2.5,46.875,31.2499,5.06
2.51,47.1877,31.2996,5
2.52,47.501,31.3487,4.94
2.53,47.8147,31.3972,4.88
2.54,48.1289,31.4451,4.82
2.55,48.4436,31.4924,4.76
2.56,48.7588,31.5391,4.7
2.57,49.0744,31.5852,4.64
2.58,49.3905,31.6307,4.58
2.59,49.707,31.6756,4.52
2.6,50.024,31.7199,4.46
2.61,50.3414,31.7636,4.4
2.62,50.6593,31.8067,4.34
2.63,50.9776,31.8492,4.28
2.64,51.2963,31.8911,4.22
2.65,51.6154,31.9324,4.16
2.66,51.9349,31.9731,4.1
2.67,52.2548,32.0132,4.04
2.68,52.5752,32.0527,3.98
2.69,52.8959,32.0916,3.92
2.7,53.217,32.1299,3.86
2.71,53.5385,32.1676,3.8
2.72,53.8604,32.2047,3.74
2.73,54.1826,32.2412,3.68
2.74,54.5052,32.2771,3.62
2.75,54.8281,32.3124,3.56
2.76,55.1514,32.3471,3.5
2.77,55.4751,32.3812,3.44
2.78,55.799,32.4147,3.38
2.79,56.1234,32.4476,3.32
2.8,56.448,32.4799,3.26
2.81,56.773,32.5116,3.2
2.82,57.0982,32.5427,3.14
2.83,57.4238,32.5732,3.08
2.84,57.7497,32.6031,3.02
2.85,58.0759,32.6324,2.96
2.86,58.4023,32.6611,2.9
2.87,58.7291,32.6892,2.84
2.88,59.0561,32.7167,2.78
2.89,59.3834,32.7436,2.72
2.9,59.711,32.7699,2.66
2.91,60.0388,32.7956,2.6
2.92,60.3669,32.8207,2.54
2.93,60.6952,32.8452,2.48
2.94,61.0238,32.8691,2.42
2.95,61.3526,32.8924,2.36
2.96,61.6817,32.9151,2.3
2.97,62.0109,32.9372,2.24
2.98,62.3404,32.9587,2.18
2.99,62.6701,32.9796,2.12
3,63,32.9999,2.06
3.01,63.3301,33.0196,2
3.02,63.6604,33.0387,1.94
3.03,63.9909,33.0572,1.88
3.04,64.3215,33.0751,1.82
3.05,64.6524,33.0924,1.76
3.06,64.9834,33.1091,1.7
3.07,65.3146,33.1252,1.64
3.08,65.6459,33.1407,1.58
3.09,65.9774,33.1556,1.52
3.1,66.309,33.1699,1.46
3.11,66.6408,33.1836,1.4
3.12,66.9727,33.1967,1.34
3.13,67.3047,33.2092,1.28
3.14,67.6369,33.2211,1.22
3.15,67.9691,33.2324,1.16
3.16,68.3015,33.2431,1.1
3.17,68.634,33.2532,1.04
3.18,68.9666,33.2627,0.98
3.19,69.2992,33.2716,0.92
3.2,69.632,33.2799,0.86
3.21,69.9648,33.2876,0.8
3.22,70.2978,33.2947,0.74
3.23,70.6307,33.3012,0.68
3.24,70.9638,33.3071,0.62
3.25,71.2969,33.3124,0.56
3.26,71.63,33.3171,0.5
3.27,71.9632,33.3212,0.44
3.28,72.2964,33.3247,0.38
3.29,72.6297,33.3276,0.32
3.3,72.963,33.3299,0.26
3.31,73.2963,33.3316,0.2
3.32,73.6296,33.3327,0.14
3.33,73.963,33.3332,0.08
3.34,74.2963,33.3331,0.02
3.35,74.6296,33.3324,-0.04
3.36,74.9629,33.3311,-0.1
3.37,75.2962,33.3292,-0.16
3.38,75.6295,33.3267,-0.22
3.39,75.9628,33.3236,-0.28
3.4,76.296,33.3199,-0.34
3.41,76.6292,33.3156,-0.4
3.42,76.9623,33.3107,-0.46
3.43,77.2954,33.3052,-0.52
3.44,77.6284,33.2991,-0.58
3.45,77.9614,33.2924,-0.64
3.46,78.2943,33.2851,-0.7
3.47,78.6271,33.2772,-0.76
3.48,78.9598,33.2687,-0.82
3.49,79.2925,33.2596,-0.88
3.5,79.625,33.2499,-0.94
3.51,79.9574,33.2396,-1
3.52,80.2898,33.2287,-1.06
3.53,80.622,33.2172,-1.12
3.54,80.9541,33.2051,-1.18
3.55,81.2861,33.1924,-1.24
3.56,81.618,33.1791,-1.3
3.57,81.9497,33.1652,-1.36
3.58,82.2813,33.1507,-1.42
3.59,82.6127,33.1356,-1.48
3.6,82.944,33.1199,-1.54
3.61,83.2751,33.1036,-1.6
3.62,83.6061,33.0867,-1.66
3.63,83.9369,33.0692,-1.72
3.64,84.2675,33.0511,-1.78
3.65,84.5979,33.0324,-1.84
3.66,84.9281,33.0131,-1.9
3.67,85.2581,32.9932,-1.96
3.68,85.588,32.9727,-2.02
3.69,85.9176,32.9516,-2.08
3.7,86.247,32.9299,-2.14
3.71,86.5762,32.9076,-2.2
3.72,86.9052,32.8847,-2.26
3.73,87.2339,32.8612,-2.32
3.74,87.5624,32.8371,-2.38
3.75,87.8906,32.8124,-2.44
3.76,88.2186,32.7871,-2.5
3.77,88.5464,32.7612,-2.56
3.78,88.8738,32.7347,-2.62
3.79,89.2011,32.7076,-2.68
3.8,89.528,32.6799,-2.74
3.81,89.8547,32.6516,-2.8
3.82,90.181,32.6227,-2.86
3.83,90.5071,32.5932,-2.92
3.84,90.8329,32.5631,-2.98
3.85,91.1584,32.5324,-3.04
3.86,91.4835,32.5011,-3.1
3.87,91.8084,32.4692,-3.16
3.88,92.1329,32.4367,-3.22
3.89,92.4571,32.4036,-3.28
3.9,92.781,32.3699,-3.34
3.91,93.1045,32.3356,-3.4
3.92,93.4277,32.3007,-3.46
3.93,93.7505,32.2652,-3.52
3.94,94.073,32.2291,-3.58
3.95,94.3951,32.1924,-3.64
3.96,94.7169,32.1551,-3.7
3.97,95.0382,32.1172,-3.76
