t,x,v,E,method
0.125664,0.992104,-0.125664,0.500031,RK2
0.251327,0.96848,-0.249343,0.500062,RK2
0.376991,0.929499,-0.369077,0.500094,RK2
0.502655,0.875781,-0.482967,0.500125,RK2
0.628319,0.808174,-0.589208,0.500156,RK2
0.753982,0.727751,-0.686114,0.500187,RK2
0.879646,0.635786,-0.772148,0.500218,RK2
1.00531,0.533735,-0.845947,0.500249,RK2
1.13097,0.423216,-0.906339,0.500281,RK2
1.25664,0.30598,-0.952365,0.500312,RK2
1.3823,0.183887,-0.983296,0.500343,RK2
1.50796,0.05887,-0.99864,0.500374,RK2
1.63363,-0.0670877,-0.998153,0.500405,RK2
1.75929,-0.19199,-0.981842,0.500437,RK2
1.88496,-0.313856,-0.949963,0.500468,RK2
2.01062,-0.430753,-0.903022,0.500499,RK2
2.13628,-0.540829,-0.841762,0.50053,RK2
2.26195,-0.642338,-0.767153,0.500561,RK2
2.38761,-0.73367,-0.680378,0.500593,RK2
2.51327,-0.813376,-0.58281,0.500624,RK2
2.63894,-0.880192,-0.475996,0.500655,RK2
2.7646,-0.933057,-0.36163,0.500686,RK2
2.89027,-0.971134,-0.241523,0.500717,RK2
3.01593,-0.993817,-0.11758,0.500749,RK2
3.14159,-1.00075,0.00823527,0.50078,RK2
3.26726,-0.991809,0.133928,0.500811,RK2
3.39292,-0.967148,0.257505,0.500842,RK2
3.51858,-0.927153,0.377007,0.500874,RK2
3.64425,-0.872456,0.49054,0.500905,RK2
3.76991,-0.803925,0.596303,0.500936,RK2
3.89557,-0.722644,0.692619,0.500967,RK2
4.02124,-0.629901,0.77796,0.500998,RK2
4.1469,-0.527166,0.850973,0.50103,RK2
4.27257,-0.416067,0.9105,0.501061,RK2
4.39823,-0.298365,0.955595,0.501092,RK2
4.52389,-0.175926,0.985544,0.501123,RK2
4.64956,-0.0506898,0.99987,0.501155,RK2
4.77522,0.0753578,0.998345,0.501186,RK2
4.90088,0.200219,0.980993,0.501217,RK2
5.02655,0.321913,0.948087,0.501248,RK2
5.15221,0.438511,0.900148,0.50128,RK2
5.27788,0.548165,0.837936,0.501311,RK2
5.40354,0.649135,0.762436,0.501342,RK2
5.5292,0.73982,0.674843,0.501373,RK2
5.65487,0.818782,0.576546,0.501405,RK2
5.78053,0.884768,0.469103,0.501436,RK2
