t,x,y,vx,vy,E,L
0,4,0,0,0.273861,-0.2125,-1.09545
1.46059,3.93313,0.397758,-0.0918504,0.269229,-0.2125,-1.09544
2.85028,3.7431,0.763489,-0.182444,0.255444,-0.2125,-1.09544
4.06726,3.47016,1.06229,-0.267209,0.233877,-0.2125,-1.09544
5.08925,3.15806,1.28808,-0.34476,0.206255,-0.2125,-1.09544
5.9382,2.83579,1.45013,-0.415625,0.173755,-0.212499,-1.09544
6.64523,2.51929,1.56063,-0.480733,0.137023,-0.212499,-1.09544
7.23808,2.21675,1.63035,-0.540861,0.0963809,-0.212498,-1.09544
7.73896,1.93211,1.66797,-0.596535,0.0519863,-0.212498,-1.09544
8.16523,1.66699,1.68028,-0.648058,0.00391363,-0.212498,-1.09544
8.53045,1.42173,1.67262,-0.695554,-0.0477958,-0.212497,-1.09544
8.84531,1.19594,1.64917,-0.73901,-0.103104,-0.212497,-1.09544
9.11833,0.988841,1.61325,-0.778301,-0.161959,-0.212497,-1.09544
9.35635,0.799439,1.56752,-0.813219,-0.224274,-0.212496,-1.09544
9.56494,0.626638,1.5141,-0.843487,-0.289924,-0.212496,-1.09544
9.74866,0.469318,1.45469,-0.868778,-0.358729,-0.212496,-1.09544
9.91128,0.326371,1.39068,-0.888726,-0.430447,-0.212496,-1.09544
10.0559,0.19673,1.32316,-0.902946,-0.504766,-0.212496,-1.09544
10.1853,0.0793834,1.25305,-0.911046,-0.581302,-0.212496,-1.09544
10.3014,-0.0266184,1.18106,-0.91264,-0.659587,-0.212496,-1.09544
10.4063,-0.122156,1.10777,-0.907372,-0.739076,-0.212495,-1.09544
10.5016,-0.208042,1.03364,-0.894925,-0.819141,-0.212495,-1.09544
10.5885,-0.285021,0.959023,-0.875044,-0.899081,-0.212495,-1.09544
10.6682,-0.353771,0.88421,-0.847551,-0.978122,-0.212495,-1.09544
10.7418,-0.414906,0.809415,-0.812362,-1.05544,-0.212495,-1.09544
