t,y,abs_err,rel_err,h
0,1,0,0,1
1,1,0,0,1
2,0,0.606531,1,1
3,0,0.135335,1,1
4,0,0.011109,1,1
0,1,0,0,0.5
0.5,1,0,0,0.5
1,0.75,0.132497,0.150139,0.5
1.5,0.375,0.231531,0.38173,0.5
2,0.09375,0.230902,0.71123,0.5
2.5,0,0.135335,1,0.5
3,0,0.0439369,1,0.5
3.5,0,0.011109,1,0.5
0,1,0,0,0.25
0.25,1,0,0,0.25
0.5,0.9375,0.0317332,0.0327406,0.25
0.75,0.820312,0.0621844,0.0704642,0.25
1,0.666504,0.0883357,0.117026,0.25
1.25,0.499878,0.106653,0.175841,0.25
1.5,0.343666,0.114167,0.249364,0.25
1.75,0.214791,0.109861,0.338396,0.25
2,0.12082,0.0954451,0.441333,0.25
2.25,0.0604101,0.0749252,0.553627,0.25
2.5,0.0264294,0.0531301,0.667803,0.25
2.75,0.00991102,0.0340259,0.774426,0.25
3,0.0030972,0.019697,0.864123,0.25
3.25,0.000774299,0.0103347,0.9303,0.25
0,1,0,0,0.125
0.125,1,0,0,0.125
0.25,0.984375,0.00784294,0.00790445,0.125
0.375,0.953613,0.01562,0.0161158,0.125
0.5,0.908913,0.0231898,0.0248791,0.125
0.625,0.852106,0.0303913,0.0344378,0.125
0.75,0.785535,0.0370427,0.0450325,0.125
0.875,0.711891,0.0429486,0.0568977,0.125
1,0.634028,0.0479129,0.0702596,0.125
1.125,0.554774,0.0517562,0.0853316,0.125
1.25,0.476759,0.0543367,0.102311,0.125
1.375,0.402266,0.0555677,0.121371,0.125
1.5,0.333126,0.0554319,0.142661,0.125
1.625,0.270665,0.0539874,0.166293,0.125
1.75,0.215686,0.0513656,0.192343,0.125
1.875,0.168505,0.0477603,0.220841,0.125
2,0.129012,0.0434101,0.251767,0.125
2.125,0.0967586,0.0385766,0.285045,0.125
2.25,0.0710571,0.0335219,0.320541,0.125
2.375,0.0510723,0.0284872,0.358061,0.125
2.5,0.0359102,0.0236771,0.397351,0.125
2.625,0.0246883,0.0192487,0.438097,0.125
2.75,0.0165874,0.0153074,0.479933,0.125
2.875,0.0108855,0.0119087,0.522444,0.125
3,0.00697353,0.00906418,0.565179,0.125
3.125,0.00435845,0.00675054,0.607664,0.125
0,1,0,0,0.0625
0.0625,1,0,0,0.0625
0.125,0.996094,0.00195503,0.00195885,0.0625
0.1875,0.988312,0.00390617,0.00393681,0.0625
0.25,0.97673,0.00584548,0.00594914,0.0625
0.3125,0.961469,0.00776465,0.00801113,0.0625
0.375,0.94269,0.0096549,0.010138,0.0625
0.4375,0.920596,0.0115069,0.0123451,0.0625
0.5,0.895423,0.0133107,0.0146475,0.0625
0.5625,0.867441,0.0150558,0.0170605,0.0625
0.625,0.836945,0.0167312,0.019599,0.0625
0.6875,0.804252,0.0183256,0.0222783,0.0625
0.75,0.769694,0.0198273,0.0251131,0.0625
0.8125,0.733615,0.0212248,0.0281182,0.0625
0.875,0.696361,0.0225066,0.0313084,0.0625
0.9375,0.658279,0.023662,0.0346981,0.0625
1,0.619708,0.024681,0.0383015,0.0625
1.0625,0.580976,0.0255547,0.0421326,0.0625
1.125,0.542396,0.0262755,0.0462051,0.0625
1.1875,0.504258,0.0268376,0.0505326,0.0625
1.25,0.466833,0.0272371,0.0551279,0.0625
1.3125,0.430362,0.0274718,0.0600038,0.0625
1.375,0.395058,0.0275419,0.0651725,0.0625
1.4375,0.361108,0.02745,0.0706457,0.0625
1.5,0.328665,0.0272004,0.0764346,0.0625
1.5625,0.297853,0.0267999,0.0825497,0.0625
1.625,0.268765,0.0262573,0.089001,0.0625
1.6875,0.241469,0.025583,0.0957977,0.0625
1.75,0.216001,0.024789,0.102948,0.0625
1.8125,0.192376,0.0238889,0.110461,0.0625
1.875,0.170584,0.0228969,0.118342,0.0625
1.9375,0.150593,0.0218282,0.126598,0.0625
2,0.132357,0.0206983,0.135233,0.0625
2.0625,0.115813,0.0195225,0.144253,0.0625
2.125,0.100884,0.0183161,0.153659,0.0625
2.1875,0.0874852,0.0170938,0.163454,0.0625
2.25,0.0755243,0.0158694,0.173638,0.0625
2.3125,0.0649037,0.0146558,0.184212,0.0625
2.375,0.0555231,0.0134645,0.195173,0.0625
2.4375,0.0472814,0.0123059,0.206519,0.0625
2.5,0.0400784,0.0111889,0.218246,0.0625
2.5625,0.0338161,0.0101208,0.230349,0.0625
2.625,0.0284003,0.00910767,0.24282,0.0625
2.6875,0.0237408,0.00815396,0.255652,0.0625
2.75,0.0197531,0.00726283,0.268835,0.0625
2.8125,0.0163581,0.00643613,0.282359,0.0625
2.875,0.0134826,0.00567456,0.296211,0.0625
2.9375,0.01106,0.00497775,0.310378,0.0625
3,0.00902942,0.00434445,0.324846,0.0625
3.0625,0.0073364,0.0037726,0.339598,0.0625
0,1,0,0,0.03125
0.03125,1,0,0,0.03125
0.0625,0.999023,0.0004884,0.000488639,0.03125
0.09375,0.997072,0.000976561,0.00097847,0.03125
0.125,0.994151,0.001464,0.00147045,0.03125
0.15625,0.990268,0.00195023,0.00196553,0.03125
0.1875,0.985432,0.00243476,0.00246466,0.03125
0.21875,0.979658,0.00291707,0.0029688,0.03125
0.25,0.972962,0.00339666,0.0034789,0.03125
0.28125,0.96536,0.00387298,0.00399592,0.03125
0.3125,0.956876,0.0043455,0.00452081,0.03125
0.34375,0.947531,0.00481365,0.00505452,0.03125
0.375,0.937353,0.00527685,0.00559801,0.03125
0.40625,0.926368,0.0057345,0.00615222,0.03125
