r,phi,phi',Phi,s
0.02,-6.60033e-07,-9.86766e-05,-3.30017e-05,0
0.04,-5.22792e-06,-0.000389492,-0.000130698,0
0.06,-1.74696e-05,-0.000864797,-0.00029116,0
0.08,-4.10002e-05,-0.00151717,-0.000512503,0
0.1,-7.92889e-05,-0.00233942,-0.000792889,0
0.12,-0.000135663,-0.00332456,-0.00113052,0
0.14,-0.000213312,-0.00446581,-0.00152366,0
0.16,-0.000315292,-0.0057566,-0.00197058,0
0.18,-0.00044453,-0.00719058,-0.00246961,0
0.2,-0.000603828,-0.00876155,-0.00301914,0
0.22,-0.000795866,-0.0104635,-0.00361757,0
0.24,-0.0010232,-0.0122907,-0.00426335,0
0.26,-0.00128829,-0.0142375,-0.00495497,0
0.28,-0.00159347,-0.0162984,-0.00569095,0
0.3,-0.00194095,-0.0184682,-0.00646985,0
0.32,-0.00233288,-0.0207416,-0.00729026,0
0.34,-0.00277128,-0.0231139,-0.00815082,0
0.36,-0.00325806,-0.0255801,-0.00905018,0
0.38,-0.00379508,-0.0281356,-0.00998704,0
0.4,-0.00438406,-0.030776,-0.0109601,0
0.42,-0.00502665,-0.0334968,-0.0119682,0
0.44,-0.00572443,-0.0362938,-0.0130101,0
0.46,-0.00647888,-0.0391629,-0.0140845,0
0.48,-0.00729141,-0.0421003,-0.0151904,0
0.5,-0.00816332,-0.045102,-0.0163266,0
0.52,-0.00909589,-0.0481644,-0.0174921,0
0.54,-0.0100903,-0.0512838,-0.0186857,0
0.56,-0.0111476,-0.0544569,-0.0199064,0
0.58,-0.0122689,-0.0576803,-0.0211533,0
0.6,-0.0134551,-0.0609507,-0.0224252,0
0.62,-0.0147072,-0.064265,-0.0237213,0
0.64,-0.016026,-0.0676202,-0.0250406,0
0.66,-0.0174123,-0.0710134,-0.0263822,0
0.68,-0.0188668,-0.0744417,-0.0277452,0
0.7,-0.0203902,-0.0779025,-0.0291288,0
0.72,-0.0219831,-0.0813931,-0.030532,0
0.74,-0.0236461,-0.0849109,-0.0319541,0
0.76,-0.0253797,-0.0884535,-0.0333943,0
0.78,-0.0271844,-0.0920186,-0.0348517,0
0.8,-0.0290605,-0.0956039,-0.0363257,0
0.82,-0.0310086,-0.0992072,-0.0378154,0
0.84,-0.0330289,-0.102826,-0.0393202,0
0.86,-0.0351218,-0.106459,-0.0408393,0
0.88,-0.0372874,-0.110104,-0.042372,0
0.9,-0.039526,-0.113759,-0.0439178,0
0.92,-0.0418378,-0.117422,-0.0454759,0
0.94,-0.0442229,-0.121091,-0.0470457,0
0.96,-0.0466815,-0.124765,-0.0486265,0
0.98,-0.0492135,-0.128442,-0.0502179,0
1,-0.0518192,-0.132121,-0.0518192,0
1.02,-0.0544984,-0.135799,-0.0534298,0
1.04,-0.0572511,-0.139476,-0.0550492,0
1.06,-0.0600774,-0.143151,-0.0566768,0
1.08,-0.0629771,-0.146821,-0.0583121,0
1.1,-0.0659502,-0.150485,-0.0599547,0
1.12,-0.0689965,-0.154143,-0.061604,0
1.14,-0.0721159,-0.157794,-0.0632595,0
1.16,-0.0753082,-0.161435,-0.0649208,0
1.18,-0.0785732,-0.165066,-0.0665875,0
1.2,-0.0819107,-0.168686,-0.0682589,0
1.22,-0.0853206,-0.172295,-0.0699349,0
1.24,-0.0888024,-0.17589,-0.0716149,0
1.26,-0.0923561,-0.179471,-0.0732985,0
1.28,-0.0959812,-0.183037,-0.0749853,0
1.3,-0.0996775,-0.186588,-0.076675,0
1.32,-0.103445,-0.190123,-0.0783671,0
1.34,-0.107282,-0.193641,-0.0800614,0
1.36,-0.11119,-0.19714,-0.0817574,0
1.38,-0.115168,-0.200622,-0.0834549,0
1.4,-0.119215,-0.204084,-0.0851535,0
