r,phi,Phi,exact,Exact,s
0.02,0.00999934,0.499967,0.00999934,0.499967,0.5
0.04,0.0199948,0.499869,0.0199948,0.499869,0.5
0.06,0.0299825,0.499709,0.0299825,0.499709,0.5
0.08,0.039959,0.499488,0.039959,0.499487,0.5
0.1,0.0499207,0.499207,0.0499207,0.499207,0.5
0.12,0.0598643,0.498869,0.0598643,0.498869,0.5
0.14,0.0697867,0.498476,0.0697867,0.498476,0.5
0.16,0.0796847,0.498029,0.0796847,0.498029,0.5
0.18,0.0895555,0.49753,0.0895555,0.49753,0.5
0.2,0.0993962,0.496981,0.0993962,0.496981,0.5
0.22,0.109204,0.496382,0.109204,0.496382,0.5
0.24,0.118977,0.495737,0.118977,0.495737,0.5
0.26,0.128712,0.495045,0.128712,0.495045,0.5
0.28,0.138407,0.494309,0.138407,0.494309,0.5
0.3,0.148059,0.49353,0.148059,0.49353,0.5
0.32,0.157667,0.49271,0.157667,0.49271,0.5
0.34,0.167229,0.491849,0.167229,0.491849,0.5
0.36,0.176742,0.49095,0.176742,0.49095,0.5
0.38,0.186205,0.490013,0.186205,0.490013,0.5
0.4,0.195616,0.48904,0.195616,0.48904,0.5
0.42,0.204973,0.488032,0.204973,0.488032,0.5
0.44,0.214276,0.48699,0.214276,0.48699,0.5
0.46,0.223521,0.485915,0.223521,0.485915,0.5
0.48,0.232709,0.48481,0.232709,0.48481,0.5
0.5,0.241837,0.483673,0.241837,0.483673,0.5
0.52,0.250904,0.482508,0.250904,0.482508,0.5
0.54,0.25991,0.481314,0.25991,0.481314,0.5
0.56,0.268852,0.480094,0.268852,0.480094,0.5
0.58,0.277731,0.478847,0.277731,0.478847,0.5
0.6,0.286545,0.477575,0.286545,0.477575,0.5
0.62,0.295293,0.476279,0.295293,0.476279,0.5
0.64,0.303974,0.474959,0.303974,0.474959,0.5
0.66,0.312588,0.473618,0.312588,0.473618,0.5
0.68,0.321133,0.472255,0.321133,0.472255,0.5
0.7,0.32961,0.470871,0.32961,0.470871,0.5
0.72,0.338017,0.469468,0.338017,0.469468,0.5
0.74,0.346354,0.468046,0.346354,0.468046,0.5
0.76,0.35462,0.466606,0.35462,0.466606,0.5
0.78,0.362816,0.465148,0.362816,0.465148,0.5
0.8,0.370939,0.463674,0.370939,0.463674,0.5
0.82,0.378991,0.462185,0.378991,0.462185,0.5
0.84,0.386971,0.46068,0.386971,0.46068,0.5
0.86,0.394878,0.459161,0.394878,0.459161,0.5
0.88,0.402713,0.457628,0.402713,0.457628,0.5
0.9,0.410474,0.456082,0.410474,0.456082,0.5
0.92,0.418162,0.454524,0.418162,0.454524,0.5
0.94,0.425777,0.452954,0.425777,0.452954,0.5
0.96,0.433319,0.451373,0.433319,0.451373,0.5
0.98,0.440786,0.449782,0.440786,0.449782,0.5
1,0.448181,0.448181,0.448181,0.448181,0.5
1.02,0.455502,0.44657,0.455502,0.44657,0.5
1.04,0.462749,0.444951,0.462749,0.444951,0.5
1.06,0.469923,0.443323,0.469923,0.443323,0.5
1.08,0.477023,0.441688,0.477023,0.441688,0.5
1.1,0.48405,0.440045,0.48405,0.440045,0.5
1.12,0.491004,0.438396,0.491004,0.438396,0.5
1.14,0.497884,0.43674,0.497884,0.43674,0.5
1.16,0.504692,0.435079,0.504692,0.435079,0.5
1.18,0.511427,0.433413,0.511427,0.433413,0.5
1.2,0.518089,0.431741,0.518089,0.431741,0.5
1.22,0.524679,0.430065,0.524679,0.430065,0.5
1.24,0.531198,0.428385,0.531198,0.428385,0.5
1.26,0.537644,0.426702,0.537644,0.426702,0.5
1.28,0.544019,0.425015,0.544019,0.425015,0.5
1.3,0.550323,0.423325,0.550323,0.423325,0.5
1.32,0.556555,0.421633,0.556555,0.421633,0.5
1.34,0.562718,0.419939,0.562718,0.419939,0.5
1.36,0.56881,0.418243,0.56881,0.418243,0.5
1.38,0.574832,0.416545,0.574832,0.416545,0.5
1.4,0.580785,0.414847,0.580785,0.414847,0.5
1.42,0.586669,0.413147,0.586669,0.413147,0.5
1.44,0.592484,0.411447,0.592484,0.411447,0.5
1.46,0.598231,0.409747,0.598231,0.409747,0.5
1.48,0.60391,0.408048,0.60391,0.408048,0.5
1.5,0.609522,0.406348,0.609522,0.406348,0.5
1.52,0.615067,0.404649,0.615067,0.404649,0.5
1.54,0.620545,0.402952,0.620545,0.402952,0.5
1.56,0.625958,0.401255,0.625958,0.401255,0.5
1.58,0.631305,0.39956,0.631305,0.39956,0.5
1.6,0.636586,0.397866,0.636586,0.397866,0.5
1.62,0.641803,0.396175,0.641803,0.396175,0.5
1.64,0.646956,0.394486,0.646956,0.394486,0.5
1.66,0.652046,0.392799,0.652046,0.392799,0.5
1.68,0.657072,0.391114,0.657072,0.391114,0.5
1.7,0.662035,0.389433,0.662035,0.389433,0.5
1.72,0.666937,0.387754,0.666937,0.387754,0.5
1.74,0.671777,0.386079,0.671777,0.386079,0.5
1.76,0.676556,0.384407,0.676556,0.384407,0.5
1.78,0.681274,0.382738,0.681274,0.382738,0.5
1.8,0.685932,0.381073,0.685932,0.381073,0.5
