x,psi
9.975,2.47577e-22
9.95,3.17596e-22
9.925,4.07162e-22
9.9,5.21661e-22
9.875,6.6794e-22
9.85,8.54704e-22
9.825,1.09301e-21
9.8,1.39688e-21
9.775,1.78411e-21
9.75,2.27727e-21
9.725,2.90493e-21
9.7,3.70327e-21
9.675,4.71806e-21
9.65,6.00717e-21
9.625,7.64374e-21
9.6,9.72008e-21
9.575,1.23527e-20
9.55,1.56886e-20
9.525,1.99129e-20
9.5,2.52588e-20
9.475,3.20198e-20
9.45,4.05653e-20
9.425,5.13593e-20
9.4,6.49848e-20
9.375,8.21738e-20
9.35,1.03844e-19
9.325,1.31148e-19
9.3,1.65527e-19
9.275,2.08788e-19
9.25,2.6319e-19
9.225,3.3156e-19
9.2,4.1743e-19
9.175,5.25211e-19
9.15,6.60408e-19
9.125,8.29889e-19
9.1,1.04221e-18
9.075,1.30804e-18
9.05,1.64064e-18
9.025,2.05653e-18
9,2.57623e-18
8.975,3.22526e-18
8.95,4.03526e-18
8.925,5.04554e-18
8.9,6.30482e-18
8.875,7.87346e-18
8.85,9.82624e-18
8.825,1.22557e-17
8.8,1.52763e-17
8.775,1.90294e-17
8.75,2.36898e-17
8.725,2.94731e-17
8.7,3.66453e-17
8.675,4.55345e-17
8.65,5.65446e-17
8.625,7.0173e-17
8.6,8.70318e-17
8.575,1.07873e-16
8.55,1.33622e-16
8.525,1.65414e-16
8.5,2.04642e-16
8.475,2.53014e-16
8.45,3.12625e-16
8.425,3.8604e-16
8.4,4.76396e-16
8.375,5.87534e-16
8.35,7.24147e-16
8.325,8.91967e-16
8.3,1.09799e-15
8.275,1.35076e-15
8.25,1.66068e-15
8.225,2.04044e-15
8.2,2.50546e-15
8.175,3.07455e-15
8.15,3.77054e-15
8.125,4.6212e-15
8.1,5.66023e-15
8.075,6.92854e-15
8.05,8.47576e-15
8.025,1.0362e-14
8,1.26601e-14
7.975,1.54582e-14
7.95,1.8863e-14
7.925,2.30033e-14
7.9,2.80348e-14
7.875,3.41456e-14
7.85,4.15623e-14
7.825,5.05584e-14
7.8,6.14632e-14
7.775,7.46734e-14
7.75,9.06663e-14
7.725,1.10015e-13
7.7,1.33411e-13
7.675,1.6168e-13
7.65,1.95816e-13
7.625,2.37013e-13
7.6,2.86697e-13
7.575,3.46579e-13
7.55,4.18707e-13
7.525,5.0553e-13
7.5,6.09975e-13
7.475,7.35539e-13
7.45,8.86397e-13
7.425,1.06753e-12
7.4,1.28487e-12
7.375,1.54549e-12
7.35,1.85782e-12
7.325,2.23187e-12
7.3,2.67956e-12
7.275,3.21503e-12
7.25,3.8551e-12
7.225,4.61972e-12
7.2,5.53253e-12
7.175,6.62156e-12
7.15,7.92001e-12
7.125,9.46716e-12
7.1,1.13095e-11
7.075,1.35019e-11
7.05,1.61092e-11
7.025,1.9208e-11
7,2.28885e-11
6.975,2.72573e-11
6.95,3.24397e-11
6.925,3.85833e-11
6.9,4.58618e-11
6.875,5.44791e-11
6.85,6.46753e-11
