x,psi
-9.975,1.50148e-22
-9.95,1.16713e-22
-9.925,9.04649e-23
-9.9,6.97584e-23
-9.875,5.33036e-23
-9.85,4.00808e-23
-9.825,2.92759e-23
-9.8,2.0228e-23
-9.775,1.2388e-23
-9.75,5.28398e-24
-9.725,-1.50758e-24
-9.7,-8.38741e-24
-9.675,-1.57572e-23
-9.65,-2.4043e-23
-9.625,-3.37193e-23
-9.6,-4.53355e-23
-9.575,-5.95463e-23
-9.55,-7.71469e-23
-9.525,-9.9116e-23
-9.5,-1.26668e-22
-9.475,-1.61317e-22
-9.45,-2.04955e-22
-9.425,-2.59955e-22
-9.4,-3.29286e-22
-9.375,-4.16673e-22
-9.35,-5.26785e-22
-9.325,-6.65473e-22
-9.3,-8.40062e-22
-9.275,-1.05973e-21
-9.25,-1.33594e-21
-9.225,-1.68306e-21
-9.2,-2.119e-21
-9.175,-2.66618e-21
-9.15,-3.35253e-21
-9.125,-4.21292e-21
-9.1,-5.29079e-21
-9.075,-6.64028e-21
-9.05,-8.32876e-21
-9.025,-1.044e-20
-9,-1.30784e-20
-8.975,-1.63731e-20
-8.95,-2.04852e-20
-8.925,-2.56139e-20
-8.9,-3.20067e-20
-8.875,-3.997e-20
-8.85,-4.98833e-20
-8.825,-6.22166e-20
-8.8,-7.75506e-20
-8.775,-9.66034e-20
-8.75,-1.20262e-19
-8.725,-1.49621e-19
-8.7,-1.86032e-19
-8.675,-2.31158e-19
-8.65,-2.87051e-19
-8.625,-3.56236e-19
-8.6,-4.41821e-19
-8.575,-5.47624e-19
-8.55,-6.78339e-19
-8.525,-8.39732e-19
-8.5,-1.03887e-18
-8.475,-1.28444e-18
-8.45,-1.58706e-18
-8.425,-1.95975e-18
-8.4,-2.41845e-18
-8.375,-2.98264e-18
-8.35,-3.67616e-18
-8.325,-4.52811e-18
-8.3,-5.57401e-18
-8.275,-6.8572e-18
-8.25,-8.43053e-18
-8.225,-1.03584e-17
-8.2,-1.27191e-17
-8.175,-1.56081e-17
-8.15,-1.91413e-17
-8.125,-2.34597e-17
-8.1,-2.87344e-17
-8.075,-3.5173e-17
-8.05,-4.30275e-17
-8.025,-5.26031e-17
-8,-6.42695e-17
-7.975,-7.84743e-17
-7.95,-9.57587e-17
-7.925,-1.16777e-16
-7.9,-1.4232e-16
-7.875,-1.73341e-16
-7.85,-2.10993e-16
-7.825,-2.56662e-16
-7.8,-3.12021e-16
-7.775,-3.79083e-16
-7.75,-4.60271e-16
-7.725,-5.58498e-16
-7.7,-6.77265e-16
-7.675,-8.20774e-16
-7.65,-9.94071e-16
-7.625,-1.20321e-15
-7.6,-1.45543e-15
-7.575,-1.75942e-15
-7.55,-2.12558e-15
-7.525,-2.56634e-15
-7.5,-3.09656e-15
-7.475,-3.734e-15
-7.45,-4.49983e-15
-7.425,-5.41935e-15
-7.4,-6.52269e-15
-7.375,-7.84576e-15
-7.35,-9.4313e-15
-7.325,-1.13302e-14
-7.3,-1.36029e-14
-7.275,-1.63212e-14
-7.25,-1.95706e-14
-7.225,-2.34522e-14
-7.2,-2.80861e-14
-7.175,-3.36147e-14
-7.15,-4.02063e-14
-7.125,-4.80605e-14
-7.1,-5.7413e-14
-7.075,-6.85427e-14
-7.05,-8.17789e-14
-7.025,-9.751e-14
-7,-1.16195e-13
-6.975,-1.38373e-13
-6.95,-1.64682e-13
-6.925,-1.9587e-13
-6.9,-2.32819e-13
-6.875,-2.76566e-13
-6.85,-3.28327e-13
-6.825,-3.89532e-13
-6.8,-4.61858e-13
-6.775,-5.47271e-13
-6.75,-6.48075e-13
-6.725,-7.66966e-13
-6.7,-9.07101e-13
-6.675,-1.07217e-12
-6.65,-1.26649e-12
