x,psi,E
-9.98738,2.18812e-22,0.5
-9.97475,2.48197e-22,0.5
-9.96213,2.81484e-22,0.5
-9.9495,3.19184e-22,0.5
-9.93688,3.61875e-22,0.5
-9.92425,4.10211e-22,0.5
-9.91163,4.64929e-22,0.5
-9.899,5.26863e-22,0.5
-9.88638,5.96951e-22,0.5
-9.87375,6.76255e-22,0.5
-9.86113,7.65973e-22,0.5
-9.8485,8.67455e-22,0.5
-9.83588,9.82225e-22,0.5
-9.82325,1.112e-21,0.5
-9.81063,1.25873e-21,0.5
-9.798,1.42459e-21,0.5
-9.78538,1.61204e-21,0.5
-9.77275,1.82387e-21,0.5
-9.76013,2.06321e-21,0.5
-9.7475,2.33358e-21,0.5
-9.73488,2.63896e-21,0.5
-9.72225,2.98384e-21,0.5
-9.70963,3.37324e-21,0.5
-9.697,3.81285e-21,0.5
-9.68438,4.30907e-21,0.5
-9.67175,4.86909e-21,0.5
-9.65913,5.50102e-21,0.5
-9.6465,6.21397e-21,0.5
-9.63388,7.0182e-21,0.5
-9.62125,7.92526e-21,0.5
-9.60863,8.94812e-21,0.5
-9.596,1.01014e-20,0.5
-9.58338,1.14015e-20,0.5
-9.57075,1.28668e-20,0.5
-9.55813,1.45182e-20,0.5
-9.5455,1.63789e-20,0.5
-9.53288,1.84751e-20,0.5
-9.52025,2.08363e-20,0.5
-9.50763,2.34956e-20,0.5
-9.495,2.649e-20,0.5
-9.48238,2.98612e-20,0.5
-9.46975,3.36561e-20,0.5
-9.45713,3.79273e-20,0.5
-9.4445,4.27337e-20,0.5
-9.43188,4.81415e-20,0.5
-9.41925,5.4225e-20,0.5
-9.40663,6.10675e-20,0.5
-9.394,6.87626e-20,0.5
-9.38138,7.74149e-20,0.5
-9.36875,8.7142e-20,0.5
-9.35613,9.80757e-20,0.5
-9.3435,1.10364e-19,0.5
-9.33088,1.24171e-19,0.5
-9.31825,1.39684e-19,0.5
-9.30563,1.5711e-19,0.5
-9.293,1.76682e-19,0.5
-9.28038,1.9866e-19,0.5
-9.26775,2.23337e-19,0.5
-9.25513,2.51038e-19,0.5
-9.2425,2.82131e-19,0.5
-9.22988,3.17024e-19,0.5
-9.21725,3.56176e-19,0.5
-9.20463,4.001e-19,0.5
-9.192,4.49368e-19,0.5
-9.17938,5.04623e-19,0.5
-9.16675,5.66582e-19,0.5
-9.15413,6.36047e-19,0.5
-9.1415,7.13914e-19,0.5
-9.12888,8.01187e-19,0.5
-9.11625,8.98985e-19,0.5
-9.10363,1.00856e-18,0.5
-9.091,1.13131e-18,0.5
-9.07838,1.2688e-18,0.5
-9.06575,1.42277e-18,0.5
-9.05313,1.59517e-18,0.5
-9.0405,1.78818e-18,0.5
-9.02788,2.00422e-18,0.5
-9.01525,2.246e-18,0.5
-9.00263,2.51655e-18,0.5
-8.99,2.81924e-18,0.5
-8.97738,3.15783e-18,0.5
-8.96475,3.53653e-18,0.5
-8.95213,3.96001e-18,0.5
-8.9395,4.43349e-18,0.5
-8.92688,4.96279e-18,0.5
-8.91425,5.5544e-18,0.5
-8.90163,6.21554e-18,0.5
-8.889,6.95427e-18,0.5
-8.87638,7.77956e-18,0.5
-8.86375,8.7014e-18,0.5
-8.85113,9.73092e-18,0.5
-8.8385,1.08805e-17,0.5
-8.82588,1.2164e-17,0.5
-8.81325,1.35967e-17,0.5
-8.80063,1.51957e-17,0.5
-8.788,1.69801e-17,0.5
-8.77538,1.8971e-17,0.5
-8.76275,2.11919e-17,0.5
-8.75013,2.36691e-17,0.5
-8.7375,2.64316e-17,0.5
-8.72488,2.95119e-17,0.5
-8.71225,3.29458e-17,0.5
-8.69963,3.67735e-17,0.5
-8.687,4.10393e-17,0.5
-8.67438,4.57926e-17,0.5
-8.66175,5.10884e-17,0.5
-8.64913,5.69875e-17,0.5
-8.6365,6.35577e-17,0.5
-8.62388,7.0874e-17,0.5
-8.61125,7.90199e-17,0.5
-8.59863,8.80881e-17,0.5
-8.586,9.81812e-17,0.5
-8.57338,1.09413e-16,0.5
-8.56075,1.21911e-16,0.5
-8.54813,1.35815e-16,0.5
-8.5355,1.5128e-16,0.5
-8.52288,1.68479e-16,0.5
-8.51025,1.87604e-16,0.5
-8.49763,2.08867e-16,0.5
-8.485,2.32502e-16,0.5
-8.47238,2.58771e-16,0.5
-8.45975,2.87962e-16,0.5
-8.44713,3.20394e-16,0.5
-8.4345,3.56422e-16,0.5
-8.42188,3.96439e-16,0.5
-8.40925,4.40878e-16,0.5
-8.39663,4.90221e-16,0.5
-8.384,5.44999e-16,0.5
-8.37138,6.05801e-16,0.5
-8.35875,6.73279e-16,0.5
-8.34613,7.48155e-16,0.5
-8.3335,8.31224e-16,0.5
-8.32088,9.2337e-16,0.5
-8.30825,1.02557e-15,0.5
-8.29563,1.13889e-15,0.5
-8.283,1.26454e-15,0.5
-8.27038,1.40383e-15,0.5
-8.25775,1.55821e-15,0.5
-8.24513,1.72929e-15,0.5
-8.2325,1.91885e-15,0.5
-8.21988,2.12885e-15,0.5
-8.20725,2.36146e-15,0.5
-8.19463,2.61906e-15,0.5
-8.182,2.9043e-15,0.5
-8.16938,3.22009e-15,0.5
-8.15675,3.56966e-15,0.5
-8.14413,3.95653e-15,0.5
-8.1315,4.38464e-15,0.5
-8.11888,4.8583e-15,0.5
-8.10625,5.38227e-15,0.5
-8.09363,5.96179e-15,0.5
-8.081,6.60267e-15,0.5
-8.06838,7.31127e-15,0.5
-8.05575,8.09462e-15,0.5
-8.04313,8.96048e-15,0.5
-8.0305,9.91738e-15,0.5
-8.01788,1.09747e-14,0.5
-8.00525,1.21428e-14,0.5
-7.99263,1.34332e-14,0.5
-7.98,1.48582e-14,0.5
-7.96738,1.64318e-14,0.5
-7.95475,1.81692e-14,0.5
-7.94213,2.00871e-14,0.5
-7.9295,2.22039e-14,0.5
-7.91688,2.45398e-14,0.5
-7.90425,2.71172e-14,0.5
-7.89163,2.99605e-14,0.5
-7.879,3.30967e-14,0.5
-7.86638,3.65553e-14,0.5
-7.85375,4.03688e-14,0.5
-7.84113,4.45732e-14,0.5
-7.8285,4.92075e-14,0.5
-7.81588,5.43151e-14,0.5
-7.80325,5.99432e-14,0.5
-7.79063,6.61439e-14,0.5
-7.778,7.29745e-14,0.5
-7.76538,8.04976e-14,0.5
-7.75275,8.87822e-14,0.5
-7.74013,9.79037e-14,0.5
-7.7275,1.07945e-13,0.5
-7.71488,1.18998e-13,0.5
-7.70225,1.31161e-13,0.5
-7.68963,1.44544e-13,0.5
