x,psi,E
-9.98738,2.18828e-22,0
-9.97475,2.48264e-22,0
-9.96213,2.81643e-22,0
-9.9495,3.19482e-22,0
-9.93688,3.62369e-22,0
-9.92425,4.10966e-22,0
-9.91163,4.66023e-22,0
-9.899,5.28386e-22,0
-9.88638,5.99012e-22,0
-9.87375,6.78981e-22,0
-9.86113,7.69515e-22,0
-9.8485,8.7199e-22,0
-9.83588,9.87962e-22,0
-9.82325,1.11919e-21,0
-9.81063,1.26765e-21,0
-9.798,1.43558e-21,0
-9.78538,1.62551e-21,0
-9.77275,1.84027e-21,0
-9.76013,2.08308e-21,0
-9.7475,2.35756e-21,0
-9.73488,2.66779e-21,0
-9.72225,3.01836e-21,0
-9.70963,3.41446e-21,0
-9.697,3.86193e-21,0
-9.68438,4.36735e-21,0
-9.67175,4.93813e-21,0
-9.65913,5.58263e-21,0
-9.6465,6.31025e-21,0
-9.63388,7.13157e-21,0
-9.62125,8.05851e-21,0
-9.60863,9.1045e-21,0
-9.596,1.02846e-20,0
-9.58338,1.16159e-20,0
-9.57075,1.31174e-20,0
-9.55813,1.48106e-20,0
-9.5455,1.67197e-20,0
-9.53288,1.88719e-20,0
-9.52025,2.12979e-20,0
-9.50763,2.40318e-20,0
-9.495,2.71124e-20,0
-9.48238,3.0583e-20,0
-9.46975,3.44925e-20,0
-9.45713,3.88955e-20,0
-9.4445,4.38536e-20,0
-9.43188,4.94359e-20,0
-9.41925,5.572e-20,0
-9.40663,6.27929e-20,0
-9.394,7.07524e-20,0
-9.38138,7.97082e-20,0
-9.36875,8.97834e-20,0
-9.35613,1.01116e-19,0
-9.3435,1.13861e-19,0
-9.33088,1.28192e-19,0
-9.31825,1.44305e-19,0
-9.30563,1.62416e-19,0
-9.293,1.82772e-19,0
-9.28038,2.05646e-19,0
-9.26775,2.31346e-19,0
-9.25513,2.60217e-19,0
-9.2425,2.92645e-19,0
-9.22988,3.29061e-19,0
-9.21725,3.69951e-19,0
-9.20463,4.15855e-19,0
-9.192,4.67382e-19,0
-9.17938,5.25209e-19,0
-9.16675,5.90098e-19,0
-9.15413,6.62899e-19,0
-9.1415,7.44563e-19,0
-9.12888,8.36155e-19,0
-9.11625,9.38865e-19,0
-9.10363,1.05402e-18,0
-9.091,1.18312e-18,0
-9.07838,1.32782e-18,0
-9.06575,1.48998e-18,0
-9.05313,1.67168e-18,0
-9.0405,1.87524e-18,0
-9.02788,2.10326e-18,0
-9.01525,2.35862e-18,0
-9.00263,2.64457e-18,0
-8.99,2.96472e-18,0
-8.97738,3.3231e-18,0
-8.96475,3.72421e-18,0
-8.95213,4.17307e-18,0
-8.9395,4.6753e-18,0
-8.92688,5.23713e-18,0
-8.91425,5.86556e-18,0
-8.90163,6.56835e-18,0
-8.889,7.35418e-18,0
-8.87638,8.23272e-18,0
-8.86375,9.21475e-18,0
-8.85113,1.03123e-17,0
-8.8385,1.15387e-17,0
-8.82588,1.2909e-17,0
-8.81325,1.44397e-17,0
-8.80063,1.61493e-17,0
-8.788,1.80585e-17,0
-8.77538,2.01902e-17,0
-8.76275,2.25699e-17,0
-8.75013,2.52262e-17,0
-8.7375,2.81906e-17,0
-8.72488,3.14984e-17,0
-8.71225,3.51887e-17,0
-8.69963,3.93051e-17,0
-8.687,4.38962e-17,0
-8.67438,4.90157e-17,0
-8.66175,5.47237e-17,0
-8.64913,6.10866e-17,0
-8.6365,6.81787e-17,0
-8.62388,7.6082e-17,0
-8.61125,8.48881e-17,0
-8.59863,9.46984e-17,0
-8.586,1.05626e-16,0
-8.57338,1.17795e-16,0
-8.56075,1.31346e-16,0
-8.54813,1.46433e-16,0
-8.5355,1.63227e-16,0
-8.52288,1.81918e-16,0
-8.51025,2.02717e-16,0
-8.49763,2.25858e-16,0
-8.485,2.51601e-16,0
-8.47238,2.80234e-16,0
-8.45975,3.12076e-16,0
-8.44713,3.47481e-16,0
-8.4345,3.86842e-16,0
-8.42188,4.30593e-16,0
-8.40925,4.79216e-16,0
-8.39663,5.33245e-16,0
-8.384,5.93273e-16,0
-8.37138,6.59953e-16,0
-8.35875,7.34011e-16,0
-8.34613,8.1625e-16,0
-8.3335,9.0756e-16,0
-8.32088,1.00892e-15,0
-8.30825,1.12143e-15,0
-8.29563,1.24629e-15,0
-8.283,1.38483e-15,0
-8.27038,1.53853e-15,0
-8.25775,1.70901e-15,0
-8.24513,1.89809e-15,0
-8.2325,2.10775e-15,0
-8.21988,2.34019e-15,0
