x,psi,E
-9.9875,2.18542e-22,6.95173e-310
-9.975,2.47585e-22,6.95173e-310
-9.9625,2.80444e-22,6.95173e-310
-9.95,3.17615e-22,6.95173e-310
-9.93749,3.59657e-22,6.95173e-310
-9.92499,4.07199e-22,6.95173e-310
-9.91249,4.60954e-22,6.95173e-310
-9.89999,5.21724e-22,6.95173e-310
-9.88749,5.90414e-22,6.95173e-310
-9.87499,6.68042e-22,6.95173e-310
-9.86249,7.55759e-22,6.95173e-310
-9.84999,8.5486e-22,6.95173e-310
-9.83748,9.66804e-22,6.95173e-310
-9.82498,1.09324e-21,6.95173e-310
-9.81248,1.23601e-21,6.95173e-310
-9.79998,1.39721e-21,6.95173e-310
-9.78748,1.57919e-21,6.95173e-310
-9.77498,1.78459e-21,6.95173e-310
-9.76248,2.0164e-21,6.95173e-310
-9.74998,2.27795e-21,6.95173e-310
-9.73747,2.57303e-21,6.95173e-310
-9.72497,2.90588e-21,6.95173e-310
-9.71247,3.28128e-21,6.95173e-310
-9.69997,3.70459e-21,6.95173e-310
-9.68747,4.18186e-21,6.95173e-310
-9.67497,4.71988e-21,6.95173e-310
-9.66247,5.32629e-21,6.95173e-310
-9.64997,6.00966e-21,6.95173e-310
-9.63746,6.77966e-21,6.95173e-310
-9.62496,7.64712e-21,6.95173e-310
-9.61246,8.62422e-21,6.95173e-310
-9.59996,9.72466e-21,6.95173e-310
-9.58746,1.09638e-20,6.95173e-310
-9.57496,1.23589e-20,6.95173e-310
-9.56246,1.39293e-20,6.95173e-310
-9.54996,1.56968e-20,6.95173e-310
-9.53745,1.76859e-20,6.95173e-310
-9.52495,1.99239e-20,6.95173e-310
-9.51245,2.24416e-20,6.95173e-310
-9.49995,2.52734e-20,6.95173e-310
-9.48745,2.84582e-20,6.95173e-310
-9.47495,3.20393e-20,6.95173e-310
-9.46245,3.60654e-20,6.95173e-310
-9.44995,4.05911e-20,6.95173e-310
-9.43744,4.56775e-20,6.95173e-310
-9.42494,5.13933e-20,6.95173e-310
-9.41244,5.78153e-20,6.95173e-310
-9.39994,6.50295e-20,6.95173e-310
-9.38744,7.31326e-20,6.95173e-310
-9.37494,8.22325e-20,6.95173e-310
-9.36244,9.24503e-20,6.95173e-310
-9.34994,1.03921e-19,6.95173e-310
-9.33743,1.16798e-19,6.95173e-310
-9.32493,1.31249e-19,6.95173e-310
-9.31243,1.47465e-19,6.95173e-310
-9.29993,1.65658e-19,6.95173e-310
-9.28743,1.86068e-19,6.95173e-310
-9.27493,2.08959e-19,6.95173e-310
-9.26243,2.34629e-19,6.95173e-310
-9.24993,2.63412e-19,6.95173e-310
-9.23742,2.9568e-19,6.95173e-310
-9.22492,3.31848e-19,6.95173e-310
-9.21242,3.72383e-19,6.95173e-310
-9.19992,4.17803e-19,6.95173e-310
-9.18742,4.68691e-19,6.95173e-310
-9.17492,5.25694e-19,6.95173e-310
-9.16242,5.89538e-19,6.95173e-310
-9.14992,6.61032e-19,6.95173e-310
-9.13741,7.41081e-19,6.95173e-310
-9.12491,8.30693e-19,6.95173e-310
-9.11241,9.30996e-19,6.95173e-310
-9.09991,1.04325e-18,6.95173e-310
-9.08741,1.16885e-18,6.95173e-310
-9.07491,1.30937e-18,6.95173e-310
-9.06241,1.46655e-18,6.95173e-310
-9.04991,1.64235e-18,6.95173e-310
-9.0374,1.83893e-18,6.95173e-310
-9.0249,2.05872e-18,6.95173e-310
-9.0124,2.30442e-18,6.95173e-310
-8.9999,2.57904e-18,6.95173e-310
-8.9874,2.88594e-18,6.95173e-310
-8.9749,3.22885e-18,6.95173e-310
-8.9624,3.61194e-18,6.95173e-310
-8.9499,4.03985e-18,6.95173e-310
-8.93739,4.51775e-18,6.95173e-310
-8.92489,5.05139e-18,6.95173e-310
-8.91239,5.64719e-18,6.95173e-310
-8.89989,6.31227e-18,6.95173e-310
-8.88739,7.05458e-18,6.95173e-310
-8.87489,7.88295e-18,6.95173e-310
-8.86239,8.80721e-18,6.95173e-310
-8.84989,9.83831e-18,6.95173e-310
-8.83738,1.09884e-17,6.95173e-310
-8.82488,1.2271e-17,6.95173e-310
-8.81238,1.37012e-17,6.95173e-310
-8.79988,1.52957e-17,6.95173e-310
-8.78738,1.70731e-17,6.95173e-310
-8.77488,1.9054e-17,6.95173e-310
-8.76238,2.12615e-17,6.95173e-310
-8.74988,2.3721e-17,6.95173e-310
-8.73737,2.64608e-17,6.95173e-310
-8.72487,2.95125e-17,6.95173e-310
-8.71237,3.2911e-17,6.95173e-310
-8.69987,3.66952e-17,6.95173e-310
-8.68737,4.0908e-17,6.95173e-310
-8.67487,4.55974e-17,6.95173e-310
