E,Res
0,28.247
0.001,28.0426
0.002,27.8394
0.003,27.6377
0.004,27.4372
0.005,27.2381
0.006,27.0403
0.007,26.8438
0.008,26.6485
0.009,26.4546
0.01,26.2619
0.011,26.0705
0.012,25.8804
0.013,25.6915
0.014,25.5039
0.015,25.3175
0.016,25.1324
0.017,24.9484
0.018,24.7657
0.019,24.5842
0.02,24.4039
0.021,24.2248
0.022,24.0469
0.023,23.8701
0.024,23.6946
0.025,23.5201
0.026,23.3469
0.027,23.1748
0.028,23.0038
0.029,22.834
0.03,22.6653
0.031,22.4978
0.032,22.3313
0.033,22.166
0.034,22.0018
0.035,21.8386
0.036,21.6766
0.037,21.5156
0.038,21.3557
0.039,21.1969
0.04,21.0391
0.041,20.8824
0.042,20.7268
0.043,20.5721
0.044,20.4186
0.045,20.266
0.046,20.1145
0.047,19.964
0.048,19.8145
0.049,19.666
0.05,19.5185
0.051,19.372
0.052,19.2265
0.053,19.0819
0.054,18.9384
0.055,18.7958
0.056,18.6541
0.057,18.5134
0.058,18.3737
0.059,18.2349
0.06,18.0971
0.061,17.9601
0.062,17.8241
0.063,17.6891
0.064,17.5549
0.065,17.4217
0.066,17.2893
0.067,17.1579
0.068,17.0273
0.069,16.8976
0.07,16.7688
0.071,16.6409
0.072,16.5139
0.073,16.3877
0.074,16.2624
0.075,16.1379
0.076,16.0143
0.077,15.8915
0.078,15.7696
0.079,15.6484
0.08,15.5282
0.081,15.4087
0.082,15.2901
0.083,15.1722
0.084,15.0552
0.085,14.939
0.086,14.8235
0.087,14.7089
0.088,14.5951
0.089,14.482
0.09,14.3697
0.091,14.2582
0.092,14.1474
0.093,14.0374
0.094,13.9282
0.095,13.8197
0.096,13.712
0.097,13.605
0.098,13.4987
0.099,13.3932
0.1,13.2884
0.101,13.1844
0.102,13.081
0.103,12.9784
0.104,12.8764
0.105,12.7752
0.106,12.6747
0.107,12.5749
0.108,12.4758
0.109,12.3773
0.11,12.2796
0.111,12.1825
0.112,12.0861
0.113,11.9904
0.114,11.8953
0.115,11.8009
0.116,11.7072
0.117,11.6141
0.118,11.5216
0.119,11.4298
0.12,11.3387
0.121,11.2482
0.122,11.1583
0.123,11.0691
0.124,10.9804
0.125,10.8924
0.126,10.805
0.127,10.7183
0.128,10.6321
0.129,10.5465
0.13,10.4616
0.131,10.3772
0.132,10.2934
0.133,10.2103
0.134,10.1277
0.135,10.0457
0.136,9.96425
0.137,9.88339
0.138,9.80311
0.139,9.7234
0.14,9.64425
0.141,9.56566
0.142,9.48762
0.143,9.41014
0.144,9.33321
0.145,9.25683
0.146,9.18099
0.147,9.10568
0.148,9.03092
0.149,8.95668
0.15,8.88297
0.151,8.80979
0.152,8.73713
0.153,8.66499
0.154,8.59337
0.155,8.52225
0.156,8.45165
0.157,8.38155
0.158,8.31195
0.159,8.24285
0.16,8.17424
0.161,8.10613
0.162,8.03851
0.163,7.97137
0.164,7.90471
0.165,7.83854
0.166,7.77284
0.167,7.70761
0.168,7.64285
0.169,7.57856
0.17,7.51474
0.171,7.45137
0.172,7.38847
0.173,7.32602
0.174,7.26402
0.175,7.20247
0.176,7.14136
0.177,7.0807
0.178,7.02048
0.179,6.9607
0.18,6.90135
0.181,6.84243
0.182,6.78394
0.183,6.72588
0.184,6.66824
0.185,6.61102
0.186,6.55422
0.187,6.49784
0.188,6.44186
0.189,6.3863
0.19,6.33114
0.191,6.27639
0.192,6.22204
0.193,6.16808
0.194,6.11453
0.195,6.06136
0.196,6.00859
0.197,5.95621
0.198,5.90421
0.199,5.85259
0.2,5.80136
0.201,5.7505
0.202,5.70002
0.203,5.64991
0.204,5.60017
0.205,5.55081
0.206,5.5018
0.207,5.45316
0.208,5.40488
0.209,5.35696
0.21,5.3094
0.211,5.26219
0.212,5.21533
0.213,5.16882
0.214,5.12266
0.215,5.07684
0.216,5.03136
0.217,4.98623
0.218,4.94143
0.219,4.89696
0.22,4.85283
0.221,4.80903
0.222,4.76556
0.223,4.72242
0.224,4.6796
0.225,4.6371
0.226,4.59492
0.227,4.55306
0.228,4.51151
0.229,4.47028
0.23,4.42936
0.231,4.38875
0.232,4.34844
0.233,4.30845
0.234,4.26875
0.235,4.22935
0.236,4.19026
0.237,4.15146
0.238,4.11296
0.239,4.07475
0.24,4.03683
0.241,3.9992
0.242,3.96185
0.243,3.92479
0.244,3.88802
