x,phi,k
0,0,0
0.01,0.01,0
0.02,0.02,0
0.03,0.03,0
0.04,0.04,0
0.05,0.05,0
0.06,0.06,0
0.07,0.07,0
0.08,0.08,0
0.09,0.09,0
0.1,0.1,0
0.11,0.11,0
0.12,0.12,0
0.13,0.13,0
0.14,0.14,0
0.15,0.15,0
0.16,0.16,0
0.17,0.17,0
0.18,0.18,0
0.19,0.19,0
0.2,0.2,0
0.21,0.21,0
0.22,0.22,0
0.23,0.23,0
0.24,0.24,0
0.25,0.25,0
0.26,0.26,0
0.27,0.27,0
0.28,0.28,0
0.29,0.29,0
0.3,0.3,0
0.31,0.31,0
0.32,0.32,0
0.33,0.33,0
0.34,0.34,0
0.35,0.35,0
0.36,0.36,0
0.37,0.37,0
0.38,0.38,0
0.39,0.39,0
0.4,0.4,0
0.41,0.41,0
0.42,0.42,0
0.43,0.43,0
0.44,0.44,0
0.45,0.45,0
0.46,0.46,0
0.47,0.47,0
0.48,0.48,0
0.49,0.49,0
0.5,0.5,0
0.51,0.51,0
0.52,0.52,0
0.53,0.53,0
0.54,0.54,0
0.55,0.55,0
0.56,0.56,0
0.57,0.57,0
0.58,0.58,0
0.59,0.59,0
0.6,0.6,0
0.61,0.61,0
0.62,0.62,0
0.63,0.63,0
0.64,0.64,0
0.65,0.65,0
0.66,0.66,0
0.67,0.67,0
0.68,0.68,0
0.69,0.69,0
0.7,0.7,0
0.71,0.71,0
0.72,0.72,0
0.73,0.73,0
0.74,0.74,0
0.75,0.75,0
0.76,0.76,0
0.77,0.77,0
0.78,0.78,0
0.79,0.79,0
0.8,0.8,0
0.81,0.81,0
0.82,0.82,0
0.83,0.83,0
0.84,0.84,0
0.85,0.85,0
0.86,0.86,0
0.87,0.87,0
0.88,0.88,0
0.89,0.89,0
0.9,0.9,0
0.91,0.91,0
0.92,0.92,0
0.93,0.93,0
0.94,0.94,0
0.95,0.95,0
0.96,0.96,0
0.97,0.97,0
0.98,0.98,0
0.99,0.99,0
1,1,0
0,0,1
0.01,0.00999983,1
0.02,0.0199987,1
0.03,0.0299955,1
0.04,0.0399893,1
0.05,0.0499792,1
0.06,0.059964,1
0.07,0.0699428,1
0.08,0.0799147,1
0.09,0.0898785,1
0.1,0.0998334,1
0.11,0.109778,1
0.12,0.119712,1
0.13,0.129634,1
0.14,0.139543,1
0.15,0.149438,1
0.16,0.159318,1
0.17,0.169182,1
0.18,0.17903,1
0.19,0.188859,1
0.2,0.198669,1
0.21,0.20846,1
0.22,0.21823,1
0.23,0.227978,1
0.24,0.237703,1
0.25,0.247404,1
0.26,0.257081,1
0.27,0.266731,1
0.28,0.276356,1
0.29,0.285952,1
0.3,0.29552,1
0.31,0.305059,1
0.32,0.314567,1
0.33,0.324043,1
0.34,0.333487,1
0.35,0.342898,1
0.36,0.352274,1
0.37,0.361615,1
0.38,0.37092,1
0.39,0.380188,1
0.4,0.389418,1
0.41,0.398609,1
0.42,0.40776,1
0.43,0.416871,1
0.44,0.425939,1
0.45,0.434966,1
0.46,0.443948,1
0.47,0.452886,1
0.48,0.461779,1
0.49,0.470626,1
0.5,0.479426,1
0.51,0.488177,1
0.52,0.49688,1
0.53,0.505533,1
0.54,0.514136,1
0.55,0.522687,1
0.56,0.531186,1
0.57,0.539632,1
0.58,0.548024,1
0.59,0.556361,1
0.6,0.564642,1
0.61,0.572867,1
0.62,0.581035,1
0.63,0.589145,1
0.64,0.597195,1
0.65,0.605186,1
0.66,0.613117,1
0.67,0.620986,1
0.68,0.628793,1
0.69,0.636537,1
0.7,0.644218,1
0.71,0.651834,1
0.72,0.659385,1
0.73,0.66687,1
0.74,0.674288,1
0.75,0.681639,1
0.76,0.688921,1
0.77,0.696135,1
0.78,0.703279,1
0.79,0.710353,1
0.8,0.717356,1
0.81,0.724287,1
0.82,0.731146,1
0.83,0.737931,1
0.84,0.744643,1
0.85,0.75128,1
0.86,0.757843,1
0.87,0.764329,1
0.88,0.770739,1
0.89,0.777072,1
0.9,0.783327,1
0.91,0.789504,1
0.92,0.795602,1
0.93,0.80162,1
0.94,0.807558,1
0.95,0.813416,1
0.96,0.819192,1
0.97,0.824886,1
0.98,0.830497,1
0.99,0.836026,1
1,0.841471,1
0,0,2
0.01,0.00999933,2
0.02,0.0199947,2
0.03,0.029982,2
0.04,0.0399573,2
0.05,0.0499167,2
0.06,0.0598561,2
0.07,0.0697716,2
0.08,0.0796591,2
0.09,0.0895148,2
0.1,0.0993347,2
0.11,0.109115,2
0.12,0.118851,2
0.13,0.12854,2
0.14,0.138178,2
0.15,0.14776,2
0.16,0.157283,2
0.17,0.166744,2
0.18,0.176137,2
0.19,0.18546,2
0.2,0.194709,2
0.21,0.20388,2
0.22,0.21297,2
0.23,0.221974,2
0.24,0.23089,2
0.25,0.239713,2
0.26,0.24844,2
0.27,0.257068,2
0.28,0.265593,2
0.29,0.274012,2
0.3,0.282321,2
0.31,0.290518,2
0.32,0.298598,2
0.33,0.306558,2
0.34,0.314397,2
0.35,0.322109,2
0.36,0.329692,2
0.37,0.337144,2
0.38,0.344461,2
0.39,0.35164,2
0.4,0.358678,2
0.41,0.365573,2
0.42,0.372322,2
0.43,0.378921,2
0.44,0.385369,2
0.45,0.391663,2
0.46,0.397801,2
0.47,0.403779,2
0.48,0.409596,2
0.49,0.415249,2
0.5,0.420735,2
0.51,0.426054,2
0.52,0.431202,2
0.53,0.436178,2
0.54,0.440979,2
0.55,0.445604,2
0.56,0.45005,2
0.57,0.454317,2
0.58,0.458402,2
0.59,0.462303,2
0.6,0.46602,2
0.61,0.46955,2
0.62,0.472892,2
0.63,0.476045,2
0.64,0.479008,2
0.65,0.481779,2
0.66,0.484358,2
0.67,0.486742,2
0.68,0.488932,2
0.69,0.490927,2
0.7,0.492725,2
0.71,0.494326,2
0.72,0.495729,2
0.73,0.496934,2
0.74,0.49794,2
0.75,0.498747,2
0.76,0.499355,2
0.77,0.499763,2
0.78,0.499971,2
0.79,0.499979,2
0.8,0.499787,2
0.81,0.499395,2
0.82,0.498803,2
0.83,0.498012,2
0.84,0.497022,2
0.85,0.495832,2
0.86,0.494445,2
0.87,0.49286,2
0.88,0.491077,2
0.89,0.489098,2
0.9,0.486924,2
0.91,0.484555,2
0.92,0.481991,2
0.93,0.479236,2
0.94,0.476288,2
0.95,0.47315,2
0.96,0.469823,2
0.97,0.466308,2
0.98,0.462606,2
0.99,0.458719,2
1,0.454649,2
0,0,3
0.01,0.0099985,3
0.02,0.019988,3
0.03,0.0299595,3
0.04,0.0399041,3
0.05,0.0498127,3
0.06,0.0596765,3
0.07,0.0694866,3
0.08,0.0792342,3
0.09,0.0889105,3
0.1,0.0985067,3
0.11,0.108014,3
0.12,0.117425,3
0.13,0.126729,3
0.14,0.13592,3
0.15,0.144989,3
0.16,0.153926,3
0.17,0.162726,3
0.18,0.171379,3
0.19,0.179877,3
0.2,0.188214,3
0.21,0.196382,3
0.22,0.204372,3
0.23,0.212179,3
0.24,0.219795,3
0.25,0.227213,3
0.26,0.234426,3
0.27,0.241429,3
0.28,0.248214,3
0.29,0.254776,3
0.3,0.261109,3
0.31,0.267207,3
0.32,0.273064,3
0.33,0.278675,3
0.34,0.284036,3
0.35,0.289141,3
0.36,0.293986,3
0.37,0.298566,3
0.38,0.302878,3
0.39,0.306917,3
0.4,0.31068,3
0.41,0.314163,3
0.42,0.317363,3
0.43,0.320278,3
0.44,0.322905,3
0.45,0.325241,3
0.46,0.327285,3
0.47,0.329033,3
0.48,0.330486,3
0.49,0.331641,3
0.5,0.332498,3
0.51,0.333056,3
0.52,0.333314,3
0.53,0.333272,3
0.54,0.33293,3
0.55,0.332288,3
0.56,0.331348,3
0.57,0.330109,3
0.58,0.328573,3
0.59,0.326741,3
0.6,0.324616,3
0.61,0.322198,3
0.62,0.31949,3
0.63,0.316495,3
0.64,0.313215,3
0.65,0.309653,3
0.66,0.305813,3
0.67,0.301697,3
0.68,0.29731,3
0.69,0.292655,3
0.7,0.287736,3
0.71,0.282559,3
0.72,0.277128,3
0.73,0.271447,3
0.74,0.265522,3
0.75,0.259358,3
0.76,0.25296,3
0.77,0.246335,3
