x,phi,k
0,0,3.14159
0.01,0.00999836,3.14159
0.02,0.0199868,3.14159
0.03,0.0299556,3.14159
0.04,0.0398948,3.14159
0.05,0.0497946,3.14159
0.06,0.0596453,3.14159
0.07,0.0694371,3.14159
0.08,0.0791604,3.14159
0.09,0.0888056,3.14159
0.1,0.0983632,3.14159
0.11,0.107824,3.14159
0.12,0.117178,3.14159
0.13,0.126416,3.14159
0.14,0.13553,3.14159
0.15,0.14451,3.14159
0.16,0.153347,3.14159
0.17,0.162033,3.14159
0.18,0.170559,3.14159
0.19,0.178917,3.14159
0.2,0.187098,3.14159
0.21,0.195094,3.14159
0.22,0.202898,3.14159
0.23,0.210502,3.14159
0.24,0.217898,3.14159
0.25,0.225079,3.14159
0.26,0.232038,3.14159
0.27,0.238768,3.14159
0.28,0.245262,3.14159
0.29,0.251514,3.14159
0.3,0.257518,3.14159
0.31,0.263268,3.14159
0.32,0.268758,3.14159
0.33,0.273983,3.14159
0.34,0.278937,3.14159
0.35,0.283616,3.14159
0.36,0.288015,3.14159
0.37,0.29213,3.14159
0.38,0.295957,3.14159
0.39,0.299492,3.14159
0.4,0.302731,3.14159
0.41,0.305671,3.14159
0.42,0.30831,3.14159
0.43,0.310644,3.14159
0.44,0.312672,3.14159
0.45,0.314391,3.14159
0.46,0.3158,3.14159
0.47,0.316897,3.14159
0.48,0.317682,3.14159
0.49,0.318153,3.14159
0.5,0.31831,3.14159
0.51,0.318153,3.14159
0.52,0.317682,3.14159
0.53,0.316897,3.14159
0.54,0.3158,3.14159
0.55,0.314391,3.14159
0.56,0.312672,3.14159
0.57,0.310644,3.14159
0.58,0.30831,3.14159
0.59,0.305671,3.14159
0.6,0.302731,3.14159
0.61,0.299492,3.14159
0.62,0.295957,3.14159
0.63,0.29213,3.14159
0.64,0.288015,3.14159
0.65,0.283616,3.14159
0.66,0.278937,3.14159
0.67,0.273983,3.14159
0.68,0.268758,3.14159
0.69,0.263268,3.14159
0.7,0.257518,3.14159
0.71,0.251514,3.14159
0.72,0.245262,3.14159
0.73,0.238768,3.14159
0.74,0.232038,3.14159
0.75,0.225079,3.14159
0.76,0.217898,3.14159
0.77,0.210502,3.14159
0.78,0.202898,3.14159
0.79,0.195094,3.14159
0.8,0.187098,3.14159
0.81,0.178917,3.14159
0.82,0.170559,3.14159
0.83,0.162033,3.14159
0.84,0.153347,3.14159
0.85,0.14451,3.14159
0.86,0.13553,3.14159
0.87,0.126416,3.14159
0.88,0.117178,3.14159
0.89,0.107824,3.14159
0.9,0.0983632,3.14159
0.91,0.0888056,3.14159
0.92,0.0791604,3.14159
0.93,0.0694371,3.14159
0.94,0.0596453,3.14159
0.95,0.0497946,3.14159
0.96,0.0398948,3.14159
0.97,0.0299556,3.14159
0.98,0.0199868,3.14159
0.99,0.00999835,3.14159
1,-5.17887e-10,3.14159
0,0,6.28319
0.01,0.00999342,6.28319
0.02,0.0199474,6.28319
0.03,0.0298227,6.28319
0.04,0.0395802,6.28319
0.05,0.0491816,6.28319
0.06,0.0585888,6.28319
0.07,0.0677649,6.28319
0.08,0.0766735,6.28319
0.09,0.0852795,6.28319
0.1,0.0935489,6.28319
0.11,0.101449,6.28319
0.12,0.108949,6.28319
0.13,0.116019,6.28319
0.14,0.122631,6.28319
0.15,0.128759,6.28319
0.16,0.134379,6.28319
0.17,0.139469,6.28319
0.18,0.144008,6.28319
0.19,0.147979,6.28319
0.2,0.151365,6.28319
0.21,0.154155,6.28319
0.22,0.156336,6.28319
0.23,0.1579,6.28319
0.24,0.158841,6.28319
0.25,0.159155,6.28319
0.26,0.158841,6.28319
0.27,0.1579,6.28319
0.28,0.156336,6.28319
0.29,0.154155,6.28319
0.3,0.151365,6.28319
0.31,0.147979,6.28319
0.32,0.144008,6.28319
0.33,0.139469,6.28319
0.34,0.134379,6.28319
0.35,0.128759,6.28319
0.36,0.122631,6.28319
0.37,0.116019,6.28319
0.38,0.108949,6.28319
0.39,0.101449,6.28319
0.4,0.0935489,6.28319
0.41,0.0852795,6.28319
0.42,0.0766735,6.28319
0.43,0.0677649,6.28319
0.44,0.0585888,6.28319
0.45,0.0491816,6.28319
0.46,0.0395802,6.28319
0.47,0.0298227,6.28319
0.48,0.0199474,6.28319
0.49,0.00999342,6.28319
0.5,-2.58937e-10,6.28319
0.51,-0.00999342,6.28319
0.52,-0.0199474,6.28319
0.53,-0.0298227,6.28319
0.54,-0.0395802,6.28319
0.55,-0.0491816,6.28319
0.56,-0.0585888,6.28319
0.57,-0.0677649,6.28319
0.58,-0.0766735,6.28319
0.59,-0.0852795,6.28319
0.6,-0.0935489,6.28319
0.61,-0.101449,6.28319
0.62,-0.108949,6.28319
0.63,-0.116019,6.28319
0.64,-0.122631,6.28319
0.65,-0.128759,6.28319
0.66,-0.134379,6.28319
0.67,-0.139469,6.28319
0.68,-0.144008,6.28319
0.69,-0.147979,6.28319
0.7,-0.151365,6.28319
0.71,-0.154155,6.28319
0.72,-0.156336,6.28319
0.73,-0.1579,6.28319
0.74,-0.158841,6.28319
0.75,-0.159155,6.28319
0.76,-0.158841,6.28319
0.77,-0.1579,6.28319
0.78,-0.156336,6.28319
0.79,-0.154155,6.28319
0.8,-0.151365,6.28319
0.81,-0.147978,6.28319
0.82,-0.144008,6.28319
0.83,-0.139469,6.28319
0.84,-0.134379,6.28319
0.85,-0.128759,6.28319
0.86,-0.122631,6.28319
0.87,-0.116019,6.28319
0.88,-0.108949,6.28319
0.89,-0.101449,6.28319
0.9,-0.0935489,6.28319
0.91,-0.0852795,6.28319
0.92,-0.0766735,6.28319
0.93,-0.0677649,6.28319
0.94,-0.0585888,6.28319
0.95,-0.0491816,6.28319
0.96,-0.0395802,6.28319
0.97,-0.0298227,6.28319
0.98,-0.0199474,6.28319
0.99,-0.00999342,6.28319
1,5.17874e-10,6.28319
0,0,9.42478
0.01,0.0099852,9.42478
0.02,0.0198818,9.42478
0.03,0.0296019,9.42478
0.04,0.0390592,9.42478
0.05,0.0481699,9.42478
0.06,0.0568529,9.42478
0.07,0.0650314,9.42478
0.08,0.0726327,9.42478
0.09,0.0795892,9.42478
0.1,0.0858393,9.42478
0.11,0.0913275,9.42478
0.12,0.0960051,9.42478
0.13,0.0998305,9.42478
0.14,0.10277,9.42478
0.15,0.104797,9.42478
0.16,0.105894,9.42478
0.17,0.106051,9.42478
0.18,0.105267,9.42478
0.19,0.103548,9.42478
0.2,0.10091,9.42478
0.21,0.0973767,9.42478
0.22,0.092979,9.42478
0.23,0.0877559,9.42478
0.24,0.0817539,9.42478
0.25,0.0750263,9.42478
0.26,0.0676327,9.42478
0.27,0.0596389,9.42478
0.28,0.0511156,9.42478
0.29,0.0421387,9.42478
0.3,0.0327877,9.42478
0.31,0.0231457,9.42478
0.32,0.0132983,9.42478
0.33,0.00333278,9.42478
0.34,-0.00666228,9.42478
0.35,-0.0165982,9.42478
0.36,-0.0263868,9.42478
0.37,-0.0359412,9.42478
0.38,-0.0451765,9.42478
0.39,-0.0540109,9.42478
0.4,-0.0623659,9.42478
0.41,-0.0701673,9.42478
0.42,-0.0773459,9.42478
0.43,-0.083838,9.42478
0.44,-0.0895859,9.42478
0.45,-0.0945386,9.42478
0.46,-0.0986523,9.42478
0.47,-0.10189,9.42478
0.48,-0.104224,9.42478
0.49,-0.105632,9.42478
0.5,-0.106103,9.42478
0.51,-0.105632,9.42478
0.52,-0.104224,9.42478
0.53,-0.10189,9.42478
0.54,-0.0986523,9.42478
0.55,-0.0945386,9.42478
0.56,-0.0895859,9.42478
0.57,-0.083838,9.42478
0.58,-0.0773459,9.42478
0.59,-0.0701673,9.42478
0.6,-0.0623659,9.42478
0.61,-0.0540109,9.42478
0.62,-0.0451765,9.42478
0.63,-0.0359412,9.42478
0.64,-0.0263868,9.42478
0.65,-0.0165982,9.42478
0.66,-0.00666227,9.42478
0.67,0.00333278,9.42478
0.68,0.0132983,9.42478
0.69,0.0231457,9.42478
0.7,0.0327877,9.42478
0.71,0.0421387,9.42478
0.72,0.0511156,9.42478
0.73,0.0596388,9.42478
0.74,0.0676327,9.42478
0.75,0.0750263,9.42478
0.76,0.0817539,9.42478
0.77,0.0877559,9.42478
0.78,0.0929789,9.42478
0.79,0.0973767,9.42478
0.8,0.10091,9.42478
0.81,0.103548,9.42478
0.82,0.105267,9.42478
0.83,0.106051,9.42478
0.84,0.105894,9.42478
0.85,0.104797,9.42478
0.86,0.10277,9.42478
0.87,0.0998304,9.42478
0.88,0.096005,9.42478
0.89,0.0913275,9.42478
0.9,0.0858393,9.42478
0.91,0.0795892,9.42478
0.92,0.0726326,9.42478
0.93,0.0650314,9.42478
0.94,0.0568529,9.42478
0.95,0.0481698,9.42478
0.96,0.0390592,9.42478
0.97,0.0296018,9.42478
0.98,0.0198818,9.42478
0.99,0.00998519,9.42478
1,2.90131e-10,9.42478
0,0,12.5664
0.01,0.00997368,12.5664
0.02,0.0197901,12.5664
0.03,0.0292944,12.5664
0.04,0.0383367,12.5664
0.05,0.0467744,12.5664
0.06,0.0544744,12.5664
0.07,0.0613154,12.5664
0.08,0.0671893,12.5664
0.09,0.0720037,12.5664
0.1,0.0756825,12.5664
0.11,0.0781678,12.5664
