x,y
0,1
0.0322581,0.981165
0.0645161,0.963371
0.0967742,0.946618
0.129032,0.930905
0.16129,0.916233
0.193548,0.902601
0.225806,0.89001
0.258065,0.87846
0.290323,0.86795
0.322581,0.858481
0.354839,0.850052
0.387097,0.842664
0.419355,0.836316
0.451613,0.831009
0.483871,0.826743
0.516129,0.823517
0.548387,0.821332
0.580645,0.820187
0.612903,0.820083
0.645161,0.82102
0.677419,0.822997
0.709677,0.826015
0.741935,0.830073
0.774194,0.835172
0.806452,0.841311
0.83871,0.848491
0.870968,0.856712
0.903226,0.865973
0.935484,0.876275
0.967742,0.887617
1,0.9
