x,y,M,S
-1,-1,-0.0157458,0
-1,-0.984252,-0.0157064,0
-1,-0.968504,-0.0156671,0
-1,-0.952756,-0.0156277,0
-1,-0.937008,-0.0155884,0
-1,-0.92126,-0.0155492,0
-1,-0.905512,-0.01551,0
-1,-0.889764,-0.0154708,0
-1,-0.874016,-0.0154317,0
-1,-0.858268,-0.0153928,0
-1,-0.84252,-0.0153539,0
-1,-0.826772,-0.0153152,0
-1,-0.811024,-0.0152766,0
-1,-0.795276,-0.0152382,0
-1,-0.779528,-0.0151999,0
-1,-0.76378,-0.0151618,0
-1,-0.748031,-0.0151239,0
-1,-0.732283,-0.0150863,0
-1,-0.716535,-0.0150489,0
-1,-0.700787,-0.0150117,0
-1,-0.685039,-0.0149749,0
-1,-0.669291,-0.0149383,0
-1,-0.653543,-0.0149021,0
-1,-0.637795,-0.0148662,0
-1,-0.622047,-0.0148307,0
-1,-0.606299,-0.0147956,0
-1,-0.590551,-0.0147609,0
-1,-0.574803,-0.0147266,0
-1,-0.559055,-0.0146928,0
-1,-0.543307,-0.0146596,0
-1,-0.527559,-0.0146268,0
-1,-0.511811,-0.0145946,0
-1,-0.496063,-0.0145629,0
-1,-0.480315,-0.0145319,0
-1,-0.464567,-0.0145015,0
-1,-0.448819,-0.0144717,0
-1,-0.433071,-0.0144427,0
-1,-0.417323,-0.0144143,0
-1,-0.401575,-0.0143867,0
-1,-0.385827,-0.0143599,0
-1,-0.370079,-0.0143338,0
-1,-0.354331,-0.0143086,0
-1,-0.338583,-0.0142843,0
-1,-0.322835,-0.0142608,0
-1,-0.307087,-0.0142382,0
-1,-0.291339,-0.0142166,0
-1,-0.275591,-0.0141959,0
-1,-0.259843,-0.0141763,0
-1,-0.244094,-0.0141576,0
-1,-0.228346,-0.01414,0
-1,-0.212598,-0.0141234,0
-1,-0.19685,-0.014108,0
-1,-0.181102,-0.0140936,0
-1,-0.165354,-0.0140804,0
-1,-0.149606,-0.0140683,0
-1,-0.133858,-0.0140573,0
-1,-0.11811,-0.0140476,0
-1,-0.102362,-0.014039,0
-1,-0.0866142,-0.0140316,0
-1,-0.0708661,-0.0140254,0
-1,-0.0551181,-0.0140205,0
-1,-0.0393701,-0.0140168,0
-1,-0.023622,-0.0140143,0
-1,-0.00787402,-0.0140131,0
