x,y,M,S
0,0,0,0
0,0.015625,0.0245004,0
0,0.03125,0.0490061,0
0,0.046875,0.0735225,0
0,0.0625,0.098055,0
0,0.078125,0.122609,0
0,0.09375,0.14719,0
0,0.109375,0.171803,0
0,0.125,0.196455,0
0,0.140625,0.221149,0
0,0.15625,0.245893,0
0,0.171875,0.270692,0
0,0.1875,0.295552,0
0,0.203125,0.320479,0
0,0.21875,0.345479,0
0,0.234375,0.370557,0
0,0.25,0.395721,0
0,0.265625,0.420977,0
0,0.28125,0.446331,0
0,0.296875,0.471791,0
0,0.3125,0.497363,0
0,0.328125,0.523055,0
0,0.34375,0.548873,0
0,0.359375,0.574827,0
0,0.375,0.600923,0
0,0.390625,0.62717,0
0,0.40625,0.653577,0
0,0.421875,0.680153,0
0,0.4375,0.706906,0
0,0.453125,0.733847,0
0,0.46875,0.760985,0
0,0.484375,0.788332,0
0,0.5,0.815898,0
0,0.515625,0.843695,0
0,0.53125,0.871735,0
0,0.546875,0.900032,0
0,0.5625,0.928599,0
0,0.578125,0.95745,0
0,0.59375,0.986602,0
0,0.609375,1.01607,0
0,0.625,1.04587,0
0,0.640625,1.07603,0
0,0.65625,1.10656,0
0,0.671875,1.13748,0
0,0.6875,1.16883,0
0,0.703125,1.20062,0
0,0.71875,1.23288,0
0,0.734375,1.26566,0
0,0.75,1.29897,0
0,0.765625,1.33286,0
0,0.78125,1.36738,0
0,0.796875,1.40257,0
0,0.8125,1.43849,0
0,0.828125,1.47521,0
0,0.84375,1.5128,0
0,0.859375,1.55137,0
0,0.875,1.59101,0
0,0.890625,1.63188,0
0,0.90625,1.67415,0
0,0.921875,1.71806,0
0,0.9375,1.76394,0
0,0.953125,1.81229,0
0,0.96875,1.8639,0
0,0.984375,1.92023,0
0,1,2,0
0.015625,0,0,0
0.015625,0.015625,0.0245004,0
0.015625,0.03125,0.0490061,0
0.015625,0.046875,0.0735225,0
0.015625,0.0625,0.098055,0
0.015625,0.078125,0.122609,0
0.015625,0.09375,0.14719,0
0.015625,0.109375,0.171803,0
0.015625,0.125,0.196455,0
0.015625,0.140625,0.221149,0
0.015625,0.15625,0.245893,0
0.015625,0.171875,0.270693,0
0.015625,0.1875,0.295552,0
0.015625,0.203125,0.320479,0
0.015625,0.21875,0.345479,0
0.015625,0.234375,0.370557,0
0.015625,0.25,0.395721,0
0.015625,0.265625,0.420977,0
0.015625,0.28125,0.446331,0
0.015625,0.296875,0.471791,0
0.015625,0.3125,0.497363,0
0.015625,0.328125,0.523055,0
0.015625,0.34375,0.548873,0
0.015625,0.359375,0.574827,0
0.015625,0.375,0.600923,0
0.015625,0.390625,0.62717,0
0.015625,0.40625,0.653577,0
0.015625,0.421875,0.680153,0
0.015625,0.4375,0.706906,0
0.015625,0.453125,0.733847,0
0.015625,0.46875,0.760985,0
0.015625,0.484375,0.788332,0
0.015625,0.5,0.815898,0
0.015625,0.515625,0.843695,0
0.015625,0.53125,0.871735,0
0.015625,0.546875,0.900032,0
0.015625,0.5625,0.928599,0
0.015625,0.578125,0.95745,0
0.015625,0.59375,0.986602,0
0.015625,0.609375,1.01607,0
0.015625,0.625,1.04587,0
0.015625,0.640625,1.07603,0
0.015625,0.65625,1.10656,0
0.015625,0.671875,1.13748,0
0.015625,0.6875,1.16883,0
0.015625,0.703125,1.20062,0
0.015625,0.71875,1.23288,0
0.015625,0.734375,1.26566,0
0.015625,0.75,1.29897,0
