x,y,M,S
0,0,0,0
0,0.015625,0.0245034,0
0,0.03125,0.0490121,0
0,0.046875,0.0735316,0
0,0.0625,0.0980671,0
0,0.078125,0.122624,0
0,0.09375,0.147208,0
0,0.109375,0.171824,0
0,0.125,0.196478,0
0,0.140625,0.221176,0
0,0.15625,0.245923,0
0,0.171875,0.270725,0
0,0.1875,0.295587,0
0,0.203125,0.320516,0
0,0.21875,0.345518,0
0,0.234375,0.370599,0
0,0.25,0.395765,0
0,0.265625,0.421023,0
0,0.28125,0.44638,0
0,0.296875,0.471841,0
0,0.3125,0.497415,0
0,0.328125,0.523108,0
0,0.34375,0.548929,0
0,0.359375,0.574884,0
0,0.375,0.600981,0
0,0.390625,0.62723,0
0,0.40625,0.653638,0
0,0.421875,0.680214,0
0,0.4375,0.706968,0
0,0.453125,0.733909,0
0,0.46875,0.761048,0
0,0.484375,0.788395,0
0,0.5,0.815961,0
0,0.515625,0.843758,0
0,0.53125,0.871798,0
0,0.546875,0.900095,0
0,0.5625,0.928661,0
0,0.578125,0.957512,0
0,0.59375,0.986663,0
0,0.609375,1.01613,0
0,0.625,1.04593,0
0,0.640625,1.07609,0
0,0.65625,1.10661,0
0,0.671875,1.13754,0
0,0.6875,1.16888,0
0,0.703125,1.20067,0
0,0.71875,1.23293,0
0,0.734375,1.2657,0
0,0.75,1.29901,0
0,0.765625,1.3329,0
0,0.78125,1.36742,0
0,0.796875,1.40261,0
0,0.8125,1.43853,0
0,0.828125,1.47524,0
0,0.84375,1.51283,0
0,0.859375,1.55139,0
0,0.875,1.59104,0
0,0.890625,1.6319,0
0,0.90625,1.67417,0
0,0.921875,1.71807,0
0,0.9375,1.76395,0
0,0.953125,1.8123,0
0,0.96875,1.86391,0
0,0.984375,1.92024,0
0,1,2,0
0.015625,0,0,0
0.015625,0.015625,0.0245034,0
0.015625,0.03125,0.0490121,0
0.015625,0.046875,0.0735316,0
0.015625,0.0625,0.0980671,0
0.015625,0.078125,0.122624,0
0.015625,0.09375,0.147208,0
0.015625,0.109375,0.171824,0
0.015625,0.125,0.196478,0
0.015625,0.140625,0.221176,0
0.015625,0.15625,0.245923,0
0.015625,0.171875,0.270725,0
0.015625,0.1875,0.295587,0
0.015625,0.203125,0.320516,0
0.015625,0.21875,0.345518,0
0.015625,0.234375,0.370599,0
0.015625,0.25,0.395765,0
0.015625,0.265625,0.421023,0
0.015625,0.28125,0.44638,0
0.015625,0.296875,0.471841,0
0.015625,0.3125,0.497415,0
0.015625,0.328125,0.523108,0
0.015625,0.34375,0.548929,0
0.015625,0.359375,0.574884,0
0.015625,0.375,0.600981,0
0.015625,0.390625,0.62723,0
0.015625,0.40625,0.653638,0
0.015625,0.421875,0.680214,0
0.015625,0.4375,0.706968,0
0.015625,0.453125,0.733909,0
0.015625,0.46875,0.761048,0
0.015625,0.484375,0.788395,0
0.015625,0.5,0.815961,0
0.015625,0.515625,0.843758,0
0.015625,0.53125,0.871798,0
0.015625,0.546875,0.900095,0
0.015625,0.5625,0.928661,0
0.015625,0.578125,0.957512,0
0.015625,0.59375,0.986663,0
0.015625,0.609375,1.01613,0
0.015625,0.625,1.04593,0
0.015625,0.640625,1.07609,0
0.015625,0.65625,1.10661,0
0.015625,0.671875,1.13754,0
0.015625,0.6875,1.16888,0
0.015625,0.703125,1.20067,0
0.015625,0.71875,1.23293,0
0.015625,0.734375,1.2657,0
0.015625,0.75,1.29901,0
0.015625,0.765625,1.3329,0
0.015625,0.78125,1.36742,0
0.015625,0.796875,1.40261,0
0.015625,0.8125,1.43853,0
0.015625,0.828125,1.47524,0
0.015625,0.84375,1.51283,0
0.015625,0.859375,1.55139,0
0.015625,0.875,1.59104,0
0.015625,0.890625,1.6319,0
0.015625,0.90625,1.67417,0
0.015625,0.921875,1.71807,0
0.015625,0.9375,1.76395,0
0.015625,0.953125,1.8123,0
0.015625,0.96875,1.86391,0
0.015625,0.984375,1.92024,0
0.015625,1,1.98438,0
0.03125,0,0,0
0.03125,0.015625,0.0244981,0
0.03125,0.03125,0.0490015,0
0.03125,0.046875,0.0735156,0
0.03125,0.0625,0.0980457,0
0.03125,0.078125,0.122597,0
0.03125,0.09375,0.147176,0
0.03125,0.109375,0.171786,0
0.03125,0.125,0.196435,0
0.03125,0.140625,0.221127,0
0.03125,0.15625,0.245868,0
0.03125,0.171875,0.270664,0
0.03125,0.1875,0.295521,0
0.03125,0.203125,0.320444,0
0.03125,0.21875,0.345439,0
0.03125,0.234375,0.370514,0
0.03125,0.25,0.395674,0
0.03125,0.265625,0.420925,0
0.03125,0.28125,0.446275,0
0.03125,0.296875,0.471729,0
0.03125,0.3125,0.497296,0
0.03125,0.328125,0.522982,0
0.03125,0.34375,0.548794,0
0.03125,0.359375,0.574741,0
0.03125,0.375,0.600831,0
0.03125,0.390625,0.62707,0
0.03125,0.40625,0.653469,0
0.03125,0.421875,0.680037,0
0.03125,0.4375,0.706781,0
0.03125,0.453125,0.733712,0
0.03125,0.46875,0.76084,0
0.03125,0.484375,0.788176,0
0.03125,0.5,0.815731,0
0.03125,0.515625,0.843515,0
0.03125,0.53125,0.871542,0
0.03125,0.546875,0.899825,0
0.03125,0.5625,0.928377,0
0.03125,0.578125,0.957212,0
0.03125,0.59375,0.986346,0
0.03125,0.609375,1.0158,0
0.03125,0.625,1.04558,0
0.03125,0.640625,1.07571,0
0.03125,0.65625,1.10622,0
0.03125,0.671875,1.13712,0
0.03125,0.6875,1.16844,0
0.03125,0.703125,1.2002,0
0.03125,0.71875,1.23243,0
0.03125,0.734375,1.26516,0
0.03125,0.75,1.29843,0
0.03125,0.765625,1.33228,0
0.03125,0.78125,1.36674,0
0.03125,0.796875,1.40188,0
0.03125,0.8125,1.43773,0
0.03125,0.828125,1.47437,0
0.03125,0.84375,1.51187,0
0.03125,0.859375,1.55031,0
0.03125,0.875,1.58981,0
0.03125,0.890625,1.6305,0
0.03125,0.90625,1.67253,0
0.03125,0.921875,1.7161,0
0.03125,0.9375,1.76149,0
0.03125,0.953125,1.80904,0
0.03125,0.96875,1.85919,0
0.03125,0.984375,1.91243,0
0.03125,1,1.96875,0
0.046875,0,0,0
0.046875,0.015625,0.0244874,0
0.046875,0.03125,0.0489801,0
0.046875,0.046875,0.0734835,0
0.046875,0.0625,0.0980029,0
0.046875,0.078125,0.122544,0
0.046875,0.09375,0.147111,0
0.046875,0.109375,0.171711,0
0.046875,0.125,0.196348,0
0.046875,0.140625,0.221029,0
0.046875,0.15625,0.245759,0
0.046875,0.171875,0.270543,0
0.046875,0.1875,0.295387,0
0.046875,0.203125,0.320299,0
0.046875,0.21875,0.345282,0
0.046875,0.234375,0.370344,0
0.046875,0.25,0.395491,0
0.046875,0.265625,0.420729,0
0.046875,0.28125,0.446065,0
0.046875,0.296875,0.471505,0
0.046875,0.3125,0.497058,0
0.046875,0.328125,0.522729,0
0.046875,0.34375,0.548526,0
0.046875,0.359375,0.574457,0
0.046875,0.375,0.60053,0
0.046875,0.390625,0.626752,0
0.046875,0.40625,0.653133,0
0.046875,0.421875,0.679682,0
0.046875,0.4375,0.706407,0
0.046875,0.453125,0.733318,0
0.046875,0.46875,0.760425,0
0.046875,0.484375,0.787739,0
0.046875,0.5,0.81527,0
0.046875,0.515625,0.84303,0
0.046875,0.53125,0.871031,0
0.046875,0.546875,0.899287,0
0.046875,0.5625,0.927809,0
0.046875,0.578125,0.956614,0
0.046875,0.59375,0.985715,0
0.046875,0.609375,1.01513,0
0.046875,0.625,1.04487,0
0.046875,0.640625,1.07497,0
0.046875,0.65625,1.10543,0
0.046875,0.671875,1.13628,0
0.046875,0.6875,1.16755,0
0.046875,0.703125,1.19925,0
0.046875,0.71875,1.23142,0
0.046875,0.734375,1.26408,0
0.046875,0.75,1.29728,0
0.046875,0.765625,1.33104,0
0.046875,0.78125,1.3654,0
0.046875,0.796875,1.40042,0
0.046875,0.8125,1.43615,0
0.046875,0.828125,1.47263,0
0.046875,0.84375,1.50995,0
0.046875,0.859375,1.54818,0
0.046875,0.875,1.58741,0
0.046875,0.890625,1.62775,0
0.046875,0.90625,1.66934,0
0.046875,0.921875,1.71231,0
0.046875,0.9375,1.75686,0
0.046875,0.953125,1.80316,0
0.046875,0.96875,1.85139,0
0.046875,0.984375,1.90153,0
0.046875,1,1.95312,0
0.0625,0,0,0
0.0625,0.015625,0.0244714,0
0.0625,0.03125,0.0489482,0
0.0625,0.046875,0.0734355,0
0.0625,0.0625,0.0979388,0
0.0625,0.078125,0.122463,0
0.0625,0.09375,0.147014,0
0.0625,0.109375,0.171598,0
0.0625,0.125,0.196218,0
0.0625,0.140625,0.220882,0
0.0625,0.15625,0.245594,0
0.0625,0.171875,0.270361,0
0.0625,0.1875,0.295188,0
0.0625,0.203125,0.320081,0
0.0625,0.21875,0.345046,0
0.0625,0.234375,0.370089,0
0.0625,0.25,0.395217,0
0.0625,0.265625,0.420435,0
0.0625,0.28125,0.44575,0
0.0625,0.296875,0.47117,0
0.0625,0.3125,0.4967,0
0.0625,0.328125,0.522349,0
0.0625,0.34375,0.548123,0
0.0625,0.359375,0.574031,0
0.0625,0.375,0.600079,0
0.0625,0.390625,0.626276,0
0.0625,0.40625,0.65263,0
0.0625,0.421875,0.679151,0
0.0625,0.4375,0.705847,0
0.0625,0.453125,0.732728,0
0.0625,0.46875,0.759803,0
0.0625,0.484375,0.787084,0
0.0625,0.5,0.81458,0
0.0625,0.515625,0.842304,0
0.0625,0.53125,0.870266,0
0.0625,0.546875,0.898481,0
0.0625,0.5625,0.92696,0
0.0625,0.578125,0.955718,0
0.0625,0.59375,0.984771,0
0.0625,0.609375,1.01413,0
0.0625,0.625,1.04382,0
0.0625,0.640625,1.07385,0
0.0625,0.65625,1.10425,0
0.0625,0.671875,1.13503,0
0.0625,0.6875,1.16622,0
0.0625,0.703125,1.19784,0
0.0625,0.71875,1.22992,0
0.0625,0.734375,1.26248,0
0.0625,0.75,1.29556,0
0.0625,0.765625,1.32919,0
0.0625,0.78125,1.36341,0
0.0625,0.796875,1.39827,0
0.0625,0.8125,1.4338,0
0.0625,0.828125,1.47006,0
0.0625,0.84375,1.50712,0
0.0625,0.859375,1.54504,0
0.0625,0.875,1.58389,0
0.0625,0.890625,1.62377,0
0.0625,0.90625,1.66476,0
0.0625,0.921875,1.70696,0
0.0625,0.9375,1.75048,0
0.0625,0.953125,1.79538,0
0.0625,0.96875,1.84166,0
0.0625,0.984375,1.88919,0
0.0625,1,1.9375,0
0.078125,0,0,0
0.078125,0.015625,0.0244502,0
0.078125,0.03125,0.0489056,0
0.078125,0.046875,0.0733716,0
0.078125,0.0625,0.0978534,0
0.078125,0.078125,0.122356,0
0.078125,0.09375,0.146886,0
0.078125,0.109375,0.171447,0
0.078125,0.125,0.196045,0
0.078125,0.140625,0.220687,0
0.078125,0.15625,0.245376,0
0.078125,0.171875,0.27012,0
0.078125,0.1875,0.294923,0
0.078125,0.203125,0.319792,0
0.078125,0.21875,0.344732,0
0.078125,0.234375,0.36975,0
0.078125,0.25,0.394852,0
0.078125,0.265625,0.420043,0
0.078125,0.28125,0.445332,0
0.078125,0.296875,0.470724,0
0.078125,0.3125,0.496225,0
0.078125,0.328125,0.521845,0
0.078125,0.34375,0.547588,0
0.078125,0.359375,0.573464,0
0.078125,0.375,0.599479,0
0.078125,0.390625,0.625642,0
0.078125,0.40625,0.651961,0
0.078125,0.421875,0.678445,0
0.078125,0.4375,0.705103,0
0.078125,0.453125,0.731943,0
0.078125,0.46875,0.758977,0
0.078125,0.484375,0.786213,0
0.078125,0.5,0.813664,0
0.078125,0.515625,0.841338,0
0.078125,0.53125,0.86925,0
0.078125,0.546875,0.89741,0
0.078125,0.5625,0.925832,0
0.078125,0.578125,0.954529,0
0.078125,0.59375,0.983517,0
0.078125,0.609375,1.01281,0
0.078125,0.625,1.04242,0
0.078125,0.640625,1.07238,0
0.078125,0.65625,1.10269,0
0.078125,0.671875,1.13338,0
0.078125,0.6875,1.16446,0
0.078125,0.703125,1.19597,0
0.078125,0.71875,1.22793,0
0.078125,0.734375,1.26036,0
0.078125,0.75,1.29329,0
0.078125,0.765625,1.32675,0
0.078125,0.78125,1.36079,0
0.078125,0.796875,1.39543,0
0.078125,0.8125,1.43072,0
0.078125,0.828125,1.46671,0
0.078125,0.84375,1.50344,0
0.078125,0.859375,1.54097,0
0.078125,0.875,1.57936,0
0.078125,0.890625,1.61867,0
0.078125,0.90625,1.65896,0
0.078125,0.921875,1.70029,0
0.078125,0.9375,1.74271,0
0.078125,0.953125,1.7862,0
0.078125,0.96875,1.83071,0
0.078125,0.984375,1.87605,0
0.078125,1,1.92188,0
0.09375,0,0,0
0.09375,0.015625,0.0244237,0
0.09375,0.03125,0.0488526,0
0.09375,0.046875,0.073292,0
0.09375,0.0625,0.097747,0
0.09375,0.078125,0.122223,0
0.09375,0.09375,0.146725,0
0.09375,0.109375,0.171259,0
0.09375,0.125,0.19583,0
0.09375,0.140625,0.220443,0
0.09375,0.15625,0.245104,0
0.09375,0.171875,0.269818,0
0.09375,0.1875,0.294592,0
0.09375,0.203125,0.319431,0
0.09375,0.21875,0.344341,0
0.09375,0.234375,0.369327,0
0.09375,0.25,0.394397,0
0.09375,0.265625,0.419556,0
0.09375,0.28125,0.44481,0
0.09375,0.296875,0.470167,0
0.09375,0.3125,0.495633,0
0.09375,0.328125,0.521216,0
0.09375,0.34375,0.546921,0
0.09375,0.359375,0.572757,0
0.09375,0.375,0.598732,0
0.09375,0.390625,0.624852,0
0.09375,0.40625,0.651127,0
0.09375,0.421875,0.677566,0
0.09375,0.4375,0.704176,0
0.09375,0.453125,0.730966,0
0.09375,0.46875,0.757948,0
0.09375,0.484375,0.78513,0
0.09375,0.5,0.812522,0
0.09375,0.515625,0.840137,0
0.09375,0.53125,0.867985,0
0.09375,0.546875,0.896078,0
0.09375,0.5625,0.924429,0
0.09375,0.578125,0.953051,0
0.09375,0.59375,0.981958,0
0.09375,0.609375,1.01116,0
0.09375,0.625,1.04069,0
0.09375,0.640625,1.07054,0
0.09375,0.65625,1.10075,0
0.09375,0.671875,1.13132,0
0.09375,0.6875,1.16228,0
0.09375,0.703125,1.19366,0
0.09375,0.71875,1.22546,0
0.09375,0.734375,1.25773,0
0.09375,0.75,1.29048,0
0.09375,0.765625,1.32374,0
0.09375,0.78125,1.35755,0
0.09375,0.796875,1.39194,0
0.09375,0.8125,1.42695,0
0.09375,0.828125,1.4626,0
0.09375,0.84375,1.49895,0
0.09375,0.859375,1.53604,0
0.09375,0.875,1.5739,0
0.09375,0.890625,1.61258,0
0.09375,0.90625,1.65212,0
0.09375,0.921875,1.69255,0
0.09375,0.9375,1.73385,0
0.09375,0.953125,1.77601,0
0.09375,0.96875,1.81892,0
0.09375,0.984375,1.86242,0
0.09375,1,1.90625,0
0.109375,0,0,0
0.109375,0.015625,0.024392,0
0.109375,0.03125,0.0487892,0
0.109375,0.046875,0.0731967,0
0.109375,0.0625,0.0976197,0
0.109375,0.078125,0.122063,0
0.109375,0.09375,0.146533,0
0.109375,0.109375,0.171034,0
0.109375,0.125,0.195572,0
0.109375,0.140625,0.220151,0
0.109375,0.15625,0.244778,0
0.109375,0.171875,0.269458,0
0.109375,0.1875,0.294197,0
0.109375,0.203125,0.319,0
0.109375,0.21875,0.343873,0
0.109375,0.234375,0.368822,0
0.109375,0.25,0.393853,0
0.109375,0.265625,0.418972,0
0.109375,0.28125,0.444187,0
0.109375,0.296875,0.469502,0
0.109375,0.3125,0.494925,0
0.109375,0.328125,0.520463,0
0.109375,0.34375,0.546123,0
0.109375,0.359375,0.571912,0
0.109375,0.375,0.597838,0
0.109375,0.390625,0.623908,0
0.109375,0.40625,0.650131,0
0.109375,0.421875,0.676514,0
0.109375,0.4375,0.703067,0
0.109375,0.453125,0.729799,0
0.109375,0.46875,0.756718,0
0.109375,0.484375,0.783835,0
0.109375,0.5,0.811159,0
0.109375,0.515625,0.838702,0
0.109375,0.53125,0.866475,0
0.109375,0.546875,0.894488,0
0.109375,0.5625,0.922754,0
0.109375,0.578125,0.951287,0
0.109375,0.59375,0.980099,0
0.109375,0.609375,1.0092,0
0.109375,0.625,1.03862,0
0.109375,0.640625,1.06836,0
0.109375,0.65625,1.09844,0
0.109375,0.671875,1.12888,0
0.109375,0.6875,1.15969,0
0.109375,0.703125,1.19091,0
0.109375,0.71875,1.22254,0
0.109375,0.734375,1.25462,0
0.109375,0.75,1.28716,0
0.109375,0.765625,1.32019,0
0.109375,0.78125,1.35374,0
0.109375,0.796875,1.38784,0
0.109375,0.8125,1.42252,0
0.109375,0.828125,1.4578,0
0.109375,0.84375,1.49373,0
0.109375,0.859375,1.53032,0
0.109375,0.875,1.56762,0
0.109375,0.890625,1.60564,0
0.109375,0.90625,1.64441,0
0.109375,0.921875,1.68392,0
0.109375,0.9375,1.72415,0
0.109375,0.953125,1.76506,0
0.109375,0.96875,1.80655,0
0.109375,0.984375,1.84847,0
0.109375,1,1.89062,0
0.125,0,0,0
0.125,0.015625,0.0243551,0
0.125,0.03125,0.0487154,0
0.125,0.046875,0.0730859,0
0.125,0.0625,0.0974717,0
0.125,0.078125,0.121878,0
0.125,0.09375,0.14631,0
0.125,0.109375,0.170773,0
0.125,0.125,0.195272,0
0.125,0.140625,0.219812,0
0.125,0.15625,0.2444,0
0.125,0.171875,0.269039,0
0.125,0.1875,0.293737,0
0.125,0.203125,0.318498,0
0.125,0.21875,0.343328,0
0.125,0.234375,0.368234,0
0.125,0.25,0.393221,0
0.125,0.265625,0.418294,0
0.125,0.28125,0.443462,0
0.125,0.296875,0.468729,0
0.125,0.3125,0.494103,0
0.125,0.328125,0.51959,0
0.125,0.34375,0.545197,0
0.125,0.359375,0.570931,0
0.125,0.375,0.5968,0
0.125,0.390625,0.622812,0
0.125,0.40625,0.648974,0
0.125,0.421875,0.675294,0
0.125,0.4375,0.701781,0
0.125,0.453125,0.728444,0
0.125,0.46875,0.755291,0
0.125,0.484375,0.782333,0
0.125,0.5,0.809578,0
0.125,0.515625,0.837038,0
0.125,0.53125,0.864724,0
0.125,0.546875,0.892645,0
0.125,0.5625,0.920814,0
0.125,0.578125,0.949244,0
0.125,0.59375,0.977947,0
0.125,0.609375,1.00694,0
0.125,0.625,1.03623,0
0.125,0.640625,1.06583,0
0.125,0.65625,1.09577,0
0.125,0.671875,1.12606,0
0.125,0.6875,1.15671,0
0.125,0.703125,1.18774,0
0.125,0.71875,1.21918,0
0.125,0.734375,1.25104,0
0.125,0.75,1.28335,0
0.125,0.765625,1.31612,0
0.125,0.78125,1.34939,0
0.125,0.796875,1.38317,0
0.125,0.8125,1.41748,0
0.125,0.828125,1.45237,0
