x,f,s
0,3.14159,1
0.4,2.39836,1
0.8,2.0904,1
1.2,1.85403,1
1.6,1.6547,1
2,1.47904,1
2.4,1.32018,1
2.8,1.17405,1
3.2,1.038,1
3.6,0.91018,1
4,0.789248,1
4.4,0.674192,1
4.8,0.564224,1
5.2,0.458718,1
5.6,0.357167,1
6,0.259152,1
6.4,0.164323,1
6.8,0.0723862,1
7.2,-0.0169125,1
7.6,-0.103791,1
8,-0.188439,1
8.4,-0.271022,1
8.8,-0.351687,1
9.2,-0.430565,1
9.6,-0.507771,1
10,-0.58341,1
10.4,-0.657575,1
10.8,-0.730352,1
11.2,-0.801818,1
11.6,-0.872042,1
12,-0.941089,1
12.4,-1.00902,1
12.8,-1.07588,1
13.2,-1.14174,1
13.6,-1.20662,1
14,-1.27058,1
14.4,-1.33366,1
14.8,-1.39588,1
15.2,-1.4573,1
15.6,-1.51793,1
16,-1.57782,1
16.4,-1.63698,1
16.8,-1.69545,1
17.2,-1.75324,1
17.6,-1.81039,1
18,-1.86692,1
18.4,-1.92285,1
18.8,-1.97819,1
19.2,-2.03296,1
19.6,-2.0872,1
20,-2.1409,1
20.4,-2.19409,1
20.8,-2.24678,1
21.2,-2.29899,1
21.6,-2.35073,1
22,-2.40202,1
22.4,-2.45286,1
22.8,-2.50328,1
23.2,-2.55327,1
23.6,-2.60286,1
24,-2.65205,1
24.4,-2.70085,1
24.8,-2.74928,1
25.2,-2.79734,1
25.6,-2.84505,1
26,-2.8924,1
26.4,-2.93941,1
26.8,-2.98609,1
27.2,-3.03245,1
27.6,-3.07848,1
28,-3.12421,1
28.4,-3.16963,1
28.8,-3.21476,1
29.2,-3.2596,1
29.6,-3.30416,1
30,-3.34843,1
30.4,-3.39244,1
30.8,-3.43618,1
31.2,-3.47966,1
31.6,-3.52288,1
32,-3.56586,1
32.4,-3.60859,1
32.8,-3.65108,1
33.2,-3.69334,1
33.6,-3.73537,1
34,-3.77717,1
34.4,-3.81875,1
34.8,-3.86012,1
35.2,-3.90127,1
35.6,-3.94221,1
36,-3.98295,1
36.4,-4.02349,1
36.8,-4.06383,1
37.2,-4.10397,1
37.6,-4.14393,1
38,-4.1837,1
38.4,-4.22329,1
38.8,-4.2627,1
39.2,-4.30193,1
39.6,-4.34099,1
40,-4.37988,1
40.4,-4.4186,1
40.8,-4.45716,1
41.2,-4.49555,1
41.6,-4.53379,1
42,-4.57188,1
42.4,-4.60981,1
42.8,-4.64759,1
43.2,-4.68522,1
43.6,-4.72271,1
44,-4.76006,1
44.4,-4.79727,1
44.8,-4.83434,1
45.2,-4.87127,1
45.6,-4.90808,1
46,-4.94475,1
46.4,-4.9813,1
46.8,-5.01772,1
47.2,-5.05402,1
47.6,-5.0902,1
48,-5.12626,1
48.4,-5.1622,1
48.8,-5.19803,1
49.2,-5.23375,1
49.6,-5.26936,1
50,-5.30486,1
50.4,-5.34026,1
50.8,-5.37555,1
51.2,-5.41074,1
51.6,-5.44583,1
52,-5.48083,1
52.4,-5.51573,1
52.8,-5.55054,1
53.2,-5.58525,1
53.6,-5.61988,1
54,-5.65442,1
54.4,-5.68888,1
54.8,-5.72325,1
55.2,-5.75754,1
55.6,-5.79176,1
56,-5.8259,1
56.4,-5.85996,1
56.8,-5.89395,1
57.2,-5.92787,1
57.6,-5.96173,1
58,-5.99551,1
58.4,-6.02924,1
58.8,-6.0629,1
59.2,-6.0965,1
59.6,-6.13005,1
60,-6.16354,1
60.4,-6.19699,1
60.8,-6.23038,1
61.2,-6.26372,1
61.6,-6.29702,1
62,-6.33028,1
62.4,-6.3635,1
62.8,-6.39669,1
63.2,-6.42984,1
63.6,-6.46296,1
64,-6.49606,1
64.4,-6.52913,1
64.8,-6.56218,1
65.2,-6.59522,1
65.6,-6.62824,1
66,-6.66126,1
66.4,-6.69427,1
66.8,-6.72728,1
67.2,-6.7603,1
67.6,-6.79332,1
68,-6.82637,1
68.4,-6.85943,1
68.8,-6.89252,1
69.2,-6.92565,1
69.6,-6.95882,1
70,-6.99204,1
70.4,-7.02531,1
70.8,-7.05866,1
71.2,-7.09208,1
71.6,-7.12559,1
72,-7.1592,1
72.4,-7.19294,1
72.8,-7.2268,1
73.2,-7.26082,1
73.6,-7.295,1
74,-7.32939,1
74.4,-7.364,1
74.8,-7.39887,1
75.2,-7.43404,1
75.6,-7.46956,1
76,-7.50548,1
76.4,-7.54189,1
76.8,-7.57888,1
77.2,-7.61657,1
77.6,-7.65514,1
78,-7.69484,1
78.4,-7.73607,1
78.8,-7.77947,1
79.2,-7.8263,1
79.6,-7.87987,1
0,6.28319,2
0.4,5.53995,2
0.8,5.23199,2
1.2,4.99562,2
1.6,4.79629,2
2,4.62063,2
2.4,4.46177,2
2.8,4.31564,2
3.2,4.17959,2
3.6,4.05177,2
4,3.93084,2
4.4,3.81578,2
4.8,3.70582,2
5.2,3.60031,2
5.6,3.49876,2
6,3.40074,2
6.4,3.30592,2
6.8,3.21398,2
7.2,3.12468,2
7.6,3.0378,2
8,2.95315,2
8.4,2.87057,2
8.8,2.78991,2
9.2,2.71103,2
9.6,2.63382,2
10,2.55818,2
10.4,2.48402,2
10.8,2.41124,2
11.2,2.33977,2
11.6,2.26955,2
12,2.2005,2
12.4,2.13257,2
12.8,2.06571,2
13.2,1.99986,2
13.6,1.93497,2
14,1.87101,2
14.4,1.80794,2
14.8,1.74571,2
15.2,1.68429,2
15.6,1.62366,2
16,1.56378,2
16.4,1.50461,2
16.8,1.44615,2
17.2,1.38835,2
17.6,1.3312,2
18,1.27467,2
18.4,1.21875,2
18.8,1.16341,2
19.2,1.10863,2
19.6,1.0544,2
20,1.00069,2
20.4,0.947504,2
20.8,0.894811,2
21.2,0.842601,2
21.6,0.79086,2
22,0.739573,2
22.4,0.68873,2
22.8,0.638316,2
23.2,0.588321,2
23.6,0.538734,2
24,0.489543,2
24.4,0.440738,2
24.8,0.392311,2
25.2,0.34425,2
25.6,0.296547,2
26,0.249194,2
26.4,0.202182,2
26.8,0.155502,2
27.2,0.109147,2
27.6,0.0631095,2
28,0.0173822,2
28.4,-0.028042,2
28.8,-0.0731699,2
29.2,-0.118008,2
29.6,-0.162563,2
30,-0.20684,2
30.4,-0.250846,2
30.8,-0.294586,2
31.2,-0.338066,2
31.6,-0.381292,2
32,-0.424268,2
32.4,-0.466999,2
32.8,-0.509492,2
33.2,-0.551749,2
33.6,-0.593777,2
34,-0.635579,2
34.4,-0.67716,2
34.8,-0.718524,2
35.2,-0.759675,2
35.6,-0.800618,2
36,-0.841356,2
36.4,-0.881893,2
36.8,-0.922234,2
37.2,-0.962381,2
37.6,-1.00234,2
38,-1.04211,2
38.4,-1.0817,2
38.8,-1.12111,2
39.2,-1.16034,2
39.6,-1.1994,2
40,-1.23829,2
40.4,-1.27701,2
40.8,-1.31557,2
41.2,-1.35396,2
41.6,-1.3922,2
42,-1.43028,2
42.4,-1.46822,2
42.8,-1.506,2
43.2,-1.54363,2
43.6,-1.58112,2
44,-1.61847,2
44.4,-1.65567,2
44.8,-1.69274,2
45.2,-1.72968,2
45.6,-1.76649,2
46,-1.80316,2
46.4,-1.83971,2
46.8,-1.87613,2
47.2,-1.91243,2
47.6,-1.94861,2
48,-1.98467,2
48.4,-2.02061,2
48.8,-2.05644,2
49.2,-2.09216,2
49.6,-2.12777,2
50,-2.16327,2
50.4,-2.19866,2
50.8,-2.23396,2
51.2,-2.26915,2
51.6,-2.30424,2
52,-2.33924,2
52.4,-2.37414,2
52.8,-2.40894,2
53.2,-2.44366,2
53.6,-2.47829,2
54,-2.51283,2
54.4,-2.54729,2
54.8,-2.58166,2
55.2,-2.61595,2
55.6,-2.65017,2
56,-2.6843,2
56.4,-2.71837,2
56.8,-2.75236,2
57.2,-2.78628,2
57.6,-2.82013,2
58,-2.85392,2
58.4,-2.88764,2
58.8,-2.92131,2
59.2,-2.95491,2
59.6,-2.98846,2
60,-3.02195,2
60.4,-3.05539,2
60.8,-3.08878,2
61.2,-3.12213,2
61.6,-3.15543,2
62,-3.18869,2
62.4,-3.22191,2
62.8,-3.25509,2
63.2,-3.28825,2
63.6,-3.32137,2
64,-3.35446,2
64.4,-3.38754,2
64.8,-3.42059,2
65.2,-3.45362,2
65.6,-3.48665,2
66,-3.51966,2
66.4,-3.55267,2
66.8,-3.58569,2
67.2,-3.6187,2
67.6,-3.65173,2
68,-3.68477,2
68.4,-3.71784,2
68.8,-3.75093,2
69.2,-3.78406,2
69.6,-3.81723,2
70,-3.85044,2
70.4,-3.88372,2
70.8,-3.91706,2
71.2,-3.95049,2
71.6,-3.984,2
