t,th1RK,th2RK,w1RK,w2RK,th1PV,th2PV,w1PV,w2PV
0,-0.785398,0,0,0,-0.785398,0,0,0
0.1,-0.74816,-0.00278561,0.739964,-0.0548527,-0.747922,-0.00282843,0.749533,-0.0565685
0.2,-0.639345,-0.0106329,1.42148,-0.099602,-0.638426,-0.0107942,1.44038,-0.102746
0.3,-0.467934,-0.0220504,1.98099,-0.124822,-0.466011,-0.0223708,2.00791,-0.128788
0.4,-0.249428,-0.034686,2.35313,-0.122992,-0.246387,-0.035153,2.38458,-0.126855
0.5,-0.00537913,-0.0456086,2.48538,-0.0903832,-0.00137386,-0.0461471,2.51568,-0.0930274
0.6,0.23887,-0.0517829,2.35714,-0.0288633,0.243415,-0.0522623,2.38009,-0.029277
0.7,0.457962,-0.0506689,1.98875,0.0536245,0.462418,-0.0509257,1.99998,0.0560083
0.8,0.630321,-0.0407693,1.43279,0.144543,0.633963,-0.0406423,1.43091,0.14966
0.9,0.740444,-0.0219583,0.755027,0.229481,0.742554,-0.0213255,0.740929,0.236676
1,0.779398,0.00446838,0.0194927,0.294773,0.77935,0.00565713,-0.00500609,0.302977
1.1,0.744366,0.0359609,-0.7152,0.329213,0.741693,0.0376627,-0.74814,0.337135
1.2,0.638313,0.069009,-1.39104,0.324887,0.63278,0.0710781,-1.43012,0.331172
1.3,0.470204,0.099495,-1.94563,0.277636,0.461908,0.101686,-1.98732,0.280978
1.4,0.25539,0.123098,-2.31517,0.187684,0.244842,0.125082,-2.35401,0.186945
1.5,0.015118,0.135777,-2.44849,0.060604,0.00325626,0.13718,-2.4777,0.0550228
1.6,-0.225667,0.134354,-2.3254,-0.0919255,-0.237578,0.134809,-2.33898,-0.102448
1.7,-0.441991,0.117108,-1.96561,-0.252633,-0.45256,0.116321,-1.96066,-0.267302
1.8,-0.612568,0.0842368,-1.4206,-0.400969,-0.620486,0.0820514,-1.39786,-0.418098
1.9,-0.722088,0.0380119,-0.755376,-0.516551,-0.726275,0.0344555,-0.717928,-0.53382
2,-0.761758,-0.0174049,-0.0336726,-0.582443,-0.761441,-0.0221,0.0146167,-0.597289
2.1,-0.728885,-0.0764285,0.686048,-0.587373,-0.723647,-0.0818338,0.741263,-0.597387
2.2,-0.62652,-0.132675,1.34648,-0.526705,-0.616369,-0.1382,1.40428,-0.529939
2.3,-0.463595,-0.179633,1.88696,-0.402523,-0.449069,-0.184582,1.94173,-0.397701
2.4,-0.255199,-0.211329,2.24638,-0.223402,-0.237436,-0.21497,2.29093,-0.210054
