t,x,y,u,v,theta
0,0,0,7.7266,6.3482,0.687775
0.00129423,0.01,0.00820781,7.7266,6.3355,0.687775
0.00258846,0.02,0.0163992,7.7266,6.3228,0.687775
0.00388269,0.03,0.0245741,7.7266,6.31011,0.687775
0.00517692,0.04,0.0327327,7.7266,6.29741,0.687775
0.00647115,0.05,0.0408747,7.7266,6.28472,0.687775
0.00776538,0.06,0.0490004,7.7266,6.27202,0.687775
0.00905961,0.07,0.0571096,7.7266,6.25932,0.687775
0.0103538,0.08,0.0652024,7.7266,6.24663,0.687775
0.0116481,0.09,0.0732787,7.7266,6.23393,0.687775
0.0129423,0.1,0.0813387,7.7266,6.22123,0.687775
0.0142365,0.11,0.0893822,7.7266,6.20854,0.687775
0.0155308,0.12,0.0974092,7.7266,6.19584,0.687775
0.016825,0.13,0.10542,7.7266,6.18314,0.687775
0.0181192,0.14,0.113414,7.7266,6.17045,0.687775
0.0194134,0.15,0.121392,7.7266,6.15775,0.687775
0.0207077,0.16,0.129353,7.7266,6.14506,0.687775
0.0220019,0.17,0.137298,7.7266,6.13236,0.687775
0.0232961,0.18,0.145226,7.7266,6.11966,0.687775
0.0245904,0.19,0.153139,7.7266,6.10697,0.687775
0.0258846,0.2,0.161034,7.7266,6.09427,0.687775
0.0271788,0.21,0.168913,7.7266,6.08157,0.687775
0.0284731,0.22,0.176776,7.7266,6.06888,0.687775
0.0297673,0.23,0.184622,7.7266,6.05618,0.687775
0.0310615,0.24,0.192452,7.7266,6.04348,0.687775
0.0323557,0.25,0.200266,7.7266,6.03079,0.687775
0.03365,0.26,0.208063,7.7266,6.01809,0.687775
0.0349442,0.27,0.215843,7.7266,6.00539,0.687775
0.0362384,0.28,0.223607,7.7266,5.9927,0.687775
0.0375327,0.29,0.231355,7.7266,5.98,0.687775
0.0388269,0.3,0.239086,7.7266,5.96731,0.687775
0.0401211,0.31,0.246801,7.7266,5.95461,0.687775
0.0414154,0.32,0.2545,7.7266,5.94191,0.687775
