t,x,y,u,v,theta
0,0,0,0.770892,0.636245,0.69
0.01,0.00770891,0.00631244,0.770889,0.626242,0.69
0.02,0.0154178,0.0125248,0.770886,0.616239,0.69
0.03,0.0231266,0.0186372,0.770883,0.606236,0.69
0.04,0.0308354,0.0246496,0.77088,0.596233,0.69
0.05,0.0385442,0.0305619,0.770877,0.58623,0.69
0.06,0.046253,0.0363742,0.770874,0.576227,0.69
0.07,0.0539617,0.0420864,0.770871,0.566224,0.69
0.08,0.0616704,0.0476986,0.770868,0.556221,0.69
0.09,0.0693791,0.0532108,0.770865,0.546218,0.69
0.1,0.0770877,0.058623,0.770862,0.536215,0.69
0.11,0.0847963,0.0639351,0.770859,0.526212,0.69
0.12,0.0925049,0.0691473,0.770857,0.516209,0.69
0.13,0.100213,0.0742593,0.770854,0.506207,0.69
0.14,0.107922,0.0792714,0.770851,0.496204,0.69
0.15,0.11563,0.0841834,0.770848,0.486201,0.69
0.16,0.123339,0.0889954,0.770845,0.476198,0.69
0.17,0.131047,0.0937074,0.770842,0.466195,0.69
0.18,0.138756,0.0983193,0.77084,0.456193,0.69
0.19,0.146464,0.102831,0.770837,0.44619,0.69
0.2,0.154173,0.107243,0.770834,0.436187,0.69
0.21,0.161881,0.111555,0.770831,0.426184,0.69
0.22,0.169589,0.115767,0.770829,0.416182,0.69
0.23,0.177297,0.119879,0.770826,0.406179,0.69
0.24,0.185006,0.12389,0.770823,0.396176,0.69
0.25,0.192714,0.127802,0.770821,0.386174,0.69
0.26,0.200422,0.131614,0.770818,0.376171,0.69
0.27,0.20813,0.135326,0.770815,0.366168,0.69
0.28,0.215838,0.138937,0.770813,0.356166,0.69
0.29,0.223547,0.142449,0.77081,0.346163,0.69
0.3,0.231255,0.14586,0.770808,0.336161,0.69
0.31,0.238963,0.149172,0.770805,0.326158,0.69
0.32,0.246671,0.152384,0.770802,0.316155,0.69
0.33,0.254379,0.155495,0.7708,0.306153,0.69
0.34,0.262087,0.158507,0.770797,0.29615,0.69
0.35,0.269795,0.161418,0.770795,0.286148,0.69
0.36,0.277503,0.16423,0.770792,0.276145,0.69
0.37,0.28521,0.166941,0.77079,0.266143,0.69
0.38,0.292918,0.169553,0.770787,0.25614,0.69
0.39,0.300626,0.172064,0.770785,0.246138,0.69
0.4,0.308334,0.174475,0.770782,0.236135,0.69
0.41,0.316042,0.176787,0.77078,0.226133,0.69
0.42,0.32375,0.178998,0.770777,0.21613,0.69
0.43,0.331457,0.181109,0.770775,0.206128,0.69
0.44,0.339165,0.18312,0.770772,0.196125,0.69
0.45,0.346873,0.185032,0.77077,0.186123,0.69
0.46,0.354581,0.186843,0.770767,0.17612,0.69
0.47,0.362288,0.188554,0.770765,0.166118,0.69
0.48,0.369996,0.190165,0.770763,0.156116,0.69
0.49,0.377703,0.191676,0.77076,0.146113,0.69
0.5,0.385411,0.193088,0.770758,0.136111,0.69
0.51,0.393119,0.194399,0.770755,0.126108,0.69
0.52,0.400826,0.19561,0.770753,0.116106,0.69
0.53,0.408534,0.196721,0.770751,0.106104,0.69
0.54,0.416241,0.197732,0.770748,0.0961011,0.69
0.55,0.423949,0.198643,0.770746,0.0860987,0.69
0.56,0.431656,0.199454,0.770743,0.0760963,0.69
0.57,0.439364,0.200165,0.770741,0.0660939,0.69
0.58,0.447071,0.200776,0.770739,0.0560916,0.69
0.59,0.454778,0.201287,0.770736,0.0460892,0.69
0.6,0.462486,0.201697,0.770734,0.0360868,0.69
0.61,0.470193,0.202008,0.770731,0.0260844,0.69
0.62,0.4779,0.202219,0.770729,0.016082,0.69
0.63,0.485608,0.20233,0.770727,0.00607967,0.69
0.64,0.493315,0.202341,0.770724,-0.00392271,0.69
0.65,0.501022,0.202251,0.770722,-0.0139251,0.69
0.66,0.508729,0.202062,0.77072,-0.0239275,0.69
0.67,0.516436,0.201773,0.770717,-0.0339298,0.69
0.68,0.524144,0.201384,0.770715,-0.0439322,0.69
0.69,0.531851,0.200894,0.770712,-0.0539346,0.69
0.7,0.539558,0.200305,0.77071,-0.063937,0.69
0.71,0.547265,0.199616,0.770708,-0.0739394,0.69
0.72,0.554972,0.198826,0.770705,-0.0839418,0.69
0.73,0.562679,0.197937,0.770703,-0.0939441,0.69
0.74,0.570386,0.196947,0.7707,-0.103947,0.69
0.75,0.578093,0.195858,0.770698,-0.113949,0.69
0.76,0.5858,0.194668,0.770696,-0.123951,0.69
0.77,0.593507,0.193379,0.770693,-0.133954,0.69
0.78,0.601214,0.191989,0.770691,-0.143956,0.69
0.79,0.608921,0.1905,0.770688,-0.153959,0.69
0.8,0.616628,0.18891,0.770686,-0.163961,0.69
0.81,0.624334,0.18722,0.770684,-0.173963,0.69
0.82,0.632041,0.185431,0.770681,-0.183966,0.69
0.83,0.639748,0.183541,0.770679,-0.193968,0.69
0.84,0.647455,0.181551,0.770676,-0.203971,0.69
0.85,0.655162,0.179462,0.770674,-0.213973,0.69
0.86,0.662868,0.177272,0.770671,-0.223976,0.69
0.87,0.670575,0.174982,0.770669,-0.233978,0.69
0.88,0.678282,0.172592,0.770666,-0.243981,0.69
0.89,0.685988,0.170103,0.770664,-0.253983,0.69
0.9,0.693695,0.167513,0.770661,-0.263986,0.69
0.91,0.701402,0.164823,0.770659,-0.273988,0.69
0.92,0.709108,0.162033,0.770656,-0.283991,0.69
0.93,0.716815,0.159143,0.770654,-0.293993,0.69
0.94,0.724521,0.156153,0.770651,-0.303996,0.69
0.95,0.732228,0.153063,0.770649,-0.313998,0.69
0.96,0.739934,0.149873,0.770646,-0.324001,0.69
0.97,0.747641,0.146583,0.770643,-0.334004,0.69
0.98,0.755347,0.143193,0.770641,-0.344006,0.69
0.99,0.763054,0.139703,0.770638,-0.354009,0.69
1,0.77076,0.136113,0.770636,-0.364011,0.69
1.01,0.778466,0.132423,0.770633,-0.374014,0.69
1.02,0.786173,0.128633,0.77063,-0.384017,0.69
1.03,0.793879,0.124742,0.770628,-0.394019,0.69
1.04,0.801585,0.120752,0.770625,-0.404022,0.69
1.05,0.809291,0.116662,0.770622,-0.414025,0.69
1.06,0.816998,0.112472,0.77062,-0.424027,0.69
1.07,0.824704,0.108181,0.770617,-0.43403,0.69
1.08,0.83241,0.103791,0.770614,-0.444033,0.69
1.09,0.840116,0.0993007,0.770611,-0.454036,0.69
1.1,0.847822,0.0947104,0.770609,-0.464038,0.69
1.11,0.855528,0.09002,0.770606,-0.474041,0.69
1.12,0.863234,0.0852296,0.770603,-0.484044,0.69
1.13,0.87094,0.0803391,0.7706,-0.494047,0.69
1.14,0.878646,0.0753486,0.770597,-0.50405,0.69
1.15,0.886352,0.0702581,0.770595,-0.514052,0.69
1.16,0.894058,0.0650676,0.770592,-0.524055,0.69
1.17,0.901764,0.059777,0.770589,-0.534058,0.69
1.18,0.90947,0.0543864,0.770586,-0.544061,0.69
1.19,0.917176,0.0488958,0.770583,-0.554064,0.69
1.2,0.924882,0.0433051,0.77058,-0.564067,0.69
1.21,0.932587,0.0376144,0.770577,-0.57407,0.69
1.22,0.940293,0.0318237,0.770574,-0.584073,0.69
1.23,0.947999,0.025933,0.770571,-0.594076,0.69
1.24,0.955705,0.0199422,0.770568,-0.604079,0.69
1.25,0.96341,0.0138514,0.770565,-0.614082,0.69
1.26,0.971116,0.00766058,0.770562,-0.624085,0.69
1.27,0.978821,0.00136971,0.770559,-0.634088,0.69
1.28,0.986527,-0.00502118,0.770556,-0.644091,0.69
1.29,0.994233,-0.0115121,0.770553,-0.654094,0.69
1.3,1.00194,-0.0181031,0.77055,-0.664097,0.69
1.31,1.00964,-0.0247941,0.770547,-0.6741,0.69
