t,x,y,u,v,theta
0,0,0,0.77824,0.627236,0.678369
0.01,0.00778238,0.00622235,0.778237,0.617233,0.678369
0.02,0.0155647,0.0123447,0.778234,0.60723,0.678369
0.03,0.0233471,0.018367,0.778231,0.597227,0.678369
0.04,0.0311293,0.0242892,0.778227,0.587224,0.678369
0.05,0.0389116,0.0301114,0.778224,0.577221,0.678369
0.06,0.0466938,0.0358336,0.778221,0.567218,0.678369
0.07,0.054476,0.0414558,0.778218,0.557215,0.678369
0.08,0.0622582,0.0469779,0.778215,0.547212,0.678369
0.09,0.0700403,0.0524,0.778213,0.537209,0.678369
0.1,0.0778225,0.0577221,0.77821,0.527206,0.678369
0.11,0.0856045,0.0629442,0.778207,0.517203,0.678369
0.12,0.0933866,0.0680662,0.778204,0.5072,0.678369
0.13,0.101169,0.0730882,0.778201,0.497197,0.678369
0.14,0.108951,0.0780101,0.778198,0.487195,0.678369
0.15,0.116733,0.0828321,0.778195,0.477192,0.678369
0.16,0.124515,0.087554,0.778192,0.467189,0.678369
0.17,0.132296,0.0921758,0.77819,0.457186,0.678369
0.18,0.140078,0.0966977,0.778187,0.447183,0.678369
0.19,0.14786,0.10112,0.778184,0.437181,0.678369
0.2,0.155642,0.105441,0.778181,0.427178,0.678369
0.21,0.163424,0.109663,0.778178,0.417175,0.678369
0.22,0.171206,0.113785,0.778176,0.407172,0.678369
0.23,0.178987,0.117807,0.778173,0.39717,0.678369
0.24,0.186769,0.121728,0.77817,0.387167,0.678369
0.25,0.194551,0.12555,0.778168,0.377164,0.678369
0.26,0.202332,0.129271,0.778165,0.367161,0.678369
0.27,0.210114,0.132893,0.778162,0.357159,0.678369
0.28,0.217896,0.136415,0.77816,0.347156,0.678369
0.29,0.225677,0.139836,0.778157,0.337153,0.678369
0.3,0.233459,0.143158,0.778154,0.327151,0.678369
0.31,0.24124,0.146379,0.778152,0.317148,0.678369
0.32,0.249022,0.149501,0.778149,0.307146,0.678369
0.33,0.256803,0.152522,0.778146,0.297143,0.678369
0.34,0.264585,0.155444,0.778144,0.28714,0.678369
0.35,0.272366,0.158265,0.778141,0.277138,0.678369
0.36,0.280148,0.160986,0.778139,0.267135,0.678369
0.37,0.287929,0.163608,0.778136,0.257133,0.678369
0.38,0.29571,0.166129,0.778134,0.24713,0.678369
0.39,0.303492,0.16855,0.778131,0.237128,0.678369
0.4,0.311273,0.170872,0.778129,0.227125,0.678369
0.41,0.319054,0.173093,0.778126,0.217123,0.678369
0.42,0.326835,0.175214,0.778123,0.20712,0.678369
0.43,0.334617,0.177235,0.778121,0.197118,0.678369
0.44,0.342398,0.179156,0.778118,0.187115,0.678369
0.45,0.350179,0.180977,0.778116,0.177113,0.678369
0.46,0.35796,0.182699,0.778114,0.16711,0.678369
0.47,0.365741,0.18432,0.778111,0.157108,0.678369
0.48,0.373522,0.185841,0.778109,0.147105,0.678369
0.49,0.381303,0.187262,0.778106,0.137103,0.678369
0.5,0.389084,0.188583,0.778104,0.1271,0.678369
0.51,0.396865,0.189804,0.778101,0.117098,0.678369
0.52,0.404646,0.190925,0.778099,0.107095,0.678369
0.53,0.412427,0.191946,0.778096,0.0970929,0.678369
0.54,0.420208,0.192867,0.778094,0.0870905,0.678369
0.55,0.427989,0.193687,0.778091,0.077088,0.678369
0.56,0.43577,0.194408,0.778089,0.0670856,0.678369
0.57,0.443551,0.195029,0.778087,0.0570832,0.678369
0.58,0.451332,0.19555,0.778084,0.0470807,0.678369
0.59,0.459113,0.195971,0.778082,0.0370783,0.678369
0.6,0.466894,0.196292,0.778079,0.0270759,0.678369
0.61,0.474674,0.196512,0.778077,0.0170735,0.678369
0.62,0.482455,0.196633,0.778074,0.00707105,0.678369
0.63,0.490236,0.196654,0.778072,-0.00293137,0.678369
0.64,0.498017,0.196574,0.77807,-0.0129338,0.678369
0.65,0.505797,0.196395,0.778067,-0.0229362,0.678369
0.66,0.513578,0.196116,0.778065,-0.0329386,0.678369
0.67,0.521359,0.195736,0.778062,-0.0429411,0.678369
0.68,0.529139,0.195257,0.77806,-0.0529435,0.678369
0.69,0.53692,0.194677,0.778057,-0.0629459,0.678369
0.7,0.5447,0.193998,0.778055,-0.0729483,0.678369
0.71,0.552481,0.193218,0.778053,-0.0829508,0.678369
0.72,0.560261,0.192339,0.77805,-0.0929532,0.678369
0.73,0.568042,0.191359,0.778048,-0.102956,0.678369
0.74,0.575822,0.19028,0.778045,-0.112958,0.678369
0.75,0.583603,0.1891,0.778043,-0.122961,0.678369
0.76,0.591383,0.187821,0.77804,-0.132963,0.678369
0.77,0.599164,0.186441,0.778038,-0.142965,0.678369
0.78,0.606944,0.184961,0.778035,-0.152968,0.678369
0.79,0.614724,0.183382,0.778033,-0.16297,0.678369
0.8,0.622505,0.181702,0.778031,-0.172973,0.678369
0.81,0.630285,0.179922,0.778028,-0.182975,0.678369
0.82,0.638065,0.178042,0.778026,-0.192978,0.678369
0.83,0.645845,0.176063,0.778023,-0.20298,0.678369
0.84,0.653626,0.173983,0.778021,-0.212983,0.678369
0.85,0.661406,0.171803,0.778018,-0.222985,0.678369
0.86,0.669186,0.169523,0.778016,-0.232988,0.678369
0.87,0.676966,0.167143,0.778013,-0.24299,0.678369
0.88,0.684746,0.164663,0.77801,-0.252993,0.678369
0.89,0.692526,0.162083,0.778008,-0.262996,0.678369
0.9,0.700306,0.159403,0.778005,-0.272998,0.678369
0.91,0.708086,0.156623,0.778003,-0.283001,0.678369
0.92,0.715866,0.153743,0.778,-0.293003,0.678369
0.93,0.723646,0.150763,0.777998,-0.303006,0.678369
0.94,0.731426,0.147683,0.777995,-0.313008,0.678369
0.95,0.739206,0.144503,0.777992,-0.323011,0.678369
0.96,0.746986,0.141223,0.77799,-0.333014,0.678369
0.97,0.754766,0.137843,0.777987,-0.343016,0.678369
0.98,0.762546,0.134363,0.777984,-0.353019,0.678369
0.99,0.770326,0.130782,0.777982,-0.363022,0.678369
1,0.778106,0.127102,0.777979,-0.373024,0.678369
1.01,0.785885,0.123322,0.777976,-0.383027,0.678369
1.02,0.793665,0.119442,0.777974,-0.39303,0.678369
1.03,0.801445,0.115461,0.777971,-0.403032,0.678369
1.04,0.809225,0.111381,0.777968,-0.413035,0.678369
1.05,0.817004,0.107201,0.777966,-0.423038,0.678369
1.06,0.824784,0.10292,0.777963,-0.433041,0.678369
1.07,0.832564,0.0985399,0.77796,-0.443043,0.678369
1.08,0.840343,0.0940594,0.777957,-0.453046,0.678369
1.09,0.848123,0.0894789,0.777954,-0.463049,0.678369
1.1,0.855902,0.0847984,0.777952,-0.473052,0.678369
1.11,0.863682,0.0800179,0.777949,-0.483055,0.678369
1.12,0.871461,0.0751373,0.777946,-0.493058,0.678369
1.13,0.879241,0.0701568,0.777943,-0.50306,0.678369
1.14,0.88702,0.0650761,0.77794,-0.513063,0.678369
1.15,0.894799,0.0598955,0.777937,-0.523066,0.678369
1.16,0.902579,0.0546148,0.777934,-0.533069,0.678369
1.17,0.910358,0.0492341,0.777931,-0.543072,0.678369
1.18,0.918137,0.0437534,0.777928,-0.553075,0.678369
1.19,0.925917,0.0381726,0.777925,-0.563078,0.678369
1.2,0.933696,0.0324918,0.777922,-0.573081,0.678369
1.21,0.941475,0.026711,0.777919,-0.583084,0.678369
1.22,0.949254,0.0208301,0.777916,-0.593087,0.678369
1.23,0.957033,0.0148492,0.777913,-0.60309,0.678369
1.24,0.964813,0.00876832,0.77791,-0.613093,0.678369
1.25,0.972592,0.00258738,0.777907,-0.623096,0.678369
1.26,0.980371,-0.0036936,0.777904,-0.633099,0.678369
1.27,0.98815,-0.0100746,0.777901,-0.643103,0.678369
1.28,0.995929,-0.0165557,0.777898,-0.653106,0.678369
1.29,1.00371,-0.0231367,0.777895,-0.663109,0.678369
0,0,0,0.642564,0.765633,0.872571
0.01,0.00642563,0.00760632,0.642561,0.755631,0.872571
0.02,0.0128512,0.0151126,0.642559,0.745628,0.872571
0.03,0.0192768,0.0225189,0.642556,0.735625,0.872571
0.04,0.0257024,0.0298251,0.642554,0.725623,0.872571
0.05,0.0321279,0.0370313,0.642551,0.71562,0.872571
0.06,0.0385534,0.0441375,0.642549,0.705618,0.872571
0.07,0.0449789,0.0511437,0.642547,0.695616,0.872571
0.08,0.0514043,0.0580498,0.642544,0.685613,0.872571
0.09,0.0578297,0.064856,0.642542,0.675611,0.872571
0.1,0.0642552,0.0715621,0.642539,0.665608,0.872571
0.11,0.0706805,0.0781681,0.642537,0.655606,0.872571
0.12,0.0771059,0.0846742,0.642535,0.645604,0.872571
0.13,0.0835312,0.0910802,0.642532,0.635601,0.872571
0.14,0.0899565,0.0973862,0.64253,0.625599,0.872571
0.15,0.0963818,0.103592,0.642528,0.615597,0.872571
0.16,0.102807,0.109698,0.642525,0.605594,0.872571
0.17,0.109232,0.115704,0.642523,0.595592,0.872571
0.18,0.115658,0.12161,0.642521,0.58559,0.872571
0.19,0.122083,0.127416,0.642519,0.575588,0.872571
0.2,0.128508,0.133122,0.642516,0.565585,0.872571
0.21,0.134933,0.138728,0.642514,0.555583,0.872571
0.22,0.141358,0.144233,0.642512,0.545581,0.872571
0.23,0.147783,0.149639,0.64251,0.535579,0.872571
0.24,0.154208,0.154945,0.642508,0.525577,0.872571
0.25,0.160633,0.160151,0.642506,0.515575,0.872571
0.26,0.167059,0.165256,0.642504,0.505573,0.872571
0.27,0.173484,0.170262,0.642501,0.495571,0.872571
0.28,0.179909,0.175168,0.642499,0.485568,0.872571
0.29,0.186334,0.179974,0.642497,0.475566,0.872571
0.3,0.192758,0.184679,0.642495,0.465564,0.872571
0.31,0.199183,0.189285,0.642493,0.455562,0.872571
0.32,0.205608,0.19379,0.642491,0.44556,0.872571
0.33,0.212033,0.198196,0.642489,0.435558,0.872571
0.34,0.218458,0.202502,0.642487,0.425556,0.872571
