t,x,y,u,v,theta
0,0,0,0.781461,0.639859,0.686099
0.01,0.0078146,0.00634859,0.78146,0.629859,0.686099
0.02,0.0156292,0.0125972,0.78146,0.619858,0.686099
0.03,0.0234438,0.0187458,0.78146,0.609858,0.686099
0.04,0.0312584,0.0247943,0.781459,0.599858,0.686099
0.05,0.039073,0.0307429,0.781459,0.589857,0.686099
0.06,0.0468876,0.0365915,0.781459,0.579857,0.686099
0.07,0.0547022,0.04234,0.781458,0.569857,0.686099
0.08,0.0625167,0.0479886,0.781458,0.559856,0.686099
0.09,0.0703313,0.0535372,0.781458,0.549856,0.686099
0.1,0.0781459,0.0589857,0.781457,0.539856,0.686099
0.11,0.0859605,0.0643343,0.781457,0.529856,0.686099
0.12,0.093775,0.0695828,0.781457,0.519855,0.686099
0.13,0.10159,0.0747314,0.781457,0.509855,0.686099
0.14,0.109404,0.0797799,0.781456,0.499855,0.686099
0.15,0.117219,0.0847285,0.781456,0.489854,0.686099
0.16,0.125033,0.089577,0.781456,0.479854,0.686099
0.17,0.132848,0.0943256,0.781455,0.469854,0.686099
0.18,0.140662,0.0989741,0.781455,0.459854,0.686099
0.19,0.148477,0.103523,0.781455,0.449853,0.686099
0.2,0.156292,0.107971,0.781455,0.439853,0.686099
0.21,0.164106,0.11232,0.781454,0.429853,0.686099
0.22,0.171921,0.116568,0.781454,0.419852,0.686099
0.23,0.179735,0.120717,0.781454,0.409852,0.686099
0.24,0.18755,0.124765,0.781453,0.399852,0.686099
0.25,0.195364,0.128714,0.781453,0.389852,0.686099
0.26,0.203179,0.132562,0.781453,0.379851,0.686099
0.27,0.210993,0.136311,0.781453,0.369851,0.686099
0.28,0.218808,0.139959,0.781452,0.359851,0.686099
0.29,0.226622,0.143508,0.781452,0.34985,0.686099
0.3,0.234437,0.146956,0.781452,0.33985,0.686099
0.31,0.242251,0.150305,0.781452,0.32985,0.686099
0.32,0.250066,0.153553,0.781451,0.31985,0.686099
0.33,0.25788,0.156702,0.781451,0.309849,0.686099
0.34,0.265695,0.15975,0.781451,0.299849,0.686099
0.35,0.273509,0.162699,0.781451,0.289849,0.686099
0.36,0.281324,0.165547,0.78145,0.279849,0.686099
0.37,0.289138,0.168296,0.78145,0.269848,0.686099
0.38,0.296953,0.170944,0.78145,0.259848,0.686099
0.39,0.304767,0.173493,0.781449,0.249848,0.686099
0.4,0.312582,0.175941,0.781449,0.239848,0.686099
0.41,0.320396,0.17829,0.781449,0.229847,0.686099
0.42,0.328211,0.180538,0.781449,0.219847,0.686099
0.43,0.336025,0.182687,0.781448,0.209847,0.686099
0.44,0.34384,0.184735,0.781448,0.199847,0.686099
0.45,0.351654,0.186684,0.781448,0.189846,0.686099
0.46,0.359469,0.188532,0.781448,0.179846,0.686099
0.47,0.367283,0.19028,0.781447,0.169846,0.686099
0.48,0.375098,0.191929,0.781447,0.159846,0.686099
0.49,0.382912,0.193477,0.781447,0.149845,0.686099
0.5,0.390727,0.194926,0.781447,0.139845,0.686099
0.51,0.398541,0.196274,0.781446,0.129845,0.686099
0.52,0.406356,0.197523,0.781446,0.119845,0.686099
0.53,0.41417,0.198671,0.781446,0.109844,0.686099
0.54,0.421985,0.19972,0.781446,0.0998441,0.686099
0.55,0.429799,0.200668,0.781445,0.0898438,0.686099
0.56,0.437613,0.201517,0.781445,0.0798436,0.686099
0.57,0.445428,0.202265,0.781445,0.0698433,0.686099
0.58,0.453242,0.202913,0.781445,0.0598431,0.686099
0.59,0.461057,0.203462,0.781444,0.0498429,0.686099
0.6,0.468871,0.20391,0.781444,0.0398426,0.686099
0.61,0.476686,0.204259,0.781444,0.0298424,0.686099
0.62,0.4845,0.204507,0.781444,0.0198421,0.686099
0.63,0.492315,0.204656,0.781444,0.00984188,0.686099
0.64,0.500129,0.204704,0.781443,-0.000158366,0.686099
0.65,0.507943,0.204652,0.781443,-0.0101586,0.686099
0.66,0.515758,0.204501,0.781443,-0.0201589,0.686099
0.67,0.523572,0.204249,0.781443,-0.0301591,0.686099
0.68,0.531387,0.203898,0.781442,-0.0401593,0.686099
0.69,0.539201,0.203446,0.781442,-0.0501596,0.686099
0.7,0.547016,0.202894,0.781442,-0.0601598,0.686099
0.71,0.55483,0.202243,0.781442,-0.0701601,0.686099
0.72,0.562644,0.201491,0.781441,-0.0801603,0.686099
0.73,0.570459,0.20064,0.781441,-0.0901606,0.686099
0.74,0.578273,0.199688,0.781441,-0.100161,0.686099
0.75,0.586088,0.198636,0.781441,-0.110161,0.686099
0.76,0.593902,0.197485,0.78144,-0.120161,0.686099
0.77,0.601716,0.196233,0.78144,-0.130162,0.686099
0.78,0.609531,0.194882,0.78144,-0.140162,0.686099
0.79,0.617345,0.19343,0.78144,-0.150162,0.686099
0.8,0.62516,0.191878,0.781439,-0.160162,0.686099
0.81,0.632974,0.190227,0.781439,-0.170163,0.686099
0.82,0.640788,0.188475,0.781439,-0.180163,0.686099
0.83,0.648603,0.186623,0.781439,-0.190163,0.686099
0.84,0.656417,0.184672,0.781438,-0.200163,0.686099
0.85,0.664232,0.18262,0.781438,-0.210164,0.686099
0.86,0.672046,0.180468,0.781438,-0.220164,0.686099
0.87,0.67986,0.178217,0.781438,-0.230164,0.686099
0.88,0.687675,0.175865,0.781437,-0.240164,0.686099
0.89,0.695489,0.173414,0.781437,-0.250165,0.686099
0.9,0.703303,0.170862,0.781437,-0.260165,0.686099
0.91,0.711118,0.16821,0.781437,-0.270165,0.686099
