order,theta,sol_number
1,0.68777539942915888,1
1,0.88302092030744328,2
2,0.68777523221424985,1
2,0.88302109458046907,2
3,0.68777523221425418,1
3,0.88302109458050682,2
4,0.68777523221424752,1
4,0.88302109458045741,2
5,0.68777523221425396,1
5,0.88302109457889877,2
6,0.68777523221425363,1
6,0.88302109458044198,2
7,0.68777523221425418,1
7,0.8830210945804694,2
8,0.68777523221421377,1
8,0.88302109458046707,2
9,0.68777523221424608,1
9,0.88302109458042555,2
10,0.68777523221425241,1
10,0.88302109458042211,2
32,0.68777523221425374,1
32,0.88302109458047351,2
64,0.68777523221424708,1
64,0.88302109458039879,2
