t,x,delta_y,u,v,theta
0,0,0,0.780107,0.640938,0.687775
0.001,0.000780107,2.99457e-16,0.780107,0.639938,0.687775
0.002,0.00156021,5.9848e-16,0.780107,0.638938,0.687775
0.003,0.00234032,8.97069e-16,0.780107,0.637938,0.687775
0.004,0.00312043,1.19522e-15,0.780107,0.636938,0.687775
0.005,0.00390053,1.49403e-15,0.780107,0.635938,0.687775
0.006,0.00468064,1.7911e-15,0.780107,0.634938,0.687775
0.007,0.00546075,2.08861e-15,0.780107,0.633938,0.687775
0.008,0.00624085,2.38438e-15,0.780107,0.632938,0.687775
0.009,0.00702096,2.68102e-15,0.780107,0.631938,0.687775
0.01,0.00780107,2.97765e-15,0.780107,0.630938,0.687775
0.011,0.00858117,3.27342e-15,0.780107,0.629938,0.687775
0.012,0.00936128,3.56833e-15,0.780107,0.628938,0.687775
0.013,0.0101414,3.86149e-15,0.780107,0.627938,0.687775
0.014,0.0109215,4.15813e-15,0.780107,0.626938,0.687775
0.015,0.0117016,4.4513e-15,0.780107,0.625938,0.687775
0.016,0.0124817,4.7462e-15,0.780107,0.624938,0.687775
0.017,0.0132618,5.04111e-15,0.780107,0.623938,0.687775
0.018,0.0140419,5.33254e-15,0.780107,0.622938,0.687775
0.019,0.014822,5.62571e-15,0.780107,0.621938,0.687775
0.02,0.0156021,5.91888e-15,0.780107,0.620938,0.687775
0.021,0.0163822,6.20858e-15,0.780107,0.619938,0.687775
0.022,0.0171623,6.50174e-15,0.780107,0.618938,0.687775
0.023,0.0179425,6.79318e-15,0.780107,0.617938,0.687775
0.024,0.0187226,7.08461e-15,0.780107,0.616938,0.687775
0.025,0.0195027,7.37604e-15,0.780107,0.615938,0.687775
0.026,0.0202828,7.66401e-15,0.780107,0.614938,0.687775
0.027,0.0210629,7.95197e-15,0.780107,0.613938,0.687775
0.028,0.021843,8.24341e-15,0.780107,0.612938,0.687775
0.029,0.0226231,8.53484e-15,0.780107,0.611938,0.687775
0.03,0.0234032,8.8228e-15,0.780107,0.610938,0.687775
0.031,0.0241833,9.11077e-15,0.780107,0.609938,0.687775
0.032,0.0249634,9.39873e-15,0.780107,0.608938,0.687775
0.033,0.0257435,9.6867e-15,0.780107,0.607938,0.687775
0.034,0.0265236,9.97466e-15,0.780107,0.606938,0.687775
0.035,0.0273037,1.02592e-14,0.780107,0.605938,0.687775
0.036,0.0280838,1.05436e-14,0.780107,0.604938,0.687775
0.037,0.028864,1.08316e-14,0.780107,0.603938,0.687775
0.038,0.0296441,1.11161e-14,0.780107,0.602938,0.687775
0.039,0.0304242,1.14041e-14,0.780107,0.601938,0.687775
0.04,0.0312043,1.16886e-14,0.780107,0.600938,0.687775
0.041,0.0319844,1.19696e-14,0.780107,0.599938,0.687775
0.042,0.0327645,1.22541e-14,0.780107,0.598938,0.687775
0.043,0.0335446,1.25351e-14,0.780107,0.597938,0.687775
0.044,0.0343247,1.28196e-14,0.780107,0.596938,0.687775
0.045,0.0351048,1.31006e-14,0.780107,0.595938,0.687775
0.046,0.0358849,1.33851e-14,0.780107,0.594938,0.687775
0.047,0.036665,1.36662e-14,0.780107,0.593938,0.687775
0.048,0.0374451,1.39472e-14,0.780107,0.592938,0.687775
0.049,0.0382252,1.42282e-14,0.780107,0.591938,0.687775
0.05,0.0390053,1.45127e-14,0.780107,0.590938,0.687775
0.051,0.0397854,1.47937e-14,0.780107,0.589938,0.687775
0.052,0.0405656,1.50643e-14,0.780107,0.588938,0.687775
0.053,0.0413457,1.53488e-14,0.780107,0.587938,0.687775
0.054,0.0421258,1.56264e-14,0.780107,0.586938,0.687775
0.055,0.0429059,1.59039e-14,0.780107,0.585938,0.687775
0.056,0.043686,1.61884e-14,0.780107,0.584938,0.687775
0.057,0.0444661,1.6466e-14,0.780107,0.583938,0.687775
0.058,0.0452462,1.67436e-14,0.780107,0.582938,0.687775
0.059,0.0460263,1.70211e-14,0.780107,0.581938,0.687775
0.06,0.0468064,1.72987e-14,0.780107,0.580938,0.687775
0.061,0.0475865,1.75693e-14,0.780107,0.579938,0.687775
0.062,0.0483666,1.78538e-14,0.780107,0.578938,0.687775
0.063,0.0491467,1.81244e-14,0.780107,0.577938,0.687775
0.064,0.0499268,1.84019e-14,0.780107,0.576938,0.687775
0.065,0.0507069,1.86864e-14,0.780107,0.575938,0.687775
0.066,0.051487,1.89571e-14,0.780107,0.574938,0.687775
