t1,y1,theta
1.26911,-0.0987203,0.65
1.42826,0.186226,0.785
1.66774,-0.309169,0.92
1.26911,-0.0987203,0.65
1.42826,0.186226,0.785
1.31738,0.0548654,0.696771
1.27882,-0.0622834,0.65992
1.29882,0.00375014,0.679512
1.29765,0.000220906,0.6784
1.29758,-9.1239e-07,0.67833
1.29758,2.1971e-10,0.67833
1.29758,1.64105e-14,0.67833
1.42826,0.186226,0.785
1.66774,-0.309169,0.92
1.50657,0.128476,0.835748
1.54943,0.051632,0.860482
1.58018,-0.0217702,0.8771
1.57089,0.00197542,0.872171
1.57166,6.52503e-05,0.872581
1.57169,-2.07053e-07,0.872595
1.57169,2.16548e-11,0.872595
