theta,res
0.65,-0.013773
0.658438,-0.0104508
0.666875,-0.00726183
0.675312,-0.0042232
0.68375,-0.00133488
0.692188,0.00140079
0.700625,0.00397615
0.709063,0.0063832
0.7175,0.00861365
0.725938,0.0106589
0.734375,0.0125098
0.742812,0.0141573
0.75125,0.0155914
0.759688,0.016802
0.768125,0.0177787
0.776563,0.0185103
0.785,0.0189838
0.793438,0.0191708
0.801875,0.0190736
0.810312,0.0186791
0.81875,0.0179735
0.827187,0.0169113
0.835625,0.0155036
0.844063,0.0137292
0.8525,0.0115417
0.860938,0.00895617
0.869375,0.00590574
0.877813,0.00240886
0.88625,-0.00160387
0.894688,-0.00613063
0.903125,-0.011207
0.911563,-0.0168912
