t,x,y,u,v,theta
0,0,0,0.803756,0.611019,0.65
0.01,0.00803756,0.00606019,0.803756,0.601019,0.65
0.02,0.0160751,0.0120204,0.803756,0.591019,0.65
0.03,0.0241127,0.0178806,0.803756,0.581019,0.65
0.04,0.0321502,0.0236408,0.803756,0.571019,0.65
0.05,0.0401878,0.0293009,0.803756,0.561019,0.65
0.06,0.0482254,0.0348611,0.803756,0.551019,0.65
0.07,0.0562629,0.0403213,0.803756,0.541019,0.65
0.08,0.0643005,0.0456815,0.803756,0.531019,0.65
0.09,0.072338,0.0509417,0.803756,0.521019,0.65
0.1,0.0803756,0.0561019,0.803756,0.511019,0.65
0.11,0.0884132,0.0611621,0.803756,0.501019,0.65
0.12,0.0964507,0.0661223,0.803756,0.491019,0.65
0.13,0.104488,0.0709825,0.803756,0.481019,0.65
0.14,0.112526,0.0757426,0.803756,0.471019,0.65
0.15,0.120563,0.0804028,0.803756,0.461019,0.65
0.16,0.128601,0.084963,0.803756,0.451019,0.65
0.17,0.136639,0.0894232,0.803756,0.441019,0.65
0.18,0.144676,0.0937834,0.803756,0.431019,0.65
0.19,0.152714,0.0980436,0.803756,0.421019,0.65
0.2,0.160751,0.102204,0.803756,0.411019,0.65
0.21,0.168789,0.106264,0.803756,0.401019,0.65
0.22,0.176826,0.110224,0.803756,0.391019,0.65
0.23,0.184864,0.114084,0.803756,0.381019,0.65
0.24,0.192901,0.117845,0.803756,0.371019,0.65
0.25,0.200939,0.121505,0.803756,0.361019,0.65
0.26,0.208977,0.125065,0.803756,0.351019,0.65
0.27,0.217014,0.128525,0.803756,0.341019,0.65
0.28,0.225052,0.131885,0.803756,0.331019,0.65
0.29,0.233089,0.135145,0.803756,0.321019,0.65
0.3,0.241127,0.138306,0.803756,0.311019,0.65
0.31,0.249164,0.141366,0.803756,0.301019,0.65
0.32,0.257202,0.144326,0.803756,0.291019,0.65
0.33,0.26524,0.147186,0.803756,0.281019,0.65
0.34,0.273277,0.149946,0.803756,0.271019,0.65
0.35,0.281315,0.152607,0.803756,0.261019,0.65
0.36,0.289352,0.155167,0.803756,0.251019,0.65
0.37,0.29739,0.157627,0.803756,0.241019,0.65
0.38,0.305427,0.159987,0.803756,0.231019,0.65
0.39,0.313465,0.162247,0.803756,0.221019,0.65
0.4,0.321502,0.164408,0.803756,0.211019,0.65
0.41,0.32954,0.166468,0.803756,0.201019,0.65
0.42,0.337578,0.168428,0.803756,0.191019,0.65
0.43,0.345615,0.170288,0.803756,0.181019,0.65
0.44,0.353653,0.172048,0.803756,0.171019,0.65
0.45,0.36169,0.173709,0.803756,0.161019,0.65
0.46,0.369728,0.175269,0.803756,0.151019,0.65
0.47,0.377765,0.176729,0.803756,0.141019,0.65
0.48,0.385803,0.178089,0.803756,0.131019,0.65
0.49,0.39384,0.179349,0.803756,0.121019,0.65
0.5,0.401878,0.180509,0.803756,0.111019,0.65
0.51,0.409916,0.18157,0.803756,0.101019,0.65
0.52,0.417953,0.18253,0.803756,0.0910189,0.65
0.53,0.425991,0.18339,0.803756,0.0810189,0.65
0.54,0.434028,0.18415,0.803756,0.0710189,0.65
0.55,0.442066,0.18481,0.803756,0.0610189,0.65
0.56,0.450103,0.185371,0.803756,0.0510189,0.65
0.57,0.458141,0.185831,0.803756,0.0410189,0.65
0.58,0.466179,0.186191,0.803756,0.0310189,0.65
0.59,0.474216,0.186451,0.803756,0.0210189,0.65
0.6,0.482254,0.186611,0.803756,0.0110189,0.65
0.61,0.490291,0.186672,0.803756,0.00101892,0.65
0.62,0.498329,0.186632,0.803756,-0.00898108,0.65
0.63,0.506366,0.186492,0.803756,-0.0189811,0.65
0.64,0.514404,0.186252,0.803756,-0.0289811,0.65
0.65,0.522441,0.185912,0.803756,-0.0389811,0.65
0.66,0.530479,0.185472,0.803756,-0.0489811,0.65
0.67,0.538517,0.184933,0.803756,-0.0589811,0.65
0.68,0.546554,0.184293,0.803756,-0.0689811,0.65
0.69,0.554592,0.183553,0.803756,-0.0789811,0.65
0.7,0.562629,0.182713,0.803756,-0.0889811,0.65
0.71,0.570667,0.181773,0.803756,-0.0989811,0.65
0.72,0.578704,0.180734,0.803756,-0.108981,0.65
0.73,0.586742,0.179594,0.803756,-0.118981,0.65
0.74,0.59478,0.178354,0.803756,-0.128981,0.65
0.75,0.602817,0.177014,0.803756,-0.138981,0.65
0.76,0.610855,0.175574,0.803756,-0.148981,0.65
0.77,0.618892,0.174035,0.803756,-0.158981,0.65
0.78,0.62693,0.172395,0.803756,-0.168981,0.65
0.79,0.634967,0.170655,0.803756,-0.178981,0.65
0.8,0.643005,0.168815,0.803756,-0.188981,0.65
0.81,0.651042,0.166875,0.803756,-0.198981,0.65
0.82,0.65908,0.164836,0.803756,-0.208981,0.65
0.83,0.667118,0.162696,0.803756,-0.218981,0.65
0.84,0.675155,0.160456,0.803756,-0.228981,0.65
0.85,0.683193,0.158116,0.803756,-0.238981,0.65
0.86,0.69123,0.155676,0.803756,-0.248981,0.65
0.87,0.699268,0.153136,0.803756,-0.258981,0.65
0.88,0.707305,0.150497,0.803756,-0.268981,0.65
0.89,0.715343,0.147757,0.803756,-0.278981,0.65
0.9,0.72338,0.144917,0.803756,-0.288981,0.65
0.91,0.731418,0.141977,0.803756,-0.298981,0.65
0.92,0.739456,0.138937,0.803756,-0.308981,0.65
0.93,0.747493,0.135798,0.803756,-0.318981,0.65
0.94,0.755531,0.132558,0.803756,-0.328981,0.65
