t,x,y,u,v,theta
0,0,0,0.804045,0.611238,0.65
0.00124374,0.00100002,0.000759448,0.804045,0.609994,0.65
0.00248748,0.00200004,0.00151735,0.804045,0.608751,0.65
0.00373122,0.00300007,0.0022737,0.804045,0.607507,0.65
0.00497496,0.00400009,0.00302851,0.804044,0.606263,0.65
0.0062187,0.00500011,0.00378177,0.804044,0.605019,0.65
0.00746243,0.00600013,0.00453348,0.804044,0.603776,0.65
0.00870617,0.00700015,0.00528365,0.804044,0.602532,0.65
0.00994991,0.00800017,0.00603227,0.804044,0.601288,0.65
0.0111937,0.00900019,0.00677934,0.804044,0.600044,0.65
0.0124374,0.0100002,0.00752486,0.804044,0.5988,0.65
0.0136811,0.0110002,0.00826884,0.804044,0.597557,0.65
0.0149249,0.0120003,0.00901127,0.804044,0.596313,0.65
0.0161686,0.0130003,0.00975216,0.804044,0.595069,0.65
0.0174123,0.0140003,0.0104915,0.804044,0.593825,0.65
0.0186561,0.0150003,0.0112293,0.804044,0.592582,0.65
0.0198998,0.0160003,0.0119655,0.804044,0.591338,0.65
0.0211436,0.0170004,0.0127002,0.804044,0.590094,0.65
0.0223873,0.0180004,0.0134334,0.804044,0.58885,0.65
0.023631,0.0190004,0.014165,0.804044,0.587606,0.65
0.0248748,0.0200004,0.014895,0.804044,0.586363,0.65
0.0261185,0.0210004,0.0156235,0.804044,0.585119,0.65
0.0273623,0.0220005,0.0163505,0.804044,0.583875,0.65
0.028606,0.0230005,0.0170759,0.804044,0.582631,0.65
0.0298497,0.0240005,0.0177998,0.804044,0.581388,0.65
0.0310935,0.0250005,0.0185221,0.804044,0.580144,0.65
0.0323372,0.0260005,0.0192429,0.804044,0.5789,0.65
0.033581,0.0270006,0.0199621,0.804044,0.577656,0.65
0.0348247,0.0280006,0.0206798,0.804044,0.576412,0.65
0.0360684,0.0290006,0.0213959,0.804043,0.575169,0.65
0.0373122,0.0300006,0.0221105,0.804043,0.573925,0.65
0.0385559,0.0310007,0.0228235,0.804043,0.572681,0.65
0.0397997,0.0320007,0.023535,0.804043,0.571437,0.65
0.0410434,0.0330007,0.024245,0.804043,0.570194,0.65
