t1,theta
1.25642,0.65
1.26458,0.658438
1.27293,0.666875
1.28149,0.675312
1.29026,0.68375
1.29924,0.692187
1.30844,0.700625
1.31786,0.709062
1.32752,0.7175
1.33742,0.725937
1.34756,0.734375
1.35795,0.742812
1.36861,0.75125
1.37953,0.759687
1.39072,0.768125
1.4022,0.776562
1.41398,0.785
1.42605,0.793437
1.43844,0.801875
1.45114,0.810312
1.46418,0.81875
1.47756,0.827187
1.4913,0.835625
1.5054,0.844062
1.51988,0.8525
1.53475,0.860937
1.55003,0.869375
1.56573,0.877812
1.58186,0.88625
1.59844,0.894687
1.61549,0.903125
1.63303,0.911562
