t,x,y,u,v,theta
0,0,0,7.96084,6.05186,0.65
0.00302891,0.0241127,0.0182856,7.96084,6.02215,0.65
0.00605783,0.0482254,0.0364811,7.96084,5.99244,0.65
0.00908674,0.072338,0.0545867,7.96084,5.96272,0.65
0.0121157,0.0964507,0.0726023,7.96084,5.93301,0.65
0.0151446,0.120563,0.0905278,7.96084,5.9033,0.65
0.0181735,0.144676,0.108363,7.96084,5.87358,0.65
0.0212024,0.168789,0.126109,7.96084,5.84387,0.65
0.0242313,0.192901,0.143765,7.96084,5.81415,0.65
0.0272602,0.217014,0.16133,7.96084,5.78444,0.65
0.0302891,0.241127,0.178806,7.96084,5.75473,0.65
0.033318,0.26524,0.196191,7.96084,5.72501,0.65
0.036347,0.289352,0.213487,7.96084,5.6953,0.65
0.0393759,0.313465,0.230692,7.96084,5.66559,0.65
0.0424048,0.337578,0.247808,7.96084,5.63587,0.65
0.0454337,0.36169,0.264834,7.96084,5.60616,0.65
0.0484626,0.385803,0.281769,7.96084,5.57645,0.65
0.0514915,0.409916,0.298615,7.96084,5.54673,0.65
0.0545204,0.434028,0.31537,7.96084,5.51702,0.65
0.0575493,0.458141,0.332036,7.96084,5.48731,0.65
0.0605783,0.482254,0.348611,7.96084,5.45759,0.65
0.0636072,0.506366,0.365097,7.96084,5.42788,0.65
0.0666361,0.530479,0.381492,7.96084,5.39816,0.65
0.069665,0.554592,0.397798,7.96084,5.36845,0.65
0.0726939,0.578704,0.414014,7.96084,5.33874,0.65
0.0757228,0.602817,0.430139,7.96084,5.30902,0.65
0.0787517,0.62693,0.446175,7.96084,5.27931,0.65
0.0817806,0.651042,0.46212,7.96084,5.2496,0.65
0.0848096,0.675155,0.477976,7.96084,5.21988,0.65
0.0878385,0.699268,0.493741,7.96084,5.19017,0.65
0.0908674,0.72338,0.509417,7.96084,5.16046,0.65
0.0938963,0.747493,0.525003,7.96084,5.13074,0.65
0.0969252,0.771606,0.540498,7.96084,5.10103,0.65
0.0999541,0.795719,0.555904,7.96084,5.07131,0.65
0.102983,0.819831,0.571219,7.96084,5.0416,0.65
0.106012,0.843944,0.586445,7.96084,5.01189,0.65
0.109041,0.868057,0.60158,7.96084,4.98217,0.65
0.11207,0.892169,0.616626,7.96084,4.95246,0.65
0.115099,0.916282,0.631582,7.96084,4.92275,0.65
0.118128,0.940395,0.646447,7.96084,4.89303,0.65
0.121157,0.964507,0.661223,7.96084,4.86332,0.65
0.124185,0.98862,0.675908,7.96084,4.83361,0.65
0.127214,1.01273,0.690504,7.96084,4.80389,0.65
0.130243,1.03685,0.705009,7.96084,4.77418,0.65
0.133272,1.06096,0.719425,7.96084,4.74446,0.65
0.136301,1.08507,0.733751,7.96084,4.71475,0.65
0.13933,1.10918,0.747986,7.96084,4.68504,0.65
0.142359,1.1333,0.762132,7.96084,4.65532,0.65
0.145388,1.15741,0.776187,7.96084,4.62561,0.65
0.148417,1.18152,0.790153,7.96084,4.5959,0.65
0.151446,1.20563,0.804028,7.96084,4.56618,0.65
0.154475,1.22975,0.817814,7.96084,4.53647,0.65
0.157503,1.25386,0.83151,7.96084,4.50676,0.65
0.160532,1.27797,0.845115,7.96084,4.47704,0.65
0.163561,1.30208,0.858631,7.96084,4.44733,0.65
0.16659,1.3262,0.872056,7.96084,4.41761,0.65
