t,x,y,u,v,theta
0,0,0,7.96084,6.05186,0.65
0.00125615,0.01,0.0075943,7.96084,6.03954,0.65
0.0025123,0.02,0.0151731,7.96084,6.02722,0.65
0.00376845,0.03,0.0227365,7.96084,6.0149,0.65
0.0050246,0.04,0.0302843,7.96084,6.00257,0.65
0.00628075,0.05,0.0378167,7.96084,5.99025,0.65
0.00753689,0.06,0.0453336,7.96084,5.97793,0.65
0.00879304,0.07,0.0528351,7.96084,5.9656,0.65
0.0100492,0.08,0.060321,7.96084,5.95328,0.65
0.0113053,0.09,0.0677915,7.96084,5.94096,0.65
0.0125615,0.1,0.0752465,7.96084,5.92864,0.65
0.0138176,0.11,0.082686,7.96084,5.91631,0.65
0.0150738,0.12,0.09011,7.96084,5.90399,0.65
0.0163299,0.13,0.0975186,7.96084,5.89167,0.65
0.0175861,0.14,0.104912,7.96084,5.87934,0.65
0.0188422,0.15,0.112289,7.96084,5.86702,0.65
0.0200984,0.16,0.119651,7.96084,5.8547,0.65
0.0213545,0.17,0.126998,7.96084,5.84238,0.65
0.0226107,0.18,0.134329,7.96084,5.83005,0.65
0.0238668,0.19,0.141645,7.96084,5.81773,0.65
0.025123,0.2,0.148945,7.96084,5.80541,0.65
0.0263791,0.21,0.15623,7.96084,5.79308,0.65
0.0276353,0.22,0.163499,7.96084,5.78076,0.65
0.0288914,0.23,0.170753,7.96084,5.76844,0.65
0.0301476,0.24,0.177991,7.96084,5.75612,0.65
0.0314037,0.25,0.185214,7.96084,5.74379,0.65
0.0326599,0.26,0.192421,7.96084,5.73147,0.65
0.033916,0.27,0.199613,7.96084,5.71915,0.65
0.0351722,0.28,0.206789,7.96084,5.70683,0.65
0.0364283,0.29,0.21395,7.96084,5.6945,0.65
0.0376845,0.3,0.221096,7.96084,5.68218,0.65
0.0389406,0.31,0.228226,7.96084,5.66986,0.65
0.0401968,0.32,0.23534,7.96084,5.65753,0.65
0.0414529,0.33,0.242439,7.96084,5.64521,0.65
0.0427091,0.34,0.249522,7.96084,5.63289,0.65
0.0439652,0.35,0.25659,7.96084,5.62057,0.65
0.0452214,0.36,0.263643,7.96084,5.60824,0.65
0.0464775,0.37,0.27068,7.96084,5.59592,0.65
0.0477337,0.38,0.277702,7.96084,5.5836,0.65
0.0489898,0.39,0.284708,7.96084,5.57127,0.65
0.050246,0.4,0.291698,7.96084,5.55895,0.65
0.0515021,0.41,0.298673,7.96084,5.54663,0.65
0.0527583,0.42,0.305633,7.96084,5.53431,0.65
0.0540144,0.43,0.312577,7.96084,5.52198,0.65
0.0552706,0.44,0.319506,7.96084,5.50966,0.65
0.0565267,0.45,0.326419,7.96084,5.49734,0.65
0.0577829,0.46,0.333317,7.96084,5.48501,0.65
0.059039,0.47,0.340199,7.96084,5.47269,0.65
0.0602952,0.48,0.347066,7.96084,5.46037,0.65
0.0615513,0.49,0.353917,7.96084,5.44805,0.65
0.0628075,0.5,0.360753,7.96084,5.43572,0.65
0.0640636,0.51,0.367573,7.96084,5.4234,0.65
0.0653198,0.52,0.374378,7.96084,5.41108,0.65
0.0665759,0.53,0.381168,7.96084,5.39875,0.65
0.0678321,0.54,0.387942,7.96084,5.38643,0.65
0.0690882,0.55,0.3947,7.96084,5.37411,0.65
0.0703444,0.56,0.401443,7.96084,5.36179,0.65
0.0716005,0.57,0.40817,7.96084,5.34946,0.65
0.0728567,0.58,0.414882,7.96084,5.33714,0.65
0.0741128,0.59,0.421579,7.96084,5.32482,0.65
0.0753689,0.6,0.42826,7.96084,5.31249,0.65
