t,x,y,u,v,theta
0,0,0,0.780092,0.640956,0.687799
0.01,0.00780092,0.00635956,0.780092,0.630956,0.687799
0.02,0.0156018,0.0126191,0.780092,0.620956,0.687799
0.03,0.0234027,0.0187787,0.780092,0.610956,0.687799
0.04,0.0312037,0.0248383,0.780092,0.600956,0.687799
0.05,0.0390046,0.0307978,0.780092,0.590956,0.687799
0.06,0.0468055,0.0366574,0.780092,0.580956,0.687799
0.07,0.0546064,0.0424169,0.780092,0.570956,0.687799
0.08,0.0624073,0.0480765,0.780092,0.560956,0.687799
0.09,0.0702082,0.0536361,0.780092,0.550956,0.687799
0.1,0.0780092,0.0590956,0.780092,0.540956,0.687799
0.11,0.0858101,0.0644552,0.780092,0.530956,0.687799
0.12,0.093611,0.0697148,0.780092,0.520956,0.687799
0.13,0.101412,0.0748743,0.780092,0.510956,0.687799
0.14,0.109213,0.0799339,0.780092,0.500956,0.687799
0.15,0.117014,0.0848935,0.780092,0.490956,0.687799
0.16,0.124815,0.089753,0.780092,0.480956,0.687799
0.17,0.132616,0.0945126,0.780092,0.470956,0.687799
0.18,0.140416,0.0991721,0.780092,0.460956,0.687799
0.19,0.148217,0.103732,0.780092,0.450956,0.687799
0.2,0.156018,0.108191,0.780092,0.440956,0.687799
0.21,0.163819,0.112551,0.780092,0.430956,0.687799
0.22,0.17162,0.11681,0.780092,0.420956,0.687799
0.23,0.179421,0.12097,0.780092,0.410956,0.687799
0.24,0.187222,0.12503,0.780092,0.400956,0.687799
0.25,0.195023,0.128989,0.780092,0.390956,0.687799
0.26,0.202824,0.132849,0.780092,0.380956,0.687799
0.27,0.210625,0.136608,0.780092,0.370956,0.687799
0.28,0.218426,0.140268,0.780092,0.360956,0.687799
0.29,0.226227,0.143827,0.780092,0.350956,0.687799
0.3,0.234027,0.147287,0.780092,0.340956,0.687799
0.31,0.241828,0.150646,0.780092,0.330956,0.687799
0.32,0.249629,0.153906,0.780092,0.320956,0.687799
0.33,0.25743,0.157066,0.780092,0.310956,0.687799
0.34,0.265231,0.160125,0.780092,0.300956,0.687799
0.35,0.273032,0.163085,0.780092,0.290956,0.687799
0.36,0.280833,0.165944,0.780092,0.280956,0.687799
0.37,0.288634,0.168704,0.780092,0.270956,0.687799
0.38,0.296435,0.171363,0.780092,0.260956,0.687799
0.39,0.304236,0.173923,0.780092,0.250956,0.687799
0.4,0.312037,0.176383,0.780092,0.240956,0.687799
0.41,0.319838,0.178742,0.780092,0.230956,0.687799
0.42,0.327638,0.181002,0.780092,0.220956,0.687799
0.43,0.335439,0.183161,0.780092,0.210956,0.687799
0.44,0.34324,0.185221,0.780092,0.200956,0.687799
0.45,0.351041,0.18718,0.780092,0.190956,0.687799
0.46,0.358842,0.18904,0.780092,0.180956,0.687799
0.47,0.366643,0.190799,0.780092,0.170956,0.687799
0.48,0.374444,0.192459,0.780092,0.160956,0.687799
0.49,0.382245,0.194019,0.780092,0.150956,0.687799
0.5,0.390046,0.195478,0.780092,0.140956,0.687799
0.51,0.397847,0.196838,0.780092,0.130956,0.687799
0.52,0.405648,0.198097,0.780092,0.120956,0.687799
0.53,0.413449,0.199257,0.780092,0.110956,0.687799
0.54,0.421249,0.200316,0.780092,0.100956,0.687799
0.55,0.42905,0.201276,0.780092,0.0909564,0.687799
0.56,0.436851,0.202136,0.780092,0.0809564,0.687799
0.57,0.444652,0.202895,0.780092,0.0709564,0.687799
0.58,0.452453,0.203555,0.780092,0.0609564,0.687799
0.59,0.460254,0.204114,0.780092,0.0509564,0.687799
0.6,0.468055,0.204574,0.780092,0.0409564,0.687799
0.61,0.475856,0.204933,0.780092,0.0309564,0.687799
0.62,0.483657,0.205193,0.780092,0.0209564,0.687799
0.63,0.491458,0.205353,0.780092,0.0109564,0.687799
0.64,0.499259,0.205412,0.780092,0.000956354,0.687799
0.65,0.50706,0.205372,0.780092,-0.00904365,0.687799
0.66,0.51486,0.205231,0.780092,-0.0190436,0.687799
0.67,0.522661,0.204991,0.780092,-0.0290436,0.687799
0.68,0.530462,0.20465,0.780092,-0.0390436,0.687799
0.69,0.538263,0.20421,0.780092,-0.0490436,0.687799
0.7,0.546064,0.203669,0.780092,-0.0590436,0.687799
0.71,0.553865,0.203029,0.780092,-0.0690436,0.687799
0.72,0.561666,0.202289,0.780092,-0.0790436,0.687799
0.73,0.569467,0.201448,0.780092,-0.0890436,0.687799
0.74,0.577268,0.200508,0.780092,-0.0990436,0.687799
0.75,0.585069,0.199467,0.780092,-0.109044,0.687799
0.76,0.59287,0.198327,0.780092,-0.119044,0.687799
0.77,0.600671,0.197086,0.780092,-0.129044,0.687799
0.78,0.608471,0.195746,0.780092,-0.139044,0.687799
0.79,0.616272,0.194306,0.780092,-0.149044,0.687799
0.8,0.624073,0.192765,0.780092,-0.159044,0.687799
0.81,0.631874,0.191125,0.780092,-0.169044,0.687799
0.82,0.639675,0.189384,0.780092,-0.179044,0.687799
0.83,0.647476,0.187544,0.780092,-0.189044,0.687799
0.84,0.655277,0.185603,0.780092,-0.199044,0.687799
0.85,0.663078,0.183563,0.780092,-0.209044,0.687799
0.86,0.670879,0.181422,0.780092,-0.219044,0.687799
0.87,0.67868,0.179182,0.780092,-0.229044,0.687799
0.88,0.686481,0.176842,0.780092,-0.239044,0.687799
0.89,0.694282,0.174401,0.780092,-0.249044,0.687799
0.9,0.702082,0.171861,0.780092,-0.259044,0.687799
0.91,0.709883,0.16922,0.780092,-0.269044,0.687799
0.92,0.717684,0.16648,0.780092,-0.279044,0.687799
0.93,0.725485,0.163639,0.780092,-0.289044,0.687799
0.94,0.733286,0.160699,0.780092,-0.299044,0.687799
0.95,0.741087,0.157659,0.780092,-0.309044,0.687799
0.96,0.748888,0.154518,0.780092,-0.319044,0.687799
0.97,0.756689,0.151278,0.780092,-0.329044,0.687799
0.98,0.76449,0.147937,0.780092,-0.339044,0.687799
0.99,0.772291,0.144497,0.780092,-0.349044,0.687799
1,0.780092,0.140956,0.780092,-0.359044,0.687799
1.01,0.787893,0.137316,0.780092,-0.369044,0.687799
1.02,0.795693,0.133575,0.780092,-0.379044,0.687799
1.03,0.803494,0.129735,0.780092,-0.389044,0.687799
