theta,res
0.65,-0.00988247
0.658438,-0.00677307
0.666875,-0.00380309
0.675312,-0.000979635
0.68375,0.00168994
0.692188,0.00419635
0.700625,0.00652697
0.709063,0.00868214
0.7175,0.0106533
0.725938,0.0124317
0.734375,0.014008
0.742812,0.0153727
0.75125,0.0165157
0.759688,0.0174251
0.768125,0.0180812
0.776563,0.0184802
0.785,0.0186103
0.793438,0.0184591
0.801875,0.0180136
0.810312,0.0172422
0.81875,0.0161365
0.827187,0.0146907
0.835625,0.0128693
0.844063,0.0106547
0.8525,0.00804138
0.860938,0.0049742
0.869375,0.0014658
0.877813,-0.00254603
0.88625,-0.00706274
0.894688,-0.0121207
0.903125,-0.0177702
0.911563,-0.0240243
